group,BCL11A,CTCF,E2F7,EPAS1,ETS2,MAFF,MZF1,NFYB,NR2C2,POU2F1,RARG,RFX5,RUNX1,SP4,STAT1
healthy,0.067143468988973,-0.0174403440160782,0.0399624681763915,-0.0225946085172833,-0.0651520799783145,-0.0406920976128046,0.0518449902425206,0.0115794424963217,-0.0588126804143719,0.029117352356035,-0.0071550986350599,-0.011764799873796,0.0508682809412571,-0.0031656862376639,-0.0631290004269581
healthy,0.0544776576428279,0.0028201519560836,0.0057641794136058,-0.0179103756955537,-0.0314215323162723,-0.044862004478089,0.0681165991289131,0.0016059193154292,-0.109537810510941,0.0517474210570903,-0.0172163648770067,0.0095102582927786,0.026796399392623,0.0484221318952681,-0.0204478293045547
healthy,0.0499961362635613,-0.006907265604999,0.0342464243778533,-0.105876639935344,-0.090524935290176,-0.0847255763788729,0.0771126804369662,0.0087654152742227,-0.0851059165061134,0.104135633021592,-0.0667157674358305,-0.0174289549302392,0.0768848172917969,0.011671905876813,-0.114051608769187
healthy,-0.0519966418870206,-0.0611667098333702,-0.062293040930333,0.0546339894709858,0.0513312401312764,0.114339934512449,0.062237590784021,-0.0538334279836061,-0.0431766029892656,0.0878382302094498,-0.0562767000554793,0.0067874444720051,0.0512307367410859,-0.0488533117179582,-0.0020014037184493
healthy,0.0167770323695778,0.0023075833888806,0.0243545293801235,-0.0094561869964509,0.0014828761273083,-0.0676636376890799,0.0539265013804842,0.0390965994334566,-0.0817943065083844,0.053773651071977,-0.0458585145739827,-0.0985165865286463,0.027879211867341,-0.0277320649285543,-0.120601174760044
moderate,0.0693090723197248,-0.154883797989913,-0.131355339166259,0.0243944979749461,-0.0123709801729728,-0.102859784012188,0.141724371768797,-0.0903354379989705,0.0529451192022208,0.20175003229282,0.0941240748536801,0.126902951338265,-0.091882976692597,0.000873093069761,-0.0653911894750167
moderate,-0.0079386376520352,0.0536698697330334,-0.100560669223063,-0.167639849506478,0.0393783196189953,-0.146910701018161,0.110429096359742,-0.12625721433106,-0.16857576463086,0.0306882858412345,-0.0449152598609413,0.0835452325408484,-0.0218176463934167,0.0862469106606017,0.0203513085878767
moderate,0.0853470147666117,-0.112457239063157,-0.147568679742272,0.0142799693606224,-0.050518399296002,0.0323861900428544,0.232761740215733,-0.0345959808385648,0.0408263059846538,0.0709011092144242,-0.203208375865285,0.149608961215677,0.0402561534229096,-0.232493350455417,-0.033952507634036
severe,0.310901849295971,0.32412365508715,0.354568415891263,-0.314493603986168,-0.348815058074442,-0.303434493040364,0.331649964155302,0.319255681177245,0.311954266171762,0.300820918350901,-0.307563373355964,0.326840943057941,-0.326909721339242,-0.301629881945258,-0.300972667257265
severe,-0.18864051115644,-0.176939412384245,0.120443367849149,0.1650301591634,0.208164205888127,0.188095731935369,-0.191403436220921,-0.194426012277336,0.123909356246695,-0.170561429981129,0.0417864634972788,0.171852095976524,-0.127727689414088,0.0138547384192789,0.180319753899273
severe,0.0670898899188097,-0.0801186288808463,0.101004176330092,-0.103641754483513,-0.0962925928108543,0.0868383717616336,0.0606358313521793,-0.0213630028644594,-0.0792985729674528,0.0277811192890231,0.0071799460678091,-0.100447504433763,0.0882841084841239,0.0809245954745496,0.0389819846741163
