group,AR,ARID3A,BACH1,BCL11A,BCL6,CEBPB,CTCF,CTCFL,E2F4,E2F8,ELF1,ETS2,ETV6,GATA1,GRHL2,HOXA6,HSF2,IRF4,JUN,JUNB,JUND,KLF9,MAF,MAFK,MAX,MEF2C,MNT,NFAT5,NR2C2,NRF1,PBX1,POU2F2,RFX5,SP2,SPDEF,SPI1,TFAP2A,TFDP1,ZBTB33,ZBTB7A,ZEB1,ZFX,ZNF263
healthy,-0.0958502181592415,-0.0425875587950464,-0.0274692126353493,-0.058223483963934,-0.0996590207074525,0.0046037996177391,0.0862914907507754,-0.0263807152990872,-0.0191174548169321,0.084376368005739,0.0889316529675157,0.0501593296032389,0.0374417888217491,-0.0619146183686781,-0.0976425800621188,-0.0522119552129644,0.0178188166504238,-0.0530525185339489,0.0277267959744648,0.106640306504124,0.0488103005233552,-0.0257382311535515,0.0326988781186812,0.0155549780633591,-0.0227737444411508,0.0918846140986656,0.0812599044428924,-0.052712111831892,-0.120920501673796,0.105897040531838,-0.047848316544078,-0.0293470782689008,0.0529399430891742,-0.0646968400752531,-0.134498708534266,0.0259052180633006,-0.137795292808752,0.0474323234719581,0.0292063589629324,0.059727974372316,0.0020035748802165,-0.0603991384525919,0.0083772213118781
healthy,-0.0154427516856696,0.101260312844394,-0.0877780562493672,-0.081930934206167,0.0088463029942016,-0.0564341265805942,0.12572838953284,-0.0243897285269453,0.107721474545669,-0.0866301994526489,-0.0182363780502785,0.0908604170400902,-0.0248986375313108,0.0677393789177911,0.0722323398347083,-0.0702377730821265,0.0507487824530067,-0.100619115822524,-0.046381611779434,-0.0795410445398159,0.0370262748236715,0.142786254621134,0.0534248240967674,0.0918290852186401,-0.0888558120594798,-0.0030147172956264,-0.136536937018419,-0.0771057121067466,-0.119306589348108,-0.0115714111633464,0.122557767309783,-0.0005269861452964,-0.0547848165588346,-0.0129890505448801,-0.0349179137185012,0.0771522378358247,-0.0778448755697905,0.102493432100757,0.0581837355778418,0.0881424314310818,0.0838518178658758,0.025582319999608,-0.0424100972388183
healthy,-0.0033338669142662,0.0943764777698864,-0.0656784161507736,0.0681821492511263,-0.0457704407981171,-0.107837643922434,0.022651916373353,-0.0521289277599236,0.0059116383329805,-0.0261205282657308,0.0040897243444858,-0.0350479782289545,0.0387637019363144,0.0952944576914381,-0.0444306091076365,-0.113330287270474,0.0521436878105294,-0.0345287577390934,-0.0704723377483586,0.0265799943571714,-0.0328511113420044,-0.0446536763240509,-0.0228309415032821,0.0093654901747525,0.10847780160113,-0.118492972067873,-0.079968049659908,-0.0941400788948602,0.0064775196279827,0.0937144180806137,0.024144586007204,-0.0210780664611697,0.138936832483655,-0.015744212689809,-0.0445939219256304,0.086353199938938,0.126366506804771,0.112269706214843,-0.0148067114110043,0.0254896551349963,-0.0208390488674877,-0.0992434854245036,0.0804644158778633
healthy,0.0150511724374926,0.0496110749693256,0.0474696240494006,0.0380979473918299,-0.0416281387458359,0.0375097074118421,0.0160192172187597,0.0314400719125315,0.064904215611627,-0.0448577237020097,0.0047612714085941,-0.0482753190465685,-0.0267790049293752,0.0496877038301128,0.0240582182234674,-0.0413929510039398,-0.0350888706387103,-0.0356347494917919,-0.0005801096151257,0.0073661385088856,-0.0216657986059907,0.0558455945431787,-0.0686943288663688,-0.0228511926477883,-0.0443656289836997,-0.0609432774240501,-0.011112465931288,-0.0247092475599256,0.0482231590931869,0.0240742296082455,0.043583106730123,-0.0165836202518087,0.0100419962648478,0.0478339045483567,0.0332430383578861,0.0553165967728508,0.0280571217585134,0.0628943165058164,-0.0147249961453462,-0.0130223867417326,0.0151590988179671,-0.0655045337748213,0.013413992007537
healthy,-0.0347456537028068,0.0439671420503365,0.0632490238534778,-0.0310436482277868,-0.0028926947001542,0.07858785587456,0.0983048948523299,-0.0392011145688864,0.0594671313776204,-0.0270072494543691,0.0950183822027354,-0.0026296153300926,-0.0045033735046998,0.0376047004130444,0.0216912582851932,-0.0159063330914544,0.0013588987502507,-0.0567721638356721,0.0091432594490885,-0.035382354155201,0.0121848433607498,0.0860562409423456,-0.0254739875749003,0.0111004211057383,-0.0343663891727121,-0.0504920187262948,-0.0469890212470058,-0.0269041552301075,-0.0548139619836989,0.0856676488100076,-0.002206303961908,-0.038585509898663,0.0437605251034414,-0.0348802580827158,0.0024155912609767,0.0983079316016622,-0.008681200028842,0.0760001542058791,-0.0082129242771403,0.0672888040379617,0.048115305929928,-0.0472845453959755,0.0792672804092
moderate,-0.318169937894867,0.0012472412273793,0.101080673151557,-0.150671504036006,-0.0507709462818824,-0.102600748397425,-0.0229267189505084,0.0072734084770266,-0.145762657052552,-0.0186718074716881,-0.0603482864705959,0.12650620525553,-0.0955373788076484,0.154081929267121,-0.105915898257005,0.0538803879529185,0.115939300412455,0.0003139756561979,0.0320644932205448,0.0514876769177549,0.0269044657121333,-0.186098784801898,-0.272013351084418,-0.216459148081562,0.116575913122263,-0.091981875169876,0.210848727907707,0.0369603481078795,-0.112533205880046,0.0915553013473174,-0.200374933086815,-0.173243105692607,0.072827194792449,-0.044352850799326,-0.0803799333360241,0.101520239070234,0.0217920758894897,0.116062725325581,-0.0401650651504515,0.253763786736582,-0.0709303487591428,-0.00218700284662,-0.0246460063368612
moderate,-0.0410952693221062,-0.0202803223151946,0.0282752713172227,-0.0129223629592915,0.0184929821365407,0.0066503511188879,0.0486585986344769,-0.0030866369113438,0.0653859168728303,0.0121141392314494,0.0613268768993756,0.0258733716068111,0.0064712800092594,-0.0052584466026561,-0.002951757536236,0.0217695994141522,0.0192864278752721,-0.0026304962849906,-0.0055748008219061,-0.0043937706719453,0.0215830041887974,0.0732161033860628,0.0227131576620988,0.0084252317032579,-0.0111037457853975,-0.0414950430852778,0.0263273218478679,0.0165460425201473,0.0170168473493621,0.0305047706368633,0.0106631085354935,-0.0088990091982322,0.0396127625049741,-0.0424219032011589,-0.0477847344641458,0.0844370063382602,-0.0015390585829687,0.0115641818426569,0.0351119331958426,0.0869534034618974,0.0869150148260842,-0.0806260772811169,0.0752446277431099
moderate,-0.171891268267961,0.15592957809549,0.0462633773811008,0.1367099164395,-0.14695602709276,-0.0061741020867016,-0.0504055772750876,0.194312383715254,0.0795194813715113,0.145849374216153,0.0242360626279547,-0.021559676428847,0.124662532240792,-0.151098226986746,-0.0986024066753667,0.0830418098024894,0.161712614215087,0.0602505946287533,-0.139493868568953,0.142706261268427,0.160715350420188,0.14865702731331,-0.139783749635478,-0.167362560285275,0.144248647320502,-0.0945768884685344,0.125840288020508,0.158556739207829,0.179335195278149,-0.0135870355237396,-0.127533995635611,0.13296151723966,-0.193251309622692,0.131143835331955,-0.0725878598939859,-0.160770044961042,-0.181295082992073,-0.0154794666372776,-0.132669813021774,0.0723453807628678,0.0357693181426379,-0.174667927791967,0.0707592390781106
severe,-0.064296324306132,-0.0041699718526161,-0.0154693682361015,-0.0367407692434297,-0.0505979781426204,0.0044420986450245,0.0493554852183175,0.0622896762541635,-0.0042463633085257,-0.0081414090253734,0.0711754919145926,0.0392174882811755,-0.0484167210485729,-0.0433529057391919,-0.0311219622430619,0.059579977491309,0.0626984897340712,0.0067132846445115,0.0005285072784169,0.0850674520372131,0.0388743281510075,0.0626377133653415,-0.0318743513806676,-0.0075652035604867,0.0204576887542429,-0.0521122260715417,0.0274859870062327,0.0571138872103831,-0.0371859523171472,-0.0760538725962447,0.0564268015045971,-0.0715716208699004,0.071979100287738,-0.0219816469054442,-0.0295535863858909,0.0729858360134423,0.0147665580937855,0.0754891488131079,0.0654772316765153,0.0735225226232392,0.0689790571307652,-0.0837210116208008,0.0398223651456321
severe,-0.0381942220269003,0.0283164059854606,0.0244066797147034,-0.0221128528854339,-0.0650862042452849,-0.017689506055613,-0.0160360877319771,0.0790147658041769,0.086631098880268,0.0490216539130574,0.0744749810642408,-0.0493580300978346,-0.0539948464295334,-0.0488133594294068,0.0257819408086197,0.0848405425736076,0.0601686431747528,0.0106281936844044,0.0627781461158902,-0.0289594020002079,0.0010764037912872,0.0137306171116961,-0.194754048458689,0.007286425664098,-0.160478608984444,-0.0105570371837784,-0.0280253112101726,-0.0392059380903457,0.100515672784228,0.0427676443853141,0.0844731162794662,0.009844178422962,0.0136193542198083,-0.0091222633802477,-0.0681317024720759,0.0316931053788015,-0.0220585151940468,0.073733659703174,0.067737107332241,0.0914568033772648,0.0511692864774045,0.0388514493417728,-0.001856537789059
