,B7,CD101,CD107a,CD11a,CD11b,CD11c,CD122,CD138,CD154,CD158b,CD16,CD169,CD197,CD1c,CD2,CD223,CD224,CD226,CD244,CD254,CD257,CD269,CD30,CD303,CD305,CD307d,CD319,CD32,CD326,CD335,CD336,CD337,CD35,CD366,CD38,CD4,CD41,CD45,CD45RA,CD47,CD49d,CD49f,CD5,CD52,CD54,CD56,CD57,CD58,CD62L,CD69,CD70,CD82,CD88,CD94,CD95,CD96,CD99,CLEC12A,CX3CR1,ITGB7,Ig,KLRG1,Mac,NLRP2,Podoplanin,TCR,TIGIT,group
1053BW,0.18586548335803682,0.2345217787780209,0.21793894470854683,0.555826826659215,0.375325480940737,0.6250225088339953,1.2035348822931309,0.22999274316726057,0.25708312739078437,0.9756074355673802,1.9524418839580895,0.18566513842886628,0.2551573701991614,0.1729522966366217,0.548656157132853,0.23320550183171668,0.2480495982063622,0.7213175126125536,1.3003809328268057,0.25057861726451486,0.2329139633026439,0.2501005322307242,0.3659950399802904,0.30637941053411627,0.6000065711663538,0.2428521280485077,0.3123379926288898,0.11930527974846702,0.2043340505116149,1.3744931469706978,0.29634746579781956,0.8881883739219014,0.12049011777802457,0.4294595981773025,0.7984293002892933,0.14617609124146666,0.1349582759836137,0.5098348407183504,1.202134222342046,0.5312920531032249,0.48412821435222425,0.3636978466757132,0.20664856870802137,0.2278032384083308,0.4637172352030587,1.758404933114682,0.5130208474588734,0.2854822589347274,0.7953261933505876,0.21384398103207633,0.28237966866504455,0.18155038954884853,0.19361360693037505,1.3651380571177807,0.25194498634699886,0.34871473700989675,0.7044999724172348,0.16023612409831847,0.47869299837955126,0.23690469954514737,0.2407736452516332,0.6825223345626809,0.38150045684898787,0.20086620909317174,0.30848291134780725,0.24229725369215716,0.394426055404566,healthy
Mix_donor1,0.6803471772409128,0.33879890280482,0.8695888892701557,0.5593828612727278,0.47823913313194283,0.5858836008534336,1.3389097491335358,0.9586816245219042,0.739034866076506,0.923199517545747,2.1202167763217563,0.6166884045617999,0.6933021948557488,0.5306488441122191,0.6720727134448656,0.7109508076241511,0.47340268930816004,1.0218526378635169,1.4259840888369213,0.703726808571669,0.742498822779968,0.7419441853449839,1.0808413589353232,0.7366422107687136,0.7871238224173657,0.6819812434558786,0.7766856759241254,0.2994469366885768,0.9803206440642379,1.4405853338340677,0.7483414899732059,1.0814509339086593,0.25365912771579624,0.7200398944063672,0.9713379013869724,0.2859270368522735,1.0294493513329974,0.5598583796101495,1.4182229882647563,0.5380530955496878,0.5910348278524242,1.2167618733523586,0.32605472873028346,0.5011572636905343,0.6286703833126673,1.5409019130719734,0.48241317249319454,0.676100230144033,0.8943688667005428,0.5927281038537111,0.7857173564834097,0.42941024783439885,0.45845478804289536,0.9988685477648108,0.3961299249397897,0.7393599753759644,0.8468373442710949,0.1922699748431371,0.8552931148230917,0.6449935414758637,0.527288265037715,0.793875273303677,0.6833278265950837,0.7410736460198396,0.882662694320019,0.4313247701328791,0.7921851718943739,healthy
CL2,0.55736923922032,0.31235075060788964,0.728402191664143,0.6041784782531869,0.5845467390847708,0.9189168161507447,1.4679256982406115,0.7220935985895378,0.5750308303956421,0.7441871570860887,2.1753522787956214,0.477668074456529,0.5292518399805899,0.4320211904386984,0.7444804636110687,0.6015825999832166,0.4147207990728946,1.0115872871369156,1.6175837564490294,0.8189445422776175,0.6195700190341158,0.615621395634989,0.7506738594298057,0.6057475421960514,0.5488574780716972,0.5180395794959219,0.6736772825558752,0.21950908830328283,0.5366393395810384,1.51369304663734,0.6580352968782547,1.245616484779123,0.30179562182855596,0.5795792868684967,1.047143622463653,0.16759422756142572,1.2905511305935438,0.5147907473724526,1.1791812824089254,0.5102580819012777,0.6404619560046309,1.1176747929555864,0.14720921407218648,0.2936359418405563,0.6276257304221476,1.5698699436908983,0.233138747170367,0.7828397066123239,0.496263028282096,0.6071189433406045,0.6431208777315386,0.35406249218652464,0.5206408596518443,1.5786804904989407,0.3974106391694173,0.7270882321978573,0.8064027573726256,0.27632114072567343,0.7905912159101491,0.48415738256545604,0.4327688115180071,0.9205984649545951,0.615087960934054,0.49670993527544244,0.4747337051356258,0.24344614735685427,0.7952331369052291,healthy
BP08191115,0.47087963175667863,0.13073450917759102,0.5847091906083521,0.45426253717874027,0.1423023702747166,0.4888508681833198,0.9793094943887691,0.5367744525478854,0.5795965445705336,0.5271169478190691,2.057121986781545,0.38419929269297026,0.3718755515553184,0.07927783468692555,0.38149718500613683,0.45410125285261577,0.1652233627536272,0.5933192725988452,0.9623137074975026,0.39784377706532253,0.454014497444058,0.5972902678199287,0.6480605286777916,0.4626691018543666,0.2932542510102877,0.4163729397475349,0.5176907273383031,0.11324237907690893,0.7656706425985388,0.8619757844388908,0.550926067571197,0.7580449272079407,0.06770307138432122,0.3888282484152907,0.8692806510186224,0.08159689046467426,0.23997862289934857,0.41239246232865934,1.9584452749589845,0.3910460735254288,0.3561256680735751,0.4852766690511373,0.1046086591343356,0.143632385861203,0.2219444411124706,1.1145899995054576,0.3124126009551166,0.44734044140112555,0.2593569581396265,0.31548320471492197,0.5058148137920403,0.21833547069796755,0.24231145150266567,1.3366286220063492,0.22695057027520044,0.4525662465637778,0.47448700575626523,0.08718011176579146,0.49067306498322155,0.4010090840295695,1.1671817563997808,0.37149415348111336,0.47004064937804046,0.4228538858410348,0.6774093834823373,0.16577820140900712,0.5412886568981448,healthy
BP0319250,0.730057241118533,0.19759441951089687,0.6728115141138123,0.7333535345311263,0.16022501044754053,0.757476485516233,1.1933518674413202,0.716833810729085,0.728069131784083,0.8299164102122781,1.7127831891544474,0.45740373587323807,0.39577845312818816,0.10082851649891186,0.7160521778067914,0.5793232673805372,0.33876816689435835,0.9316036892907154,1.264183567341825,0.4319770213168402,0.5342531243504981,0.6329192122003737,1.0116786611774233,0.6020213845751509,0.6948847815461283,0.5288294586815911,0.6405231690251185,0.14250933495158946,0.3824030206032242,1.0136388852670186,0.6978064526733754,0.8931025851606272,0.07842154128201807,0.5933893503496313,0.5968831319193362,0.07591608927182283,0.21490017929783606,0.6202431490583706,2.260573965139678,0.6215948328527098,0.6357482514106971,0.464924222646582,0.09350563191440144,0.3475694856979543,0.46416844717724776,1.4843931778464146,0.8857701055399368,0.5494478410048218,0.6877563589180294,0.4496049141715516,0.6130229181311032,0.36088645390988994,0.45008534885100276,1.501072514044983,0.37634141076249233,0.6937716373483166,0.8311687801867014,0.1140844341888277,0.7065863739781765,0.28185686835743073,1.2252638224600523,0.8372608229307092,0.6659055497866959,0.4258425217493306,0.38655516942271023,0.19360818517650086,0.7934672192959691,healthy
BP0219101,0.6329689618474411,0.21551556551955667,0.5983805383869778,0.7733469466066761,0.24285286235681852,0.5515664698781608,1.263388163844007,0.6212837111099431,0.7643406472076673,0.5799161125425805,2.187973575022517,0.4614240301030393,0.42678247736366354,0.10400528311136772,0.5802628195318018,0.5399964917802009,0.23126615619431953,0.8769245884064772,1.4646138496539718,0.4136619813120425,0.5166880192843863,0.6441243718960119,0.9420222685503107,0.5757628401817315,0.4739608155139637,0.5336819488491235,0.6795632383562359,0.14749699134594169,0.4487894827796648,1.2678670971709203,0.7119049756172068,1.2305302529678495,0.08915265504988193,0.6737849634724743,0.937352427482001,0.12127541906635841,0.26167199255549484,0.7125464145791385,2.30431227685675,0.5006367998665496,0.6943458323690668,0.728462479330672,0.10965021574738434,0.31338691155370463,0.4127043168112912,1.539720440443036,0.9103365012081888,0.6246340207316702,0.4289179189357451,0.5342846186152662,0.6133226471544638,0.29338065462606217,0.43014989933811965,1.4696012674543235,0.35778180716164315,0.6435545973782233,0.7113753388681231,0.13060845830146334,0.8509073699973471,0.3939910443263515,0.9785028384981382,0.9387621192558865,0.5371476102846562,0.4100540540146974,0.40623183562106385,0.1735683890527385,0.870949154764753,healthy
7541BW,0.17583288896456895,0.23244869801199236,0.20963213199200387,0.4644470739140469,0.3494068213926241,0.331417464551687,1.0027707055400605,0.1912335725106098,0.23139487292900734,0.5888803816918964,1.8602084261903835,0.15879105764246615,0.23567546655666516,0.19155065184703934,0.5085952114424507,0.21706445666190038,0.1887964999396779,0.6316120303697644,1.1641050868483223,0.22447350250390088,0.19129417914327013,0.22841939552771232,0.31693387116014715,0.23676656286428382,0.2972486265335922,0.1871099718786045,0.23965608067933547,0.09786079085066697,0.1874003788913692,1.2378671530479743,0.276609857771709,0.7380319944538732,0.10956574675694256,0.3885791574786756,0.8110213213757876,0.16401569060796128,0.09226041523983987,0.39973532023648223,1.1018931713907811,0.4654403314291069,0.45701414112111655,0.7993105008873697,0.21395062695900235,0.2634195025192333,0.45735337955610583,1.141508306755197,0.5702847222052967,0.26224014779877275,0.8457126523601711,0.16100598958656087,0.24484706889212168,0.16023008906350378,0.15488118709479182,0.9845540630589279,0.24056109403740647,0.2928485278453968,0.7048782627292546,0.13627899344556083,0.4072507983270558,0.18021964417251513,0.18919890273195047,0.31822899318948034,0.30943431320851167,0.16040670062328288,0.28214945368865824,0.2541746331599255,0.28322859010055834,healthy
BP05191345,0.4239329895543107,0.0911855533172183,0.4929317253070258,0.34519834140438405,0.11712307165415503,0.4551539385730113,0.9588206765289564,0.48269587437254363,0.49838470432061305,0.4538341494354836,1.780414036213833,0.3897714553261252,0.34694705374317286,0.07674831111314014,0.3143390993988058,0.41607891880771164,0.15117803475121067,0.5812801374359136,0.9166521557539231,0.29354956357277207,0.394701590680122,0.5335066053696935,0.5597134968515924,0.4141472620741007,0.4847188165507989,0.3749015779319837,0.4664486456616539,0.11539020186438932,0.7083932582878835,0.6025826634770884,0.45246424594646617,0.7191913678206164,0.07010991542391817,0.400050565094078,0.724458785952384,0.08974573542685543,0.21300206183160456,0.41162256102882794,1.9784682600466001,0.34037815797070964,0.3453977365443095,0.3795187339741969,0.125436473332499,0.20587418876068267,0.2075165193471787,0.9915393153251563,0.45438791692813685,0.37473177734897173,0.1596686014611557,0.336653680034115,0.4729370873669121,0.19206562804280097,0.2094857622245955,0.9954765590282524,0.18871514281447144,0.40869266557414025,0.5856244159596724,0.06928417794721993,0.5585621638829946,0.3421972416531164,1.0682954874962323,0.4189215569104849,0.4109272042969819,0.3754858176293925,0.5959895770605433,0.14710517338155188,0.46320041900103187,healthy
3577BW,0.20362914629316534,0.21739312877343078,0.2324132636059199,0.5276354574691782,0.34478007106477065,0.38365502323683853,0.9121981541134556,0.22817971145266888,0.2554015965348975,0.9358558353488646,2.329000406554151,0.1750053494544275,0.2548887591173702,0.19192110564187656,0.6656859255636107,0.25248644762497274,0.15214903065503424,0.7128902842420524,1.2509931056297268,0.2488687857947043,0.22079844238101043,0.26777942275433886,0.3556995208493365,0.25775292553372137,0.5491407180393651,0.2202311104905372,0.3505736962665844,0.11192697277371608,0.21701671328628155,0.6156160856462873,0.3198168478012462,0.42725505327921487,0.09762728073568971,0.39847215188354507,0.5619201041753309,0.15461545983697272,0.12681992405562373,0.4923561399122285,1.1251429013895833,0.5633092003287408,0.4465672618246833,0.3096865797972337,0.19317241776521488,0.2929532139470945,0.34985772776776414,1.2822892255894742,1.3067358928166786,0.29887604533708256,0.5020317872923687,0.28539617188006333,0.2932194556504257,0.14906059568997518,0.18336453174166245,1.2637882624923213,0.2926985712509528,0.3317971238140202,0.8677884175118258,0.1173084374490375,0.6036551384164951,0.1856296345648832,0.3565310060617926,0.7109667126804615,0.35379124676034146,0.19104588259922425,0.32515978734950496,0.24177938594409093,0.3654740050003115,healthy
3283BW,0.1883772288891653,0.19798485876411362,0.223260156117261,0.4383704721487465,0.38415077312254325,0.4549865928496894,0.8536644817108432,0.19350411240490803,0.24938060271531218,0.44351152936674393,0.9647934753657593,0.19210373859225435,0.2833627833488518,0.24270828250715543,0.6280450359875392,0.22634222250028901,0.16877601728493374,0.6748251510658781,1.0462942776013748,0.23368151646924998,0.20048403781700597,0.22904824204544044,0.3605256277137658,0.2573497251914209,0.4578740842530467,0.2191375728849609,0.30557196008791665,0.07741689232627151,0.21147764388007986,1.238348975689006,0.3065517848317263,0.9120180655215361,0.07723824166089112,0.34552049032987897,0.7186763536515416,0.25196554893785417,0.103976106872511,0.3955469437657739,1.0228280998915305,0.42640863310839655,0.3802892094984088,0.5037999739330707,0.33428335695418315,0.2657153086703189,0.5039228586901341,1.3464211968751514,0.4694359486946542,0.2589302419208594,0.5039774268340386,0.18717589757976388,0.2690459774734031,0.23725819042291038,0.18399118750186638,1.4126756042613604,0.2646218734808184,0.3485287379213696,0.6992682345590587,0.11274330415065797,0.47782284905512745,0.2676004388357274,0.20880159042511653,0.4135916217973172,0.31219574762731056,0.21702538148528622,0.31619481775028907,0.3067338080088043,0.3467955966473475,healthy
