group,CD19,CD56,CD95,CD45RA,HLA,CD14,CD16,CD11c,CD1c,CD274,CD38,CD25,Anti-PE,CD94
healthy,-0.261876591630878,-0.297318806156678,-0.383480346362026,-0.257112627000247,-0.316060664404474,-0.358399263184924,-0.0930248628053945,-0.299162986979459,0.112512076690088,-0.354661560739779,-0.126402634857659,-0.384871241322437,-0.353114358622098,-0.447973619120032
healthy,-0.0929513505887875,-0.0562615412184601,0.113398029026517,-0.21661397020428,0.0400346123780111,0.068896305877544,-0.198072379109619,-0.106271341075921,0.0055293869121858,-0.0786598085937286,-0.566408914523585,-0.105786327184787,-0.17409068994194,0.482249700605363
healthy,-0.173216080113975,-0.0774456074306135,-0.117767819500071,-0.256765137573597,-0.0837696835992094,0.0028448370372261,-0.462023283959935,-0.0519340870180661,-0.174122153343759,-0.159777820415074,-0.177824661189094,-0.137467570933035,-0.232789002809,-0.131924346890099
healthy,-0.133771565053141,-0.203448909974308,-0.0816581998220244,-0.296861051692993,-0.195908233985138,-0.0976429035956421,-0.296432680362218,-0.099618287053851,-0.140921033958828,-0.150503656458636,-0.114112040554186,-0.0608793266629209,-0.0937917931124993,-0.1607263953525
healthy,0.0165000980250489,-0.314634385986927,0.0080124272702982,-0.348269891553825,0.0341016600816541,0.0852432636389635,-0.328077532793785,-0.0760534140889921,7.57923836272933e-05,-0.0116458037703467,-0.149588252240906,0.0101061862223647,0.005952770144983,-0.130878860477408
moderate,0.0879221036533514,0.36484628219409,0.232816264571122,0.0262304287798493,0.133498463122122,-0.0641168009577319,-0.285032038853457,0.0121411798059726,0.305104203415454,-0.0281994342205186,-0.0593432682708351,0.0731094992799977,0.133086913389325,-0.25955753277161
moderate,-0.192424280348574,-0.0625309414326464,-0.103917362831805,-0.0966534115327629,-0.0419094962607084,-0.134790916514179,0.361655278034001,0.0144218858514593,-0.2675926118506,-0.069446951493805,-0.281127028661303,-0.20154492145361,-0.151844767547488,0.177079347568991
moderate,-0.157568957851393,-0.0980852745104104,0.473509079462473,0.103264831879432,-0.0101762910942479,0.0390854336636572,0.541063696439624,-0.332144779807635,-0.019474013179626,-0.101796825367104,-0.219639289179961,-0.167239175880163,0.111137539057852,-0.22080340575299
severe,-0.18903933187262,-0.174858999810355,-0.240005906088769,-0.367525895198398,-0.0491034643271717,-0.0800277118073891,-0.406247784994905,-0.244573694309794,-0.224247451221215,-0.249177361101144,-0.268894754801214,-0.189399675648747,-0.139129463421606,-0.0941674159778463
severe,0.0299142549196079,-0.134502193592484,-0.182124288517591,-0.126899998183522,0.0537669044424712,-0.0661581674256987,-0.120308164760388,-0.0603215048654946,-0.369377536908936,-0.164940697082431,0.358748825371645,-0.183761984612605,-0.234770128095295,0.215973829663823
severe,-0.373248779813145,-0.166712472877354,-0.30387917818937,-0.298610079272877,0.0695950404716988,-0.161482666387827,0.0375577356409718,0.141268731171087,-0.0187055510633385,0.0277355018116184,0.348796676520014,-0.0619909031640227,-0.138545098322036,-0.327084420828762
severe,0.235777896774588,0.222843861530865,0.185968455438738,-0.0727910296963198,0.370946038195069,0.128800272421072,0.0517924479965245,0.536422914027499,0.115547992372241,0.236326942878874,0.59807835667786,0.208538882130226,0.132188831825113,-0.0021428076920408
