group,CD4,CD56,CD69,CD95,CD197,CD45RO,CD45RA,CD16,CD38,CD34,CD94
healthy,-0.0091097071377725,0.0567710475711774,0.0702513930860768,0.189190237002519,0.237324796305775,0.214666423006888,-0.137993732955868,-0.16011860851219,-0.349439477555616,-0.127125718640206,-0.100110098962594
healthy,-0.148690540178204,-0.392433126395961,0.0739303943079544,-0.0774458154847348,-0.0902840722552402,-0.119097031690988,-0.128191408201229,0.350763363048477,0.0130646530478687,-0.0866532915017178,-0.0833842584827883
healthy,-0.0908889414493465,-0.0013943019276931,-0.0319847621418361,-0.0088823624810394,-0.193482273116743,-0.112950638223004,-0.179213468678648,-0.0704359899792102,-0.338236875017606,0.143874659443906,0.0867002530506553
healthy,-0.245953926484572,-0.224394554506571,-0.0617168710413485,-0.144121668629012,-0.0682250413039156,-0.242323084531428,0.113959901770009,0.327913060302465,0.350928439278249,-0.124736823678035,-0.668031824281068
healthy,-0.26881830763153,0.294243583192887,0.172701917834534,-0.265551153472997,-0.136140799537317,-0.0914483018574473,-0.179711580699493,0.19328485205177,-0.323344054507712,-0.0207813395056491,-0.0699984856403229
moderate,0.061838828312239,-0.0041875787830133,0.0495306507292205,0.0069482260063152,-0.0943407156132615,0.105745140763375,-0.0182399006428485,-0.182618828995887,-0.482540275009265,0.129986530121153,0.0423130386999684
moderate,0.133219679085146,-0.070699746510849,0.0291786984623921,0.0805752891985806,-0.0295545707104389,0.149938131057442,0.0522470522964579,0.307878260006721,-0.225596577661477,0.0325483973357465,-0.563519535119609
moderate,-0.10909480480827,0.279257245300721,-0.204173504405677,-0.24984392358394,-0.113666831356783,-0.437549840132194,-0.0815069594168689,-0.436244085632798,-0.0014094455892074,-0.142480344988397,0.180435323631315
severe,-0.0887948644460222,0.126158097819473,-0.0534940305016639,-0.0803701705109489,-0.092213403440864,-0.10085019031101,-0.0157938132443398,0.768559579206652,0.0558570746790217,-0.0126396471023716,-0.230298510784874
severe,-0.0894081494231466,0.234900410381246,0.184828549238736,0.113970711372167,-0.448594936299879,-0.10443876326394,0.429594081798078,0.454089384094824,-0.0816815901940774,0.0088277902570907,0.297349907472595
severe,0.422633213226395,0.187282006073677,0.121017520088859,0.406936845181647,0.213309464496503,0.0667181027475841,0.358721898734885,0.264922279179715,-0.481095327714021,0.454324930620516,0.290787321100772
severe,0.114511250751264,0.401629087238076,0.486944502529666,-0.0728835867064511,-0.0290518699536846,0.0427733220102079,0.032489849600986,0.799033495852207,0.048271190358093,0.160469163188217,0.0242647367798253
