group,CD19,CD69,CD16,CD11c,CD274,CD38,CD34,TCR-Va7-2,CD94
healthy,0.0676627128529655,0.0997538437289694,0.169831445039158,-0.002980836011832,-0.160258605553224,-0.36622888716081,-0.211339631943983,0.187063061992199,-0.333995050167075
healthy,-0.0204991576579094,0.0713733192595643,0.0572776188756672,-0.0863958941764882,-0.004375253966014,-0.712152090981932,-0.0014763846722178,-0.0231049780782807,0.735624663777393
healthy,-0.0913055538902666,0.0636204676984598,-0.653635065467979,-0.159760768150381,-0.165171864431246,-0.36671609656704,-0.0957399311576469,-0.108590635626798,0.157655547402876
healthy,-0.171866154932239,-0.14676395436668,-0.0728544713850866,-0.0765846139646305,-0.141109785497583,-0.330869671080017,-0.124527440154117,-0.0952258286567392,0.138645769736503
healthy,0.0759465301350148,-0.139550836468418,-0.0679467612689761,-0.0752154487212331,-0.0445360087369297,-0.232824034931709,0.0132548685454745,0.0725722485685554,-0.427349225052976
moderate,0.375758923854311,0.175855350745612,-0.0803319811647853,-0.0407091658937289,-0.357838212847096,-0.188131560925703,-0.113166231544246,-0.458586427545009,0.128535147380928
moderate,-0.131801879412005,-0.0254925749017042,0.172622961696801,-0.0106082247845144,-0.0689364641823516,-0.52533077814828,-0.154396298690577,-0.170555714787216,0.0899669531559873
moderate,-0.197915455774099,0.213177359926895,0.555779987440097,-0.374865883296687,-0.11595150259485,-0.224608098528269,0.136849261980909,-0.0363916215062448,0.0089759820970596
severe,-0.161531512696198,-0.0302903758486457,-0.656840529863931,-0.157901315969784,-0.163237663740793,-0.1884787635502,-0.0739920920587504,0.0027140004245562,-0.106011742662224
severe,-0.0056354085795387,-0.130787038775203,0.428852344742813,0.0842069629497783,0.0014716182080395,-0.118943657136032,-0.373168654373143,-0.108292511144033,-0.0930463298299255
severe,0.286543442232023,-0.168182795066802,-0.0992988220088718,-0.316751250467892,0.0045883422750084,-0.342882550768964,0.100423947006829,0.131265614767115,0.14809627212297
severe,0.162157745168408,0.547514696860597,-0.273896893000534,-0.0708596871057855,0.0785567521774222,0.254880615361483,0.0669553821169247,-0.0391368903148314,0.204770312525824
