group,CD3,CD56,CD197,CD16,CD1c,CD38,CD34,CD94
healthy,-0.298580855653271,-0.112974471186692,0.0815966952261475,0.124390808338599,0.353825443534722,0.298360468073112,0.184173236100966,-0.0857706886840605
healthy,0.018091849092166,-0.100740885087506,-0.0377535651464521,0.623852397061701,-0.0525933241407565,-0.0065028425039739,0.0233742098734232,-0.333296644048538
healthy,0.0090257149323211,-0.004412149629241,0.0423114285849507,0.656182215116708,0.075164469306855,0.495700866821832,0.194110584781928,-0.405625306027161
healthy,-0.0653057763370562,-0.431718530786162,-0.0133800335018689,-0.28315573364674,0.0062482077817169,0.649389675204325,-0.0252794451594748,-0.347331561705283
healthy,-0.29134940114183,-0.105353606615484,-0.278170166692236,-0.149930494084667,-0.210587587773696,0.391201141581692,-0.211383065228809,-0.24557001799523
moderate,0.262612418181525,0.389162084927987,-0.0218441284560109,0.751648451469181,0.17973153991485,0.0811929450344313,0.0880129410118079,-0.0858279210894048
moderate,0.0734034291518766,0.120387490169209,0.131680757405863,-0.0425310859334906,0.0857620270071025,0.413191697187598,0.139152588000056,0.0953815881929594
moderate,0.308709019917011,0.036863281911938,0.0102385594471249,0.496462812486026,0.109362119881372,-0.445367547672131,0.157454510297223,0.0012436502667446
severe,0.0687280797730543,0.219167161589977,0.0752351138947542,0.723930470458437,0.103423557160946,0.215408766031556,0.145807166250988,0.0164584381875988
severe,-0.0463279438429118,0.0793092704535154,-0.0143242901755344,0.382992496119563,0.0669003947597188,0.040934472452354,-0.408915175869972,-0.281848313614622
severe,0.194623815336595,0.110548406362934,0.42648159793587,0.35922708533833,0.508756666810765,0.0796184906022848,-0.17883622655774,0.0544627547285211
severe,0.457383378312012,-0.110356819423768,-0.0084992684574386,0.143367409410113,-0.0058320193702465,-0.476120909918112,-0.0153269353667394,-0.199330928074482
