group,CD3,CD20,CD56,CD28,CD45RA,CD16,CD38,CD34,CD94
healthy,-0.34669015613,0.0459478900703359,-0.110333512246556,-0.113517028175605,-0.377613897708289,-0.12988223319312,0.0980439795943318,-0.36804996280056,-0.299219192642432
healthy,0.106134725826564,0.202735217584107,-0.151413832403041,-0.0003306343249801,0.267219253076517,-0.268715208307635,0.609734105169882,-0.0594967541196828,-0.663721163945286
healthy,-0.240539029200635,-0.054018314644315,-0.35648552948639,-0.128758303555369,-0.123976394059529,0.487387288555004,0.375383882924577,-0.0940967575989024,-0.629582623132979
healthy,-0.0751757118982796,0.145314332873342,0.16295515964191,-0.0566114816430522,0.181401416383745,0.578338312505352,0.28558151842488,0.0404531260373688,-0.148136308209296
healthy,0.0070477964723396,0.0147644476305575,-0.243433870802225,0.0020922126889365,-0.405800575351318,-0.284151609237089,-0.282409921021216,-0.0159739605826966,-0.0634160386318253
moderate,0.0492113124519968,-0.0637886020025106,-0.292877760695131,-0.0936005393706995,0.218486989212287,0.104411443259157,0.435918925912139,-0.0800893115726102,-0.105348776166824
moderate,-0.224355660645402,-0.115945131179619,-0.291263958492348,-0.17831883461087,-0.204382885324972,-0.0803590235664629,-0.0936064963645981,-0.112763845000362,-0.476700900047289
moderate,0.216107841845348,-0.0670097176347708,0.147097898163345,0.0377535454979924,0.164321495138336,0.7164628825919,-0.274638896857238,0.169862150155113,-0.0772871513423199
severe,0.0957255590374026,0.0161820434196177,0.208051816606674,0.135695683660275,0.183069402294791,0.0977781777159784,0.0528414350549889,0.189340313630025,0.510875898458275
severe,0.130548106857375,-0.145147678715192,0.262681639921573,-0.0864493969883642,0.231984172334635,0.317211535580207,-0.232176793328454,-0.18917491236482,0.225812086663731
severe,-0.194315812112042,-0.382168519938162,-0.179923520820417,-0.396026574066048,-0.331435646214588,-0.176808684451897,0.0998906095061727,-0.205750804365989,-0.468441269156808
severe,0.413403368047899,-0.220385420783638,-0.267724636770523,-0.109260888854349,0.0954973351326914,0.0714976712951453,-0.557391548040737,-0.0100751542948496,-0.258023261381372
