group,CD3,CD4,CD69,CD95,CD16,CD11c,CD38,TCR-G-D,CD94
healthy,0.227796054293734,0.35793386946552,0.335224788293165,0.331116805313549,0.394671728010506,0.278516946633516,0.196163936480741,0.310133271145531,0.101390426876952
healthy,0.185109186217859,0.0949551932621001,0.0611526441830195,0.159009658389805,0.202972761630444,-0.192662727362019,-0.732715145213107,0.0013263903884822,0.467998950932523
healthy,-0.0901692188107047,-0.115866669228475,-0.0748523329292912,-0.0178453776222311,-0.439463593160822,-0.0588632344289282,-0.07581835612986,-0.140683413799494,-0.0032980916413468
healthy,0.207038430366717,0.230489993766109,0.121648756822831,0.0938555548792506,-0.0303338140226759,0.0179861686439765,-0.55150743482559,0.227321196089304,0.578141797446686
healthy,0.345917876967141,0.403860434462771,0.149809351768134,0.273657934615797,0.0763414852259303,-0.0430381427247466,-0.418269766898582,0.251856785166281,0.530291830566028
moderate,0.112819300754515,0.085077331088555,0.0967400545529174,0.201006720737181,0.0726688738648066,-0.0875960623523394,-0.0120989882500094,-0.0269145244713543,0.0363059625764956
moderate,0.433730782209123,0.312898061723555,0.216173956017459,0.210274814116378,0.504739909837111,0.213713888874508,-0.201689151261976,0.224145758895688,0.558106905684935
moderate,-0.0083420849824737,0.128700485364223,0.0621001090307553,0.0368952367916188,0.292880866965607,-0.069913315277932,0.372081308038321,0.209986519162269,-0.0516192948455358
severe,0.162167994298101,0.189849237853582,0.236486127233322,0.20965933338776,0.665072590104864,0.198242020256513,0.126682090353161,0.185580900542473,0.276713827264736
severe,0.0581780680577512,0.0228486362570147,-0.203417273211353,-0.008523821335387,-0.217395720113479,-0.0310744454420282,-0.159599629342854,-0.0444315800282217,-0.08312312911623
severe,0.256977357018197,0.496745712779924,0.238879254506467,0.491466132417808,0.321327293817203,0.174490319441159,-0.442431303295307,0.482149055163628,0.520885617774159
severe,0.481424010839891,0.0095587337741888,-0.504893880480623,0.125675427316083,-0.514153103354926,-0.556294308387704,-0.380519156842826,0.110629275973172,0.0022642441207674
