group,CD3,CD8,CD95,CD14,CD16,CD11c,CD38,CD94
healthy,-0.420311885012255,-0.133827753018603,-0.123732592402393,-0.229879042143175,-0.0401719292392223,-0.0999345995075525,0.242892591015142,-0.19930560302571
healthy,-0.141568421228537,-0.116017920419445,-0.224340985791084,-0.0416431883017862,-0.0710832766771484,0.123745150055935,0.719230778469331,-0.801514981838951
healthy,-0.368442252829214,-0.163026959805223,-0.228866514190288,0.0887172128633582,0.0459663904958387,0.0934542413925852,0.121343566552739,-0.560582249666214
healthy,-0.048565951213518,0.0285458698942997,0.0137280044847682,-0.0131367917442053,0.140567539970163,0.0600078993802768,0.512250637889023,-0.68021748415721
healthy,-0.0824510323249578,-0.132505028756001,-0.0856228823984117,-0.043235167385644,0.0417666551924939,0.109797570062297,0.349409270612116,-0.469349192672311
moderate,0.251064660480266,0.0686227179240063,0.326788810213193,0.0583440175387533,0.0196953422947469,0.0313000729660858,0.47677120683273,-0.0399372015313053
moderate,-0.24773607108033,-0.0654411291920168,-0.0942404358986059,-0.0624849637291506,0.0537990496718574,-0.0081529416182894,0.458406617263534,0.164502051834942
moderate,0.291215426446213,0.0923775263858102,0.250403129775001,0.0115713565728512,0.504883060223624,-0.338533128212116,-0.293194268585008,-0.1267372505144
severe,-0.0692478646101057,-0.101488746428271,0.0184965751631315,0.111888111075546,-0.556385703937559,-0.161542644307948,-0.0218772230418746,0.517970675847932
severe,0.125458239879921,0.0453299693771873,-0.0308666424502185,0.0940482869969633,-0.503199332742026,-0.170307300857677,-0.303685529099377,-0.0719346474120824
severe,-0.498246549584224,-0.414395478900918,-0.443649849967422,-0.420931943978871,-0.671524103919453,-0.303031521429479,0.155271440238548,-0.231808810326921
severe,-0.454772244861835,0.0053877746927971,-0.0800778277152066,0.0179048860267056,0.181522740755527,0.595690253874741,0.56226383114157,0.160753460935622
