group,CD56,CD197,CD16,CD163,CD38,CD94
healthy,0.328257064650956,0.254442996975597,0.0638761344264482,0.163071602273836,0.021262638173934,0.604465896248894
healthy,-0.336854077983534,0.0225823391305586,-0.103245448998268,0.0285453336228656,0.703728372460964,-0.779826753171863
healthy,-0.386005554622943,-0.235896193525814,0.0364032405059055,-0.406966487419694,0.0237597079143694,-0.248851732456218
healthy,-0.422359572141763,-0.145287830333145,0.0505215864741566,-0.160619938592837,0.469097107543092,-0.565495588894432
healthy,-0.331901606795228,-0.173624793656256,-0.301543153446858,-0.112211604243546,0.18866628116129,-0.489737141655427
moderate,-0.290596547700804,-0.451870134145422,0.0848895810346441,-0.187178554159418,-0.172860120342623,-0.0365716107360215
moderate,-0.362151585284461,-0.0875633052740667,-0.454572339009177,-0.214217916351472,-0.0205167437794754,-0.493995454247798
moderate,-0.141267858708613,-0.0021977841533237,-0.561825736842384,-0.0456565138733864,0.374643786957942,-0.0130464091432721
severe,-0.0291796558348722,0.130550258747041,-0.635474279964501,0.0862907837904259,0.202455656017249,-0.0426391297541797
severe,-0.0779174787281326,0.0910124833391895,-0.60115704347955,0.116516991538736,-0.0552544487135189,-0.195044712839793
severe,0.0528099662594451,0.208296880911039,0.196169047268646,0.0582977981960494,0.102010122781116,-0.377305101696519
severe,0.0657473296891614,0.0181742633385332,-0.467107471455775,-0.0452535716011486,0.495245187843171,-0.0014450197052322
