group,CD4,CD19,CD95,CD45RA,CD1c,TCR-G-D,Anti-PE,CD25,CD94
healthy,0.226863270822834,-0.0746747528782662,0.0298042509484255,0.194849868524806,-0.24364291621839,-0.129673668796023,0.12046916900727,0.250931352348049,0.427869322517279
healthy,0.0167962902982454,0.210658376861898,0.129285457096231,-0.0571946898209129,0.186053737210658,0.0979696246950855,0.0688927126332222,-0.0415300242870108,-0.633282569841782
healthy,0.159070774301879,0.0589256319756701,0.201554444415316,0.198624632397626,-0.0631783481883124,0.239798902376075,0.242476254988248,0.13092615504598,0.442943199324277
healthy,0.112399861399074,-0.0992049754855712,0.0171668061844704,-0.0804310143865131,0.0229285633116056,-0.0006950455835828,0.017187976520306,-0.728319061530795,-0.108699385711646
healthy,0.286373538456795,0.13549000887069,0.205999618743986,0.157126219938096,0.105974985685372,0.164048633599438,0.0757931272943261,-0.292662511665991,-0.368651531582084
moderate,0.0740267930590041,0.13633155051014,0.0233944461466901,-0.21289447595027,0.334199453963465,0.248976505295318,0.0401903570382196,0.282869478089103,0.120715665265851
moderate,0.180567515875283,0.117576078333951,0.179007035924483,0.199467526190147,0.0693861394637452,0.191819553920529,0.0840421300456698,0.261646073561368,0.50569430981883
moderate,-0.0948039420900448,0.177693013934518,-0.3644572739025,-0.256348238778247,-0.200801739036024,-0.0928679123439185,0.0025131211598858,0.127406823151928,0.0401650539551945
severe,0.278019087147335,0.239062716060709,0.307819942827146,0.379533724868671,0.227011727325171,0.290974973126049,0.203866098045338,0.217432816832583,0.23770407413335
severe,0.155080015897711,0.0676708541909001,-0.0893113294155121,0.346906929847047,-0.190624180045044,0.208208833975504,-0.300613748057692,0.25037714959354,-0.591442794038907
severe,0.671091768621391,0.608140171952253,0.635121232604842,0.600673681734414,0.613301820093204,0.645578400126177,0.612961278077347,0.297802792670898,-0.0287366293793704
severe,-0.111180348597321,0.251366976722001,-0.0420706934688444,0.0761854083783632,-0.0896586984029471,-0.149042680580913,-0.0399971329229759,0.0226342617289912,0.193526045391507
