group,CD4,CD19,CD56,CD28,CD95,CD16,CD38,CD34,TCR-G-D,CD94,FCER1A
healthy,0.0380379902157114,0.12940829331142,0.183242384168299,0.0288440046417776,-0.0103720874023221,0.12789952435286,0.200719430117454,0.155977577738241,0.0436699962949762,0.430459625283356,0.0541976692783235
healthy,-0.0644724181523919,-0.0095695100950811,0.188623934450178,-0.0996607911695079,0.0323285760388525,0.412602133895038,-0.455480058896272,-0.0980388001167011,-0.0718756156723098,0.452009253458805,-0.0192631112648494
healthy,0.062494169016021,0.0549519746375793,-0.0800222174718267,-0.0453912192556619,-0.0863845137348502,0.595715304425083,0.677268348140981,0.0562075922362763,-0.055805154309175,-0.391848892938671,-0.0195305505544424
healthy,-0.141248601499612,-0.12547175143136,-0.310675831679349,-0.148621552166649,-0.0382251351600067,-0.322202192926411,0.22767272355293,-0.0922215013073311,-0.151825290122462,-0.291135774555851,-0.0964026763700239
healthy,0.128989065637381,0.0769306226873128,-0.213623787575611,0.142082248511141,0.120900349700438,0.254418280121322,0.449939686001277,0.0504986473847201,-0.0144714776540459,-0.135773972002332,0.082772262554326
moderate,-0.138910425198863,-0.429038735146676,0.12013745841579,-0.199609935620356,-0.0947491247672723,-0.372476702897848,-0.0556056827286348,-0.137747271857516,-0.160496507065079,0.0109429903133734,-0.156905218153308
moderate,-0.10265763882128,-0.230994196340418,-0.221894068497489,-0.155775267618293,-0.16453801745672,0.387712444178974,0.364401873021393,-0.16089082717281,-0.18170138951309,-0.226672203039491,-0.109033399081012
moderate,-0.226993595024624,-0.183064209214908,-0.567289152240575,-0.166423758587771,0.0423734779730717,-0.150357450067494,0.158747130555386,-0.0474533290765133,-0.109948600247322,-0.32152428178442,-0.119057881220408
severe,-0.267039861607677,-0.249057052720572,-0.0574962549936868,-0.214087587288509,-0.274533323429836,0.211473442357853,-0.270069250592589,-0.104755576468882,-0.275889392971413,-0.0625826664102572,-0.266740951324642
severe,0.104111546339916,-0.169397956696788,-0.187259481212033,-0.0056825970369502,-0.107690739442488,-0.526632731238967,0.0286690684570899,0.271782974665646,0.0053158623060193,-0.122537012313798,-0.0736620430748802
severe,-0.43411687990097,-0.429574601571155,-0.230577279773093,-0.430529409918384,-0.412815051004089,-0.243304347553946,0.563243559967044,-0.423467452878575,-0.42592853975906,-0.307550354905405,-0.423012548458193
severe,-0.114872145884037,-0.0113983983878946,-0.22586880152378,-0.0297868534380069,0.0940183592928783,-0.187327130839158,-0.013791704253207,-0.0767277013593916,-0.0091680063445135,-0.602269380021329,-0.109409885650243
