group,CD3,CD19,CD20,CD56,CD279,CD197,CD16,CD34,TCR-Va7-2,CD94
healthy,-0.0330531935345115,0.108556105086977,-0.435877456641216,0.0094917737029429,-0.0545286651354881,-0.0428413453188223,0.216686468196664,0.294513009603156,-0.0054157763027925,-0.362785899416648
healthy,0.125791451561166,-0.0562043232298659,-0.132118674309148,-0.163637972786987,0.145730840736242,0.209312332985161,0.30896984373361,0.0568792765767958,0.357870177262735,0.35845404337666
healthy,-0.0766270110421969,0.173561806061494,-0.0009590390873248,-0.549967335646697,-0.393388406212655,-0.286951369680183,-0.138091477657577,-0.116355328715737,-0.202138973265815,0.0698019614242117
healthy,-0.228574593222086,-0.160184773196262,-0.10892675970062,-0.353891665951457,-0.0983907657837241,-0.172882412364542,-0.0503326171495379,-0.174418224064687,-0.186089187213295,-0.406824272361713
healthy,-0.0974626974111201,-0.122020494608668,-0.046012384933029,-0.354474394750763,-0.0613146358947428,-0.0964728088526934,-0.341457520078915,-0.102333916926838,-0.0085917328290074,-0.219421279889983
moderate,0.212043050010256,0.347644809572757,0.219112874456136,0.191169932892664,-0.0969988795653609,0.586383637884988,0.0483302625297149,0.0127116705988319,-0.246524441336939,-0.14004156887136
moderate,-0.395988034999555,-0.14933255591764,-0.109731483558611,-0.314906912322586,-0.171408385231576,0.0033179164946196,-0.375790660996964,-0.0553422533479237,-0.213278740898467,-0.251993436864522
moderate,0.201345538068249,-0.177028493189645,-0.0183191729267877,-0.0709570895102599,0.112084668904443,0.0152595676549268,0.638798508988698,0.194480707189176,0.0249622476460327,-0.121839915227377
severe,-0.166029636572673,-0.172110194135132,-0.112343782092181,0.0439231096863898,-0.12446599297668,-0.183652714820492,0.660769063541279,-0.0408552208421543,-0.311520855679441,-0.10390254367161
severe,0.169658847799089,0.389676696360184,0.382311241914076,0.264427728993107,-0.176111413719558,-0.419895650496861,0.615422778697703,0.0822552045450422,-0.0534953447415313,0.0856207278649179
severe,-0.147225541336035,0.270631998989828,0.0806028151142304,-0.129783144559829,0.0184449664196643,0.486048943968613,-0.0835300459337461,-0.366003972105804,-0.108737504564517,-0.180253928809408
severe,0.228353523950442,0.182930522271306,-0.191288620414236,-0.268969655178907,-0.0515100016326295,-0.0226143042087315,-0.216995121196862,-0.150403950760637,-0.0462279154853727,-0.734720199428549
