group,CD8,CD20,CD45RA,CD14,CD16,CD86,CD38,CD25,CD34,CD94
healthy,0.168264985648339,-0.125600608451557,0.150764210322618,0.415495179833365,0.0549084840950257,0.300077299279635,0.0386805633780747,0.412772499082629,0.418162935455209,0.315284684344851
healthy,0.0839304106942178,0.0302012711832981,-0.235055849269222,0.0134581996039373,0.106306018576081,0.0219604212781677,-0.748220271004065,0.0118727562889793,0.0633261998668211,0.762165499181488
healthy,0.0362511954994202,-0.066240747992059,0.236073942448364,-0.0897475838011547,-0.208120631234559,0.0812691674636433,-0.401289731384893,0.0256778453777933,-0.0145473287076896,0.500424322392925
healthy,0.26390060890626,0.181820428315845,0.182589914355285,0.149811294221437,0.499730660170461,-0.405135914556514,0.20726679606718,0.478590843792097,0.189103079693442,-0.0028093846170704
healthy,0.020696978656527,0.0340211451338056,0.0526555553826308,0.0503747097173378,0.600942729491327,0.0841084543499441,0.0867282039013172,0.0279277435923418,0.0539299253037357,0.0816550994438678
moderate,0.0673847455552547,-0.158301134247695,0.130473420046238,0.0575389312652846,0.540141978185392,-0.234443034683494,0.208902347017324,-0.241558390538015,-0.239770698572336,0.112169935359812
moderate,0.190113212987808,0.0852873813817173,0.239830433250207,0.0477431155947558,0.609904079295306,0.178550346367943,0.0095363408220689,0.102313492803913,0.127353113904082,0.307108643223311
moderate,0.140317050348867,-0.0042959506137875,0.198429429907121,0.0265136570625296,0.65059772384423,0.167139409346687,-0.322918366585273,-0.180118969248861,0.163635088727906,-0.122329813151356
severe,0.0089179102308744,-0.0786459539162738,0.0566566414807835,0.0274527489780223,0.747740427217557,-0.0109741756299421,0.0951076673602418,0.0177620629281479,0.0510981725495069,0.0897630056052205
severe,0.031613528920981,0.480571936039504,0.416110031062625,0.071347774641288,0.54471473745173,-0.0653716650214806,0.200215092423053,-0.0128721457122778,-0.161993441716999,0.167079213754231
severe,-0.192861581070693,0.0067748055807219,-0.335504648783404,-0.226897299308932,-0.333230838446583,0.172312102027525,0.239812671350377,0.351681137000093,-0.245591236739473,-0.252677076900035
severe,0.420893839108015,0.363767330257015,-0.0060265113547479,0.163816337831922,0.27964766181021,0.2398516838747,-0.260021087001291,0.229084823246334,0.196056716493528,0.322046990093937
