group,CD20,CD56,CD69,CD16,CD38,TCR-Va7-2,CD94
healthy,0.0242089151134104,0.101966761358278,-0.173398269342736,-0.279702651464961,0.11337410121031,0.0906268722591495,0.244989959325595
healthy,0.0071275481128216,-0.270509795102585,-0.106769469873878,-0.300793046336225,0.600536273456397,-0.019279987250679,-0.694112066970092
healthy,-0.163587537456173,0.0935432918873582,0.111692175587404,-0.255226345077551,-0.16683136011276,0.439972757410406,0.494484623751868
healthy,-0.0743440513485476,-0.465001370567873,-0.117089639885552,-0.0500923956671158,0.523285666994643,-0.27052513337737,-0.491805972480191
healthy,-0.0579745787552821,-0.320233329456712,-0.134596528571954,-0.450421489146888,0.134335120635324,-0.0925114363702662,-0.273966777390321
moderate,-0.0475256551366566,-0.270663244296854,0.400450456460391,-0.0013128800376989,-0.18515604895339,-0.144691773174192,0.181883296320557
moderate,-0.0569889591348177,-0.343399857324077,-0.181219244676293,-0.451482417930796,0.0304660102872859,-0.061297661892012,-0.602185146161725
moderate,-0.0676447123057091,0.0326432872036608,-0.342004547834584,-0.424836778269502,0.441081682513113,-0.0579324840241591,0.404916251719676
severe,-0.10605438598134,-0.254919852605581,-0.13879706603213,-0.603027345298377,-0.130849852581521,-0.112512889328582,-0.281181686552042
severe,0.0909937721935176,0.0633163644412252,0.36076435257043,0.155900939808361,0.397854057574937,0.0992394528031584,-0.0451748419356584
severe,-0.406801018177812,-0.178006892103289,0.0256922116061665,-0.131281046803324,0.124162455074065,-0.100109717678416,-0.539290744686185
severe,0.122228478590621,-0.471526191257298,-0.118056074359656,-0.409158915562593,0.0175287159982136,-0.0165422127614265,-0.315432517553412
