group,CD56,CD45RA,CD16,CD38,TCR-G-D,TCR-Va7-2,Anti-PE,CD94,FCER1A
healthy,-0.203213833220808,-0.0138080459012667,0.187573898641553,0.222061975443401,0.0496161616994087,-0.228115537206236,-0.164870973393732,-0.384824593091647,0.0678425041054487
healthy,0.346247056610365,-0.0769064554925945,0.425138951103537,-0.29766928592067,-0.0467259266857958,-0.0315410020480045,0.0289000882442606,0.470148602617265,0.0601843106689114
healthy,0.234286756828844,0.175582252724442,0.0357235924025184,0.120620400639697,0.234763023601515,0.361959562074529,0.12432141042604,0.330543082627169,0.243265390669274
healthy,0.0751419308192446,0.302185795904997,0.330490502860314,0.397108166702197,0.15612114333084,0.10746204715913,0.10051547526785,-0.266123520274069,0.108641308313823
healthy,0.233572291359597,0.362332547392626,0.429095277543115,0.327995539114955,0.0130341032443732,-0.117308854137286,-0.0366583214205583,-0.0246775189318896,-0.0750206387459896
moderate,0.113257405704261,0.211237276384879,0.514209920279259,0.279447668634284,-0.191581582054022,-0.0511379748013039,0.149438082438288,-0.208199602704558,-0.175643082466336
moderate,-0.180075309356756,0.0230800102577735,-0.287917699290641,0.454531880135849,0.00316845541626,0.121504611995674,0.126840969547083,-0.557558148337778,0.0468257711281274
moderate,0.159350848503961,-0.115883641798227,-0.592330301101505,-0.113049863766878,0.102514561083739,0.0406563871459253,0.16571381081938,0.351084196452411,0.0800306469636793
severe,0.248106999572457,0.236946070410457,0.368688325039802,0.30723276599005,0.202909231555662,0.140314995615437,0.147967987278677,0.125046459980701,0.148068906469263
severe,-0.0539408185393085,-0.159586380537261,0.323705402619492,-0.34218185849312,-0.0226089000605961,-0.06395691061608,0.42556023960763,-0.351083779434848,-0.21942797938063
severe,-0.0095831435856413,-0.111333381210636,-0.209509226594674,0.422432669975283,-0.379898847706415,0.218981448109147,0.0845190564993667,-0.387533973344652,-0.493451859733066
severe,0.395076123536788,0.175796936931547,0.78555231987616,0.163004272478692,-0.0913280869016554,0.0041636268399079,0.100105128935224,0.341675249586561,0.0604653103983558
