group,CD3,CD69,CD95,CD279,CD197,CD45RO,CD16,CD11c,CD1c,CD27,CD38,TCR-G-D,TCR-Va7-2,CD94
healthy,-0.224591930220818,-0.0588038132458464,-0.0668965484173125,0.0378377091165552,-0.106637570854145,0.0031006843169883,0.149979464692621,0.0188211832415506,0.050593222775175,-0.0488930860905647,0.0557183401311646,-0.0061819557400411,0.280911102798351,0.0121426509287547
healthy,0.10310425212292,0.10415592130259,0.207919667681437,-0.213776780241352,-0.201518655512798,0.230415784237837,-0.0770624517921684,-0.0516732753069588,0.21543102347733,0.15602892617373,-0.536385944021816,-0.0283660245216965,-0.153596829796851,0.612943785513282
healthy,0.169618867467548,0.0427133470935967,0.136615495992912,0.406052081073184,0.411687596471554,0.0860920836223402,0.0196587703658367,0.0749159560804623,0.248155076997165,0.132601243466698,-0.0284014398284636,0.408953585208778,0.393159124757087,0.320064307022543
healthy,-0.0475954305171274,0.122387759984327,-0.0132079371699713,0.022789797857234,0.107573582449194,-0.0321767431130034,0.627840889513444,0.135067349592344,-0.0569133781629399,-0.113374099987188,0.17598972932731,0.0191098899147001,0.0794097132708238,-0.399919777267924
healthy,-0.329417901312684,-0.131089425303226,-0.262049083741672,-0.163617747650787,-0.243685312997485,-0.345720337205027,0.262529017041027,0.140540366406696,-0.181175170712647,-0.416139863488727,0.431319131618246,-0.210210531099985,-0.179090992650712,-0.567902723064472
moderate,0.104180438426714,-0.436237953765588,0.101872081076758,-0.176415568407425,0.341045680325037,0.0186290928035497,-0.192618562920874,0.0182696256663824,0.19618307807421,0.142008194510656,0.0310994517509088,0.0591167494961151,-0.24870230232408,-0.159828072108306
moderate,-0.224358139829675,-0.15251842662293,-0.116760319854653,-0.0054213485126691,-0.0677774284155446,-0.0494398686467482,-0.210546196778137,-0.147764156752168,-0.0146569639800163,-0.134009732764298,-0.0946929809499325,-0.138427281132795,-0.139146267177563,-0.597159475178607
moderate,0.0732738245321679,0.201430006765881,0.425309299817347,0.0990625375034849,-0.0112545869829548,0.0181211045132537,0.596156339161212,-0.236022708100812,-0.0140864712752067,-0.0278759712788387,-0.428630073112482,-0.0734191564219314,0.0084874447763379,-0.269736481780468
severe,-0.0202981734212151,0.0751722411580574,0.0560835497893152,0.0857182179853554,0.108972042743802,0.0277239948654499,-0.485837896041593,0.203455849135628,0.0419378648153786,0.0585618470955882,0.228373931396891,0.0699173920796332,0.426591542734395,0.155057732252915
severe,0.030201569790905,0.0941827833987949,-0.133468857003922,0.0673634327342426,0.247445140782713,0.0495346052572014,-0.612181544885818,-0.235942184375754,0.0457009480991897,0.0339518140703887,-0.189421941998487,-0.108782426540926,0.0494209604601725,0.0522847575613648
severe,0.176725405732051,0.0410938177626001,0.0720853661383607,0.0541327133657186,0.309132209613152,0.437073748528042,0.214400625680885,0.120227251473771,0.407369147836266,0.0951388196024897,-0.271536999078552,0.126393567478883,-0.0890853233239526,0.181793391097589
severe,-0.468775876016224,-0.363531819549767,-0.263365564975589,-0.148755435997075,-0.0865301443832965,-0.240872745462796,-0.0860010566528989,0.418387257187937,-0.0429289821836041,-0.194450792602654,0.483232948571814,-0.282037955017666,-0.0843542779074835,0.0678147427880179
