group,CD3,CD95,CD16,CD27,CD38,CD25,CD34,CD94
healthy,-0.4255420114642,-0.0697575421308709,0.15723114301468,-0.304659053023978,0.172899951637216,-0.129454605826353,0.0627485726705328,-0.290035725841966
healthy,-0.200145978466832,-0.184814849041997,0.331076354755677,-0.0720831710956312,0.615435715489718,0.0722298196273087,0.006457970339226,-0.601760740790142
healthy,0.0305727802876934,-0.0118734042964288,0.51448953229337,-0.015471662994618,0.438050325144538,0.149580923958902,0.295080436063848,-0.237931288699401
healthy,-0.0266615112748493,0.0213001263210518,0.373550996278871,-0.0761498292497045,0.421488526279287,0.107465718526415,0.0526333523634008,-0.422764832831543
healthy,-0.27661925641585,-0.204724188445643,0.31313659386557,-0.350140977357967,0.451913757449757,-0.176493873196707,-0.0988204033458105,-0.345729233015475
moderate,-0.119074068420565,-0.016713708505722,-0.359127304406856,-0.0702698219535966,-0.214868355554616,-0.3653735233267,-0.163631413793461,-0.393450632144266
moderate,-0.308003664956444,-0.0791259069447121,-0.397292166565002,-0.0305718001420881,0.374660844005343,0.0185544516370587,0.0958842481174285,-0.641954165913071
moderate,-0.513890056144214,-0.388329109872809,-0.324630313847124,-0.136872017821979,0.202471173519003,0.0267933858060615,-0.145744945440704,-0.141668451502778
severe,-0.0223830466378511,-0.000959770248975,0.341950115953667,-0.0719928343396578,0.290400728803559,-0.0098513696116593,0.130603187007292,-0.389419612811859
severe,0.108491593523906,0.130978809226808,0.171287617552312,-0.0451554547991458,-0.0860515122285136,0.163242038239207,-0.297101153279332,-0.190523678759681
severe,-0.104789541508819,-0.0285660177687066,0.229998373815933,0.0177400678740423,0.244632854765973,-0.14044653544008,-0.362643935640571,0.0632547949076856
severe,-0.334234286751579,-0.167660088663399,0.53299771956573,-0.0663874126567066,0.252004455210779,0.0114448441308074,0.0902052844037882,-0.0406823925688669
