group,CD8,CD69,CD197,CD45RO,CD11c,CD38,Anti-PE,CD94,FCER1A
healthy,-0.0584882752030572,0.135687698928603,-0.0922145561244349,-0.0739487035164658,-0.0641976178176532,0.20423927466595,-0.0758270482163949,-0.355096848149006,-0.162464122013226
healthy,-0.163261253922303,-0.0619262758469057,0.0061947362457686,-0.0693329225253117,0.15304070386824,0.776923673944048,0.0823731889563131,-0.602058810032012,-0.120661643834511
healthy,-0.145710497814501,-0.187588712432065,-0.0875399675182993,-0.19178715910628,0.100737658269918,0.263331263572598,-0.0999649363190459,-0.433118637573872,-0.106935982930766
healthy,0.0669683598536612,0.180264617659486,0.178491028019702,-0.0353218205601787,0.0933318497346904,0.345543258086759,0.0357104414299516,-0.542319936080934,0.0979991297720459
healthy,-0.20375391540945,-0.093675434640386,-0.171023318357281,-0.35495608589104,0.218782943747552,0.441046495143913,-0.0893940315402713,-0.468444838502994,-0.123344147306446
moderate,0.132078993102859,-0.134544443213699,0.208910984306363,0.0476054559110065,0.0529939141866412,-0.241789246607716,0.175541939570462,-0.0442818343338741,0.155301015050853
moderate,0.0462166552141543,-0.0098064607516435,0.120657397902745,-0.0690468637562528,0.0161563592014441,0.617157528997837,0.113206233453033,-0.167333757626569,0.0789715036158771
moderate,0.175499201638413,-0.122759964336648,-0.0889956840441404,0.0984075615965977,-0.373344652179646,0.0207858296456178,0.119173768390397,0.111413144815179,-0.0655286783449812
severe,0.0273594697676889,0.0458929089008497,0.0504173809638919,0.122067556207546,0.084570932728386,0.220784015385596,0.177919922192305,0.340319529641895,0.151389171921254
severe,0.0272917888087485,-0.0828511094660824,-0.165317520261251,-0.0030793134047525,0.121064323729713,-0.0327642879766151,0.512343881330821,-0.0673882569994962,-0.0386100365758423
severe,-0.514628691372116,-0.558882781974995,-0.513686819217234,-0.547745696287375,-0.290372419822964,0.26316150307273,-0.436308525255393,-0.0137867400474837,-0.560364068887709
severe,-0.0961326155745379,-0.0177787631151505,-0.128325981854794,-0.189037169120449,0.56944634298819,0.718726754763421,-0.0459467112874167,0.170088363667962,-0.0326227918295659
