group,CD45RA,CD14,CD16,CD86,CD38,CD25,CD34,TCR-Va7-2,CD94
healthy,0.405561435014905,0.442968734124386,-0.239911437957852,0.201190171344118,0.0682378259215932,0.274832924381218,0.301338755645721,0.0431050727735957,0.573660104707872
healthy,0.266019186381625,-0.030362555702471,-0.100037787476189,0.0161447652374145,0.663065297130265,-0.0001401967532059,-0.014385356602787,0.0093078586295118,-0.823111894723729
healthy,-0.207140560688457,-0.169262526376894,-0.63405045090121,-0.0783150745277478,-0.334046866684189,-0.0985251307695216,-0.193465011519449,-0.0835306475492687,0.359296474110387
healthy,0.0138909718576754,-0.122683852720324,-0.228613376540476,0.521866428335879,-0.134888634999399,-0.535064425487251,-0.147622298637443,-0.339887628371471,0.402326558575397
healthy,-0.0324787608603961,-0.0016389586593417,-0.630037654073204,-0.0268160531271551,-0.22569565442495,0.030522181973381,-0.0034641029124305,0.0642006336650126,-0.0171981050642267
moderate,0.281374929308747,-0.0885572412372251,-0.22781145815655,-0.122936823225897,0.0302752991542609,-0.101196485445412,0.133038531290051,-0.0624898342829501,0.442676949963509
moderate,0.203835845974116,0.134081182128627,-0.194546974928627,0.0377913961169393,0.289574297900303,0.22206622977687,0.148430663179921,0.259205847844973,-0.181243209880257
moderate,0.193217205567861,0.0002501050070691,0.404703765858482,0.0911526746297593,-0.381094363301784,-0.214033713515088,0.105251615040161,-0.0601044776703742,-0.006492791445483
severe,0.17941665956533,0.0847295587606681,-0.627597584528407,0.184764610653576,0.149713602530419,0.176389999028827,0.17443011299553,0.159135940254168,0.0496083825747197
severe,0.28909100754629,0.0446923571584907,-0.0665738532186216,0.333925222912945,0.0299007990884649,0.121086364671463,-0.0281118473923863,-0.0797476898461717,-0.103974909126215
severe,0.031492028284704,0.186129657367072,0.0170685884197131,0.0373096449211463,-0.310098466403317,0.0381666797503508,0.443250524719798,0.433580528276147,0.0022578780226648
severe,0.21431821745492,-0.386740775020994,-0.0141069899874677,-0.184844834614639,0.334430575167634,-0.208880136254797,-0.232274938955743,-0.131293172975042,-0.212127547989792
