group,CD20,CD69,CD28,CD95,CD45RA,CD16,CD25,CD94,FCER1A
healthy,0.337635063006408,-0.102980440463812,0.0698832381759966,-0.0220732627015123,0.0321575502390923,0.0433615043300743,-0.0454735356932582,-0.0610530137931778,0.225898783514317
healthy,-0.003774977261138,0.0952455352140636,-0.222552589233199,-0.0614357375396185,-0.0075124017404241,0.668933336523295,0.0346220108182572,0.0783511520671288,0.0750472542247447
healthy,0.0257379924807118,-0.165197759127712,-0.121652170025757,-0.213371093136083,-0.11418565064918,0.341676812789488,-0.130691254290701,-0.6135374663383,-0.0677966195714253
healthy,0.0373744739362034,0.0616245719841823,-0.105679018781232,-0.0344611891525788,-0.0526885280048608,0.214041565431785,0.118417771549402,-0.630211092248565,0.0304909317951913
healthy,-0.0977283446113975,-0.167729457270756,-0.323400314892911,-0.262023911693623,-0.0537068473198737,0.0958565636386921,-0.29985387675453,-0.632200133437287,-0.164314187937146
moderate,0.16609983301619,-0.0037637207443208,0.0642788378559468,-0.0073516157185726,-0.325995134661131,-0.412490630702627,-0.475468409298479,-0.319643290273408,-0.119753332666918
moderate,0.0263431865631964,0.0942760104044661,0.157692628214776,0.134361109936272,0.175272135329836,0.596021165593568,0.071065538471482,-0.347146918494066,0.104841196927508
moderate,0.249706997718877,0.294315229655463,0.139044879108799,-0.0195474730503513,0.139520281974373,-0.531212492354324,0.192235226978234,-0.0337840512977335,0.0363623497052278
severe,-0.168253638027287,0.0554975865432297,-0.159978288163773,-0.104741623275428,-0.230393843006056,-0.470398382860121,-0.0545522018898093,-0.0093883151107476,-0.062780648109402
severe,0.16917311766709,0.26416551801124,-0.024674969297459,0.0746465808265254,0.530008410976673,0.0694819707770766,-0.0735017438746888,-0.0095098924943694,0.386293861490686
severe,0.67504857658168,0.47096670941611,0.545069202643318,0.490847373910183,0.315091249341528,0.321258882641173,-0.061545910485319,0.320652889491475,0.462461302268914
severe,-0.0390669353843276,-0.131793275512089,0.0051914312712089,0.24671259755107,-0.0674878587701619,-0.721368967789879,-0.0060759519619899,-0.195176178686516,-0.0435117851485232
