group,CD3,CD4,CD279,CD45RA,CD16,CD11c,CD27,CD38,CD94
healthy,-0.0622027286688595,-0.0313690396744336,-0.0404544179099029,0.021849202043769,-0.245831790309597,0.0313134672140514,0.0170403957413869,0.157195183374096,0.400747359715089
healthy,0.0448426059845123,0.0404034105529388,0.0624255238523978,0.180961384308786,-0.0731546736386083,-0.0240828508059769,0.0509741481609421,0.11913447911828,-0.294456603178768
healthy,0.146813736872516,0.121225211318161,0.167633215549562,0.160509905595303,-0.142263931929922,0.05128413880458,0.192224216124888,-0.0646375172015089,0.593863591254669
healthy,0.200923770781148,0.211154716989826,-0.0101042701025462,0.0187833928407018,-0.0374580097268336,-0.0033745715134377,0.281956340294621,-0.351257549017514,0.648788277950418
healthy,0.365663294971742,0.417670014443258,0.14836840931016,-0.0384011190367322,0.0658679272890861,-0.0326553952507485,0.438995903362132,-0.326166548366685,0.592564211165522
moderate,-0.0202166086411572,0.0928052706883973,0.118370681845925,0.0955544695139904,-0.181625066618249,-0.143242779327508,0.0198481426921562,-0.0660670690658244,0.380412449088826
moderate,0.358916629096205,0.240087273442403,-0.036606060408306,0.177406711097809,0.334803388263455,0.189998727450156,0.140445750164524,-0.121524558967504,0.684812700034447
moderate,-0.242188076535891,-0.0920245198433884,-0.136877257239229,-0.0813573812349475,-0.418395828034708,0.249862622117524,-0.0233993390941384,-0.0184099070809538,0.159051608040197
severe,0.172244419795845,0.216722298127732,0.0944482127407476,0.424443590911673,0.393045551320897,0.0573708943726331,0.186659706600944,0.0906689814958237,0.515617937736039
severe,0.0009925875252789,0.104101372738867,-0.677428489898927,-0.12774457155572,-0.0834424549797297,-0.0566451595212076,-0.0583103199690829,-0.26496133586838,0.0089292324807151
severe,0.0506494191486126,0.311224506682005,0.110085879655538,0.136636422394872,0.0533949228921285,0.0318872505331686,0.226785192011406,-0.510255728093475,0.382436642657121
severe,0.542261694267335,0.119421666756066,0.0542948454166506,-0.157841375971817,-0.413546711179178,-0.523149742643923,0.26063725306748,-0.509573023205016,0.213890631102878
