group,CD20,CD95,CD197,CD45RA,CD16,CD274,CD38,CD25,TCR-Va7-2,CD94
healthy,0.187623668057155,0.132593791389042,0.436635359727039,0.042651665124055,0.300894866477539,0.0299568894897997,0.175940353273635,0.0402279817045502,-0.0584052303547071,-0.0171794819328217
healthy,0.0010581754830631,0.156386411363763,-0.0059690723061074,-0.170502117085123,0.322509639452935,-0.0036824503421798,-0.639134757881363,0.0565997665431677,0.107012059218682,0.583069588480211
healthy,0.0460614441848482,0.114000122438771,0.296214240636794,0.168884313759007,0.357041576869828,0.405804064186835,0.308796607014905,0.203361109791548,0.40659293131159,-0.0074411432797641
healthy,0.233163659582102,0.151090735165406,0.318395614887902,0.202732849393727,0.326404917678685,0.185095459874825,0.192622916831303,0.491805682142682,0.302617966328772,-0.103987233420145
healthy,-0.0018854730859421,0.0254521112990515,0.0118951889083517,0.284088263785707,0.465695863488088,0.0706452640201873,0.150463419429478,0.0252141116385754,-0.0580534348383784,0.106968869206749
moderate,-0.254740137509423,0.0950403419392228,-0.23585071264957,0.414203542535773,0.489796348419992,0.190419080985725,0.360212482449678,0.174819312682398,-0.0240035828956371,-0.125606590654541
moderate,0.0071776211555024,0.142890961959759,0.0187111729351641,0.302779443387976,0.717928196614437,0.126634207430293,0.146115606326206,0.0207126283478594,0.0012080053713355,0.13614580963431
moderate,-0.145425632878715,-0.418445414976629,-0.0483196046138106,-0.0363466763487509,-0.570837962493675,-0.0241416804637857,-0.05786205606632,-0.0062508780895975,-0.0127695401525575,0.148393862264512
severe,-0.0088401014251302,0.151190378109104,0.119937288024738,0.171612405850559,0.550687124895822,0.133826863679518,0.241162299247705,0.13333268304133,0.187764719282188,0.157218256845124
severe,0.433117827354308,-0.0887487725150473,-0.362358906534266,-0.25000258175951,-0.0436914264716492,0.214522030749671,-0.175250077231537,-0.199239313335069,-0.0367012102800577,0.304425592049462
severe,0.184934821057349,0.240318929267182,-0.0847675950172003,0.243729834542204,0.0644433278211211,-0.160831669147125,-0.182859298510786,0.133155501550551,0.155950671691239,0.37128409363608
severe,0.254895538801733,0.0450941021561155,0.147198106906311,-0.0419627640655648,0.614921261929458,0.201966350221314,-0.239941751235741,0.206950064120022,0.136212606676257,0.277626512021354
