group,CD3,CD20,CD56,CD95,CD197,CD16,CD370,CD38,CD34,CD94
healthy,0.128887037503181,0.264630571475345,-0.187664083019227,-0.158789880017724,-0.257537508642286,-0.543016709057622,-0.0954093281300798,-0.235465941709879,-0.121120551223897,-0.310386642985599
healthy,-0.182479263797623,-0.0813717410431367,-0.126058471953096,-0.122318752657655,0.0318193330246344,0.161083823862055,-0.164539947177418,0.26185215365673,-0.224676312070775,-0.0247319301599594
healthy,-0.235743067293691,0.151372112920273,-0.354188324568567,-0.204518602010655,-0.0909449481416025,0.132915085396011,-0.0708853854391259,0.229459931932132,-0.143646675680299,-0.622617891052853
healthy,-0.103855599888871,0.0329954479379973,-0.308781857955291,-0.0137127228759152,0.0041391146647439,-0.0801888456777487,-0.0394102380408494,0.401353835242358,-0.0321361286073798,-0.635672503238169
healthy,-0.104536220615235,-0.0310761708864674,-0.327521629910313,-0.103156729429678,-0.103387597678078,-0.284437018740553,-0.0768475758607488,0.0955673170012155,-0.0975645758886017,-0.36136827187727
moderate,0.0246634914064722,-0.0053130757647772,-0.0383500821130798,0.0200875133718744,-0.0590288757528154,-0.104777678962985,-0.132134676452608,0.169604182421841,0.200834107817155,-0.371059063084873
moderate,-0.143930500536581,-0.111637722799322,-0.232037668040421,-0.139130678549927,-0.127765165317056,-0.0798385003530884,-0.152882200592029,-0.261113278936059,-0.162378273002465,-0.310110811566724
moderate,0.275166114592162,0.115741748661255,0.244536030071376,0.379561614576385,-0.0071363442250214,0.605534948917639,-0.0011699434865346,-0.222231354129442,0.086342166043466,0.163252729331229
severe,-0.137877351911382,-0.142040696188505,-0.209875089026069,-0.245123825819998,-0.190179486513911,-0.361156569001378,-0.172945505141206,-0.289022493289676,-0.0995898939292494,-0.277815932981586
severe,0.0124670008609847,-0.476228281035861,-0.0773041252579138,-0.11419012131974,0.381540779006495,-0.23795393269679,-0.0734852177419032,-0.239655790831191,-0.144163970869931,-0.176292437158654
severe,-0.394449462910074,0.214153341536257,-0.273496072831644,-0.251972214494127,-0.211146500346611,-0.332409904334212,-0.382182751524696,0.381067975415916,-0.614749528792232,0.0388286599352207
severe,-0.0297377443608229,-0.32866788556343,-0.359728311103555,-0.0711297064600703,-0.262647553122882,-0.407119419945986,-0.204348647329256,0.188651041613402,-0.291708205290536,-0.426759015104517
