group,CD3,CD4,CD56,CD95,CD197,CD45RO,CD16,CD86,CD27,CD38,CD94
healthy,0.0393977523429415,0.0407505255187551,0.106964736169736,-0.0602014553230678,-0.154074051885852,-0.0881484013824802,-0.179790318780479,0.0284460860116696,0.0654122011357953,-0.22852738100855,0.281446247237832
healthy,0.226699675649856,0.161236265854391,0.425012368756894,0.279458738581183,-0.002814839740558,0.155387888767372,-0.259754275549542,0.0449100288895392,0.106992567908297,-0.49079107509565,0.621464104661967
healthy,0.421585455134629,0.125005527538318,0.19110402543517,0.166603809451055,0.0604039931697713,0.101190091792623,-0.427319730652856,0.0656213628380987,0.129190924732119,-0.527541256500177,0.441627278017363
healthy,0.195892876394605,0.215957936112425,0.341994827100618,0.102011844175749,0.0886855947942582,0.211145848467941,-0.120742321074717,-0.175238411462791,0.282601018869952,-0.529253666035385,0.684196116142374
healthy,0.357635622178166,0.400841201495967,0.12105870690901,0.295984887434906,0.25902527800373,0.400884540545657,-0.176725890326043,0.205196428805851,0.440025438610793,-0.466519762988033,0.475255117965462
moderate,-0.0790542655764514,-0.157496415229958,0.267932214655758,-0.0627648506301609,0.243374633902527,-0.100766254192104,-0.156136346669382,-0.0084148299665404,-0.0894712833049057,-0.31435748823463,0.354411064313294
moderate,0.428861160286111,0.293583800289564,0.345370916811148,0.191391756632125,0.060105102648792,0.153375949306814,0.333795532720972,0.172034840357469,0.173376223435056,-0.404847785315975,0.66626557215923
moderate,0.415296838548569,0.250489639516895,0.169289873453093,0.53389427543021,0.0213090955403925,0.198830230300701,0.412374778684453,0.280830367331263,0.104459979079572,-0.2643372056265,0.148984041307158
severe,-0.0103909507300792,-0.0744492076185904,-0.209987808138362,-0.11256931898503,-0.0590545368069469,-0.0700386960727472,-0.135641454629365,-0.055390243584876,-0.0166180636405701,-0.316994683012353,-0.0319656147132015
severe,0.202244150802876,0.140380434081334,-0.0472929812378682,0.107513425589508,0.512927478459911,0.105037946330615,-0.296305007522777,0.423360444070622,0.222655823683698,0.0295678647040336,-0.196391134094162
severe,-0.082579086760542,0.234609596181478,-0.0544527908741265,0.089238726988643,0.151407490492448,0.266153539693415,0.0475115617534698,-0.100890781749902,0.0765083236112174,-0.261896632247361,0.417057439004648
severe,0.412345148068744,-0.0675659492304643,-0.429296682369756,0.188523946345644,0.0409060617225186,0.0210231768847803,-0.794646356655196,-0.0652776761966961,0.152585259493338,-0.120270835192875,-0.105982187737919
