group,CD19,CD20,CD69,CD16,CD27,CD38,CD94
healthy,-0.086984503869845,-0.490804246337446,-0.235951350717052,-0.122558761264317,0.0010669595325956,-0.160378107930827,-0.239509998434775
healthy,-0.0504802716517487,-0.0192726708413014,-0.116462423310293,-0.0777418990273511,-0.0340192685008724,0.771139957723708,-0.746634867819619
healthy,0.0904854061455193,-0.03236435682512,0.088798854570215,0.0753493219138057,0.136398632694587,-0.150025519468199,0.382107669086392
healthy,-0.122568256825134,-0.115932252839663,-0.115146934128541,-0.10827247543906,0.0246218394641476,-0.467026761121465,0.150827184992503
healthy,0.258999398777589,0.0570562141411808,0.100845692837128,0.103034284324101,0.469211989334968,-0.289759062244149,0.491472865293684
moderate,-0.564577885093886,-0.166996287214253,-0.0628558511093133,0.0655690413607737,-0.135995572010471,0.132157685348696,0.407748501633588
moderate,-0.147908759208247,-0.0407309262229259,0.035466502477909,0.221038367987882,-0.0880648744760009,-0.415972311278743,0.547126928924019
moderate,0.204695735193555,-0.0278542529055963,-0.21082508306967,-0.524743548727228,-0.043917718143172,0.25426644979551,0.04862319093127
severe,-0.0333388363873858,0.134233570754053,0.196710171796656,0.311900874776088,0.0441492692056572,-0.21525245403346,0.416752298065067
severe,0.326390355979185,0.319359178402828,-0.0050684965952957,0.68080855949915,-0.0860535770007496,0.0873326133579601,0.118772864758035
severe,0.0938190929831402,0.0329359779001252,-0.323468031303272,-0.322421872633698,-0.0668848504980786,-0.342335579601237,0.206664259619972
severe,-0.0320380097961674,-0.0968776731053752,-0.570443239120756,-0.503149706139841,0.170656327114257,0.227322705673663,-0.100962009054211
