group,CD16,CD94,CD38,CD34,CD94,CD16,CD38,CD94,CD16
healthy,-0.141429212958071,-0.646211670038462,-0.101524787534139,-0.317965304041002,-0.483480417949879,-0.116920866971221,0.137342316954197,0.136276738920436,0.536025217054895
healthy,0.132364052714484,-0.614729397929245,0.462940974380404,-0.0120995677020318,-0.775532463682342,-0.128104460924315,0.746929123199487,-0.730720694380297,0.241253311928294
healthy,-0.0169857599572205,-0.225634747769177,0.0602486325727835,0.0781744446495774,-0.171975814077226,-0.515412511199205,-0.234622551930973,0.175489630522984,0.596987745368728
healthy,-0.201474372610097,-0.451578436579001,0.666986969539563,-0.0287910700923659,-0.468296841972153,0.652013097903963,0.492835697803805,-0.243360461887136,0.720794626790948
healthy,-0.303815037019007,-0.466520598405356,0.4925976848062,-0.199340397779142,-0.508801446495398,0.388905140525074,0.46241324688974,0.109804992249007,-0.024561582729229
moderate,-0.14252779893767,-0.141665450362656,-0.036838550742111,-0.148579304096008,-0.627441671885376,0.0652520654299753,0.164226854310725,-0.105295218070146,0.585111867502791
moderate,-0.501555456203172,-0.652697195088197,0.387539912678907,0.103813290841457,-0.602569403189778,-0.185700006192076,-0.144619259605078,-0.23444402109307,0.336176357191665
moderate,-0.493942583843727,0.107722470857689,-0.554613962933557,0.209078858258263,-0.0528876044037558,0.533066642926835,-0.494364478624293,-0.19801657647692,0.463782996977982
severe,-0.654797343122021,-0.296832926660047,0.414739919601891,0.0729333699090204,0.0465451324872404,0.778585796247483,0.145326162633265,0.0793507318683452,0.353724948355263
severe,-0.589439710930217,-0.235797410391987,-0.0115742170222623,-0.0901373867875345,-0.263075752867505,0.44497618469017,-0.164330335786275,0.11348353380396,-0.0770359834594049
severe,0.224628096497506,-0.452191389448236,-0.104129636056058,0.679275943359269,0.0777941609627242,-0.092731349109904,-0.18487625469178,-0.406725936537303,-0.112125917514668
severe,-0.440693311900467,-0.217799965750007,0.582286347996234,0.0247747619621497,-0.180645543324551,0.428670043798408,-0.0384432815548157,0.387012404603741,-0.112322455917147
