group,CD3,CD4,CD69,CD95,CD45RA,CD16,CD38,TCR-G-D,CD94
healthy,-0.157059740701353,-0.172543241497682,-0.176217439657232,-0.126316419140028,-0.391396528420706,-0.375522748565042,-0.26646860673751,-0.28214372558956,-0.120088724034409
healthy,0.160781624509637,0.0974135681730979,0.028970400962528,0.208677830639273,-0.295977999861116,-0.393323346179127,-0.44276952942504,0.0129643300396647,0.563263775643796
healthy,-0.103453315307359,0.046081170037126,-0.122767079425669,-0.126620770184815,0.080568723784638,0.721690132711967,0.475562430925449,-0.0267058526265127,-0.367957711468157
healthy,0.128647907305434,0.122739816925395,-0.0787725159436436,0.0927865374837835,-0.210718016320915,-0.551874838128939,-0.139987014586511,0.0422667990224114,0.489533009124264
healthy,0.255585708262604,0.274858144240495,-0.0225865169467888,0.181457716566498,-0.363286327316624,-0.302911247799279,-0.283803220034204,0.0676872646857824,0.325540776772757
moderate,-0.156142135016795,-0.0861863221378389,-0.450156861802957,0.257968799570699,-0.206216432740381,-0.111639779518919,0.261449032185934,-0.0922088349140892,-0.140345778860495
moderate,0.0645569640821191,0.0522454673486833,-0.0317106353962528,-0.108377395878974,-0.116692262184507,0.176124121928879,-0.303316811107165,-0.127923522979873,0.36984399225644
moderate,0.329273976233,0.13033174151613,0.308187885590989,0.310732240166053,0.21089701792771,0.504990917117496,-0.455207368103374,0.0607669777967673,-0.119374808056216
severe,-0.100625439525992,0.0168922092007035,0.190504926688201,0.0480963629422496,0.106119328520372,-0.0815872200630885,-0.0511032336237121,0.0198310735758806,0.695341591135564
severe,0.0746408048900635,0.124035272295204,-0.0554014130104159,-0.0148624726696489,0.159721866820357,0.26158618766441,-0.18738256065507,0.0174705713239572,0.0324548377500819
severe,-0.330898130910767,-0.485913358543608,-0.130484877102613,-0.465890780769291,-0.473713962927567,-0.401299958597342,0.490633137451263,-0.486047558056645,-0.388115547986854
severe,0.494710340540505,0.0555174264789546,-0.291454638860033,0.249701494785579,-0.151980982017695,-0.631476532823278,-0.191370888266841,0.158444339613982,-0.0034113714927358
