group,CD4,CD56,CD279,CD45RA,CD38,CD25,TCR-G-D,TCR-Va7-2,CD94
healthy,0.209346804950604,0.205402003906242,0.245729921985772,0.453161725621639,0.289220399836167,0.452761748397596,0.275459502338184,0.171461067241237,0.249049490845854
healthy,-0.22007273573958,-0.213718475412332,-0.0049658999375462,0.208688562593433,0.448507403512741,0.0004166617346907,0.0304303354879745,0.0586695110712314,-0.659695136773448
healthy,0.282468739213291,0.106497838936534,0.0773701030121956,0.21657999852682,-0.126733408955113,0.218342532621676,0.263576897315456,0.33875732263349,-0.263585509518815
healthy,-0.0763147425699208,-0.0755961224291088,0.0965428455115314,0.350370580478882,0.2637454393228,-0.244235903046922,-0.0293052562230518,-0.20804635907728,0.0308539174195712
healthy,-0.283314185335816,0.0892171140627055,-0.141044268943645,0.410251670869215,0.431826750758282,-0.173059283927627,-0.0978873500446401,-0.14818216196421,-0.209630853130319
moderate,0.200707693688742,0.215729921806235,0.11424406714075,0.229620629703285,0.0759654628499793,0.370300612587498,0.0394411857175024,0.468501369895513,0.251378140246853
moderate,0.0922160503609876,0.0365847877298411,0.23607130406424,0.211994133486596,0.215633327750123,0.194338957104562,0.204923162752682,0.238238867131002,-0.348897154409765
moderate,0.1430128555165,0.518623535167316,-0.0265429110418493,0.1252552901963,-0.466128722292865,0.128114813853322,0.322968615363928,0.133581735369971,0.253862473881346
severe,0.197453480903133,0.213571640630213,0.185709838978711,0.203302939492929,0.344131964598636,0.139424818253829,0.21641242172528,-0.0372495372803441,-0.183867144325917
severe,-0.0382209474427882,-0.059185435168716,0.465297620454784,-0.254714212221207,-0.295269758043487,-0.012787000706579,-0.20213591780577,0.0221678002639764,0.215404579999782
severe,0.522935328718359,0.206071812604095,0.0794129652928562,0.499529903595267,-0.226001649365266,-0.0888273847104576,0.560734666112349,-0.0278006466329937,0.468920212979798
severe,0.0260640806008336,-0.314504533558917,0.063609255191853,0.184497848244301,-0.381963447643286,-0.0531681575306128,0.129580950162545,0.0125455870890108,-0.427583487279295
