group,CD56,CD69,CD16,CD1c,CD27,CD38,CD34,CD94,FCER1A
healthy,-0.0999516307701826,-0.153158206837135,-0.445041493652912,-0.247367247752212,0.0896023013625106,-0.244138618605216,-0.488048182682921,-0.101656724588648,-0.220969622698178
healthy,0.382952351843986,0.0600659855799777,0.402590769794541,0.0538623578685498,-0.142236787259452,-0.38129948660713,0.163688047928356,0.0691881877370991,0.334249823635005
healthy,0.185977361323042,0.0367939862047611,-0.629559602922774,-0.182567202182096,0.188715991324354,-0.455875265072012,-0.199320402129451,0.402249326377485,-0.0936627510209231
healthy,-0.0824679262156131,-0.0895394149816964,-0.649401172119705,-0.0425101565001956,0.110901176016401,-0.399640213331069,0.0056677653959039,0.228204007466524,0.0126722577907803
healthy,0.146680887751025,0.0226856182827708,-0.43343688904901,0.113511587610534,0.36006703020785,-0.319706586531678,0.11746886652741,0.32509740235708,0.227448844358966
moderate,-0.11980116692273,-0.0553241229227851,-0.682950343656404,-0.153133011491497,-0.0371311881594136,-0.390684721964696,-0.0189378387137546,0.0556040159717321,-0.0588193506522959
moderate,0.0618459683401741,-0.0199335357641477,-0.262020887458954,0.0960856150031883,0.117364733880238,-0.0678261108369532,-0.330224065261074,0.35710927720732,-0.166401610774377
moderate,-0.196071874164041,0.399534636879915,0.449640570519711,0.217815247715697,0.0370273532444641,-0.25759980915984,0.222183743064014,-0.237182107150977,-0.102823737643234
severe,-0.0913093273774539,-0.0494758900246898,-0.664798783732235,0.0793086403118092,0.179111667273994,0.303645290871954,0.0970366887872625,0.0476149451311806,0.134653957960583
severe,-0.0615258294660521,0.356754546462567,-0.138756218871406,0.366287119618515,0.174952583646167,0.349589965024268,0.17201561739924,-0.4734952779029,0.0476508700661698
severe,-0.170545730311611,0.0553291553013973,-0.221994266220316,-0.263387887816623,-0.0797275637273563,0.368145781578362,0.0058972068573487,-0.250350778331229,-0.394864218916168
severe,0.0021149280198797,-0.0773729257483578,-0.427766933543171,0.0946407640676112,0.137092667389707,0.432952270931017,0.0303667529069451,0.0898434011548865,0.0435499138964319
