group,CD4,CD20,CD16,CD11c,CD27,CD38,CD25,CD94
healthy,0.161052385267169,0.156409736327667,0.646670431927126,0.118401933067656,0.116734345085299,0.239851403406735,0.0968799647825971,0.0186006983902148
healthy,-0.0259527077961595,-0.0946299742879588,0.514434293198713,-0.13627154933334,-0.0118712940402264,-0.594852361431966,0.0272950340547545,0.178300440879498
healthy,-0.122733304002084,0.0192793723664373,0.0313245887623779,0.004615722375648,-0.227119304162285,-0.0071740598385014,-0.120591205990661,-0.651261376425192
healthy,-0.189289596313896,-0.211241668945957,-0.306116034856472,-0.08761556578398,-0.16865066728504,-0.166730425342965,-0.41876263462936,-0.281674387116602
healthy,-0.408876792933066,-0.133252423866009,-0.269362110643383,-0.0475969639135304,-0.430535757613325,0.228144657422684,-0.319167071822192,-0.502566403944568
moderate,-0.0643914763487564,0.0060035265991432,0.009502852736167,-0.0883824748106507,-0.143576234551171,-0.457182062905654,0.423942310184899,0.106617031896174
moderate,0.0054155009610568,0.0595441865995318,-0.547837644751946,0.0047365514091802,0.093848549045671,0.321013822666596,0.190534688187538,0.242327129608864
moderate,-0.0071024164910094,-0.0755237261827108,0.472197481370106,-0.234340308714074,0.0425804243686534,-0.323380237384768,-0.18087918877249,-0.317881282457115
severe,0.289530581844271,0.294999732311322,-0.414280046383232,0.213619624483451,0.308581464498115,0.264158417600775,0.217422077146753,-0.0400438824661906
severe,0.0200915903726039,-0.0896172073436985,-0.0477914162524501,0.130367495189488,0.0856986932855676,0.0378975538658499,0.0553633160188945,0.267154318945946
severe,-0.154738123489654,-0.575337335470541,0.048195673513779,-0.308095162072085,-0.0127399715234435,-0.225523049593505,-0.0511399278448646,-0.311108223304755
severe,-0.018458244529468,-0.133943090327455,-0.386725448409282,-0.565015910724004,0.0504590542866748,-0.303470417967346,0.0091787407292375,-0.238562930184517
