group,CD3,CD4,CD56,CD16,CD38,CD25,TCR-G-D,TCR-Va7-2,CD94
healthy,0.416118872585384,0.341705135744899,0.207256154767419,0.300984477475737,-0.134092060797246,0.150544120184855,0.156664187223703,-0.18745450707185,0.10005421579748
healthy,-0.0666412216033264,-0.0379263438000229,0.0445362808304013,0.34125946418343,0.176580544468676,0.0821833129200923,0.0477242293357394,0.145437453628588,-0.411286204567815
healthy,-0.135200320113485,-0.131114907262127,0.0524337419697631,-0.237376114459632,0.043041637804619,-0.219319765375434,-0.246822070535411,-0.439552263457037,-0.29901660555292
healthy,0.228719030209656,0.24701012039521,0.525426023175556,0.277568241276284,-0.398979158877519,0.418344992258427,0.226731446183779,0.301614997311338,0.431004686900045
healthy,0.328968903013113,0.363514114561891,0.275945689990789,0.425246124971901,-0.146960474223022,0.250964082713705,0.287090668556183,0.121754039365203,0.372335064826681
moderate,-0.0553289893198867,-0.047428506748763,-0.214481145115444,0.0502128425511462,0.0345116575666404,-0.32681163989672,-0.0160282082873943,0.309209148136929,0.0279337609036954
moderate,0.312804509948707,0.207809765125697,0.330555746252334,0.442567756180903,-0.0994881991030689,0.127544457620824,0.183746611386033,0.0584184988598751,0.577900726863496
moderate,0.218699149854414,0.0946707614407259,0.080073001695755,0.590055426309387,-0.419068032628267,-0.141797107220792,0.0086826418909915,0.0381815357230534,-0.0786203970347586
severe,0.0381688588806976,0.0976667800534082,0.2415627665716,0.70009412840957,0.0585160518092515,0.0886549443160766,0.0820568509618382,0.0226747741753342,0.261753680374189
severe,-0.160874067412317,0.0151624806641279,0.0740913213662912,0.496372349449312,0.160457916463175,-0.0616284634531456,-0.002044172241723,0.0829711272857255,-0.0195142334719818
severe,0.123372402723479,0.417594111730387,0.239065206948946,0.129262917110412,-0.450772613603146,0.107209005361523,0.431571109735796,0.221617716324345,0.489377956276064
severe,0.0613717863775856,0.11062412659906,0.197065874913283,0.340886274661031,-0.458210449548921,0.0682269313679652,0.183443864403413,-0.0159010879934473,0.442989637474298
