group,CD3,HLA,CD14,CD16,CD11c,CD370,CD163,CD38,TCR-G-D,CD94
healthy,-0.197856299602752,-0.188755403188458,-0.450476853782706,-0.465290435000241,-0.225118695187135,-0.263105438923061,-0.306026241173143,-0.0387295556319316,-0.27177734380469,-0.410414884917603
healthy,-0.150750164661182,0.0277389071110198,0.0127627606932298,-0.323555574018282,0.0497914683266809,-0.0468251286881033,0.0520741595938866,0.439390692271286,0.0238567164065015,-0.572607713404916
healthy,-0.385909524172785,-0.0547493568590604,-0.050828271071495,-0.498443079124348,-0.0603479868467381,-0.0449477168585104,-0.0705544915375852,-0.253365225458346,-0.173270494914792,-0.0567540169384095
healthy,-0.0811356581830085,-0.169774980544992,-0.0911220546499758,-0.426827613343804,-0.132101000674132,-0.149831660272889,-0.102114308038745,-0.361095601064514,-0.0824473727267046,0.19632575763585
healthy,0.040632366912135,0.0357212428281809,0.0939986647447071,-0.259498408937375,-0.0630599030409271,0.0208417589018568,0.0146755522644955,0.002168422491645,-0.0819498789729,-0.242997066816156
moderate,-0.287033858647496,0.0332674923020819,-0.174989324573813,-0.381527650759701,-0.0066598635434103,-0.435996444084642,-0.405982667571126,-0.337934674467044,0.0016853741423266,0.0045974270188918
moderate,-0.274066901507128,-0.106347143842671,-0.11873613557013,-0.267913457731811,-0.119609363532889,-0.198775798330273,-0.231604271897123,-0.117914539786935,-0.266216654285245,0.0274491096455542
moderate,-0.269990085947425,0.008004819366891,-0.0654340382636092,-0.583180578493904,0.190028079705306,-0.0700346678620221,-0.0799034515213888,0.380828910867198,-0.0474493712358499,-0.0106487040354769
severe,-0.141853113200336,-0.0147216776081293,-0.0439778898617387,-0.567209378820952,-0.265318001961811,-0.10232975904635,-0.124917561546789,-0.246333873231644,-0.199671393400908,-0.0390387632540262
severe,0.195045987304338,0.0271826098721491,0.47489214618471,-0.441081384388668,-0.158727510983111,0.164424570114915,0.0327584249434482,0.019374755717568,0.0399970450844838,-0.264253554510921
severe,0.284081640778806,0.410679644763688,0.10141857072412,0.285548248753035,0.209935803939402,0.121884197677564,-0.0730948891600291,0.112300017873983,-0.117570639878896,-0.181211816455387
severe,-0.552724063005364,-0.0939446427172786,-0.107975038919718,0.0505658459699454,0.415981006626586,-0.175549975080734,-0.209429529960207,0.62526009729909,-0.421765586016878,-0.0849250208008635
