group,CD56,CD45RO,CD16,CD11c,CD1c,CD38,CD34,Anti-PE,CD94,FCER1A
healthy,-0.0880134371456266,-0.256562358110037,-0.477209745842503,-0.152435767254491,-0.136509961670142,-0.181981595956461,-0.524745088046809,-0.164225402112807,-0.332186062263489,-0.520378211522569
healthy,-0.301264604948857,-0.124864364610977,-0.126248278134998,0.0859451842233224,-0.0817564627128255,0.572165590586582,-0.0972229814724987,0.001113861822673,-0.625427991305765,-0.0421834806146296
healthy,-0.291927511743945,-0.0901313534673213,0.670795669832176,0.0271770099945166,-0.158058336468791,0.419334410343329,-0.0872291464913621,-0.0805495680745122,-0.364221130777,-0.0655121399038916
healthy,-0.480355406842475,-0.194340154674487,-0.295802020206755,-0.0704783725989088,-0.150122329965144,0.315662971568204,-0.170909425373291,-0.139045801658418,-0.47385574619165,-0.135833662671868
healthy,-0.303222025542999,-0.0426879358711379,-0.458155925779557,-0.145721406095186,-0.0665419394801559,-0.124993856122423,-0.059042640529577,-0.0569917728646535,-0.186793750535868,-0.015565976108772
moderate,0.198673302957572,0.0251793222086688,-0.179498329460932,-0.0089205315094006,0.230730442793918,-0.204514002022186,-0.164015057198822,0.224354798762885,-0.0449652356474932,-0.156907362809862
moderate,-0.31187959024866,-0.0859806546404002,-0.433928114371215,-0.171242350073388,-0.0363965576632892,-0.0673721199661225,-0.0801199252475556,-0.098490452507506,-0.453060292730304,-0.198448930205976
moderate,0.0909987752126838,0.100070169427206,0.605803356149717,-0.228391061615809,0.13834609917148,-0.409709807016427,0.194467426333026,-0.003081555438603,-0.0920950558733208,-0.0607577022213725
severe,-0.235983170513077,-0.186012174009403,-0.539892752700067,-0.132377275338472,-0.196887397042373,-0.156643412995206,-0.208351663648965,-0.105173260521222,-0.256081579139435,-0.179021227902664
severe,-0.0363605588256237,0.0406841453130417,-0.261942102748872,-0.0317000713497719,0.22708319953934,0.287347691968313,0.112994446018259,-0.469123564621243,-0.274751076155153,0.205540841596065
severe,-0.275481152574384,-0.455764402247991,-0.224559685321475,-0.463186263645963,-0.458543416892115,-0.232838788961856,-0.0170058988444477,-0.209488733598104,0.0057131156028034,0.0349628278131478
severe,0.0676254569545565,-0.31528747159473,0.145072664384852,0.343028572922459,0.0250743181235541,0.1109636434214,0.0492488340051034,-0.232384168950509,-0.186661853307641,-0.0592371112927493
