group,CD3,CD56,CD69,CD95,CD16,CD1c,CD163,CD38,CD94
healthy,-0.430623791558249,0.0120763635204611,0.0790772154134221,-0.151993640681081,-0.128380331901674,0.270923276270615,0.0718281676322712,-0.0989866219974198,0.0903517964120538
healthy,0.0571250212030764,0.340960888454986,0.0942359220642015,0.170854548162236,0.0563897815247533,0.0468198016692199,-0.0160687063120797,-0.754106156448653,0.770049371409884
healthy,0.0720741645057492,0.101897981722367,0.0285859091964159,-0.0027008301066364,0.486684736061079,0.138453906358508,0.0113601050760354,0.45616484891364,-0.376263570595501
healthy,0.148732721314392,0.503854450740844,0.121795862774263,0.0529632201301073,0.347381861564871,0.0901962684044199,0.110390608261959,-0.433343546840124,0.512510050124264
healthy,0.21386700811017,0.300270035371912,0.184152893297482,0.187915059092683,0.272844698195839,0.176568893421158,0.145707684102538,-0.202182370890848,0.508172400484515
moderate,0.149857378738648,0.241949948344785,0.418578901822274,0.146503809133468,0.148753805902745,-0.107592713396236,0.23564400549086,0.324112458060407,0.251851593821492
moderate,0.35029120646164,0.341626438132882,0.203757810780923,0.18429905660039,0.370397538408912,-0.0431182958060159,0.203982496644918,-0.203116370680485,0.650269843278263
moderate,0.312954582069773,0.0107440473223596,0.254431343840827,0.382141551103875,0.551287047975535,0.125123792938261,0.101334583708829,-0.41950853573953,-0.118891485943297
severe,-0.0180000088890282,0.137334803035459,0.12379084016979,0.0074065744481268,0.6895860473333,-0.025738393982861,0.0291572532248953,-0.119036252099649,0.16405363824913
severe,0.0458265729062299,-0.0890416534675055,0.313874404379146,0.0611413882976804,-0.392625002231083,0.427056401857758,0.127220819305703,-0.131285015743714,-0.186924347364998
severe,-0.355606834035969,-0.307002849868583,-0.187323321203305,-0.417318237920696,-0.438891899826329,-0.205040297343824,-0.429389658158446,-0.0373991535933446,-0.289795223181722
severe,-0.0827928200242089,0.0945343465693137,0.667206089813551,-0.016682466499618,0.435535864333296,0.0765737048278298,0.13834721341717,-0.262847438366478,0.250332629213013
