group,CD3,CD19,CD20,CD56,CD95,CD197,CD45RA,CD16,CD11c,CD38,CD94,FCER1A
healthy,-0.0985239977097251,0.0588397729682337,-0.208488839676581,-0.0657853879146457,0.148950058296179,-0.058481252657422,0.03010782835891,0.628243842896964,-0.0482633653351859,-0.0493276019047818,-0.379104833079163,0.0920620137370358
healthy,0.0185073949069196,0.0429608689585934,-0.0382439860922554,0.256398476961345,0.0848736339799215,0.0073760337529089,-0.0807373254271997,0.411119499164773,-0.114801060551047,-0.552764159441281,0.347300963495186,0.145335436682579
healthy,0.290683505655764,0.229696721582878,0.20874297589665,0.027574857055757,0.0702783383482097,0.0402581450680975,0.405148990865886,0.441993734598757,0.0785644773934837,0.278489174869379,-0.140075338315749,0.0493432047271984
healthy,0.151521187962851,0.220889696096191,0.214194020043242,0.155730473770973,0.153151817567954,0.234000214069187,0.261861128850312,0.259334286256291,0.185837337894902,0.258270284792616,-0.166488835175977,0.180922354380945
healthy,0.0414018255279703,0.0820034416256535,0.0359660835765159,0.306615958331348,0.0729618464680644,0.0695483826559385,0.280540057174601,0.252166968577956,0.104481454295217,0.0368948250430645,0.211146797925617,0.0782903387190276
moderate,0.0066296253172686,-0.456680415488272,0.0606668587218853,0.0834259940873677,-0.0542354232383663,-0.0746493543254788,-0.0544370787468508,-0.374920415985963,-0.0801819285491863,-0.368004470636167,-0.0206605713747403,-0.0198745322866924
moderate,0.147536269733916,0.204209227884845,0.106380006656453,0.0757457285900335,0.168816314305587,0.0747310331473031,0.279675815805375,0.0569963562366991,0.051161642684512,0.302493887127855,-0.144496182554904,0.232045319241076
moderate,-0.109017735992458,0.0229530634700183,-0.0678783903446144,-0.382967808938046,-0.37830216346466,0.0825905465211343,-0.135653439414263,-0.57519258166686,0.197480467604626,0.273166170037495,-0.0761002174459688,0.0583792927591581
severe,0.125140626213497,0.204117324018906,0.0781764093123797,0.19824405195781,0.182654229333763,0.141310051955777,0.137090756325997,0.0153388415027866,0.272248407701585,0.463220556656478,-0.0216580735270718,0.143718792945097
severe,0.145624775176126,0.0754570359202741,-0.437464060194748,-0.085093587341397,0.0521698175925356,0.354895064007403,-0.112858807592345,0.0115944721820982,0.0816194351082176,-0.0491641547078201,-0.381052428785856,-0.210219110122811
severe,0.357215295319742,-0.0115813312583583,-0.0950209910937156,0.0940859347033148,0.128633018640794,0.361386676853402,0.139918979089043,0.345168588663977,0.0766730991897328,-0.193183379301637,-0.0659574064802692,0.378735431550847
severe,0.0944365273409631,0.212861531048984,0.0327948335631575,-0.181194770769683,0.107557571977003,0.10200588244962,0.257501403262646,-0.292779212310623,-0.369192600784819,0.0313876928580327,-0.338802716372945,0.0565117920530433
