group,CD8,CD56,CD69,CD45RO,HLA,CD14,CD16,CD1c,CD38,CD25,CD34,CD94
healthy,0.0866390882326942,0.145219968961772,0.124573253191091,0.125094868815813,0.107201085708144,0.239245790759862,0.308335461553109,0.147892963094955,0.445808812836291,0.172356652637525,0.211002224694145,0.484348312363956
healthy,0.0305635184361103,0.393836557298379,0.0649398253483096,0.0844133067799609,0.0263189315878669,0.0131912155695231,-0.0446346935067827,0.132374461046332,-0.537295967509552,0.0217617662180607,0.187711420424168,0.438613903291076
healthy,0.214297054439182,0.256516827657461,0.128115173850863,0.170685049635051,0.217626548306872,0.0781041342008596,0.126630211342869,0.199272993335501,0.0901054749819622,0.202253427297966,0.318501770063209,0.271573685486819
healthy,0.106557974867784,0.176130725914143,0.0983396261247315,0.203785023726353,0.178824803482734,0.0737527057733742,-0.0505843136048333,0.111179380290646,-0.14771496293264,0.0412379969818267,0.122148936945348,0.28700077818653
healthy,0.168838658264222,0.280459445698117,0.060366402230633,0.0877052911978619,0.0399283510708077,-0.064288033230744,-0.0368757214528943,0.0284129343661555,-0.0318330488165021,0.0707425846102862,0.0235750312763587,0.167255121534622
moderate,0.25968455052314,0.622314904852396,-0.0877422756892163,0.0733367512397804,-0.0158348956886415,0.0166279550447711,0.264674902216705,0.316222621958452,0.152922049472031,0.483797638659149,0.0719084910236738,-0.120563560271284
moderate,0.230545583162965,0.114400620871421,0.107026965728769,0.164142310731604,0.090869918188406,0.104786173105299,-0.175341841470206,0.302173119461962,0.27891574469261,0.247369760491929,0.102209272739055,0.0063881980518417
moderate,0.14693746315495,0.122394647768555,0.116039055407389,0.219616130284265,0.0463622454471939,0.0729338200580792,0.5689599352042,0.0139636120761537,-0.16586667990775,-0.13941447809221,0.100637347581637,0.0879070862044088
severe,0.196781542227145,0.0092913213893218,-0.0256526890127167,0.131977548781251,0.144000068370719,0.0185894448927938,-0.464099763716914,0.158638023996183,0.460245845163688,0.174956541523146,0.137797642207563,0.026076924589444
severe,0.068674992583441,-0.146657513296283,-0.204910624139004,0.177591702335594,0.0330104555141993,0.107905245643991,-0.655147208569578,-0.0969503681653401,-0.142092091180556,0.118467202630491,0.0783801155939426,-0.0258469775073605
severe,0.530866060719809,0.395544251497348,0.487397376117517,0.496158122741654,0.478896565622086,0.479442657858172,0.483153930718331,0.511777012670533,-0.0543552597928866,0.0847197599839625,0.492931063884323,0.175088177575735
severe,0.197548421199731,0.0194726078436677,-0.184165262929779,0.141442006946279,0.334131469182918,0.103541223656311,-0.20105885396138,0.156161597717521,0.546381879681817,0.242373870795104,0.0954607369536322,0.0029389091684126
