group,CD3,CD20,CD56,CD45RA,CD16,CD38,CD25,CD94
healthy,-0.119349100559422,0.243841002148326,-0.21982594474726,-0.0803140928657206,0.0576578648087617,0.314557254800101,-0.107437445611183,-0.155128255647971
healthy,0.172416512729806,0.013675594188325,0.138995173864512,0.252826889474758,-0.168654463601207,0.302016602179274,-0.0169876957440435,-0.400574504040526
healthy,-0.245991175397291,-0.129362574713524,-0.144867357457236,-0.25277626578529,-0.0664116205288579,0.0859494819784151,-0.165972891615633,-0.593341083070509
healthy,0.110756667456929,-0.107553596545925,0.203271519037405,-0.103355160134321,-0.203767635832124,-0.555110375583732,-0.164838095169165,0.474114317543499
healthy,0.265111274889181,0.0415140473030231,0.187406014981583,0.0773738779671336,-0.305364317652017,-0.35261530141471,0.243365043646919,0.50367721942759
moderate,0.238433028656055,-0.109650383817006,0.453338068517686,0.116866826715412,-0.0994576234757998,0.0622738264651492,0.581967851755622,-0.120771365686397
moderate,0.412254017505118,0.0390905899914616,0.24644413117174,0.22274363924081,0.230037331852052,-0.223021071643336,0.0783341429598899,0.642196680068505
moderate,-0.308831709746484,-0.124491128567223,-0.128703260278668,-0.152203196828278,-0.543688488635524,0.370222319162061,0.0868557023462809,-0.104278389814953
severe,0.387949049701128,0.476155198621584,0.118280916245272,0.452112379124847,0.269053824207107,0.0922428483288552,0.213636434742556,0.0199161143655933
severe,-0.0075192947567168,-0.0607209457630864,-0.0013346469921325,0.165555374355171,-0.194603222088915,0.153823281068482,-0.003643443751318,0.263842781924843
severe,-0.128300454316317,0.122537124529263,-0.175303076591625,0.180164491891537,-0.146228888766079,-0.28357036476855,-0.0172520238512796,0.257329674037648
severe,0.632239857126977,-0.0710092135659682,-0.349162938012038,0.0733752693499038,-0.135298494874642,-0.608369507683891,0.0329202483066193,-0.140238494123451
