group,CD20,CD56,CD69,CD28,CD45RA,CD16,CD38,CD34,CD94
healthy,-0.107894286298722,-0.0439042054242386,0.123384051075003,-0.086540673818461,-0.0166249396675763,-0.355018075246245,-0.208118570403172,-0.0235309441464332,-0.0341438267980669
healthy,0.0047277630514075,-0.152921180174553,-0.0527513140835943,-0.17264730723411,0.284330887383934,0.0938020988418424,0.721142588544359,-0.0249631239858868,-0.671079131488789
healthy,0.116016395200121,-0.31710484132742,-0.058688959759931,-0.049313499628582,-0.1405467226625,0.374535995717905,0.392347781468602,-0.0137658332614967,-0.646343305042082
healthy,-0.0317373083520011,-0.357961766928408,-0.0620882615125244,-0.194123986256832,0.141715236524167,0.146117630226294,0.557382716890584,-0.123548386964754,-0.637999501090842
healthy,-0.0439054192917558,-0.282288596339818,-0.161802050372174,-0.254360042951785,-0.0084308004934434,-0.122569108999971,0.329357727086331,-0.144834657700667,-0.592327688507365
moderate,-0.103687605135957,0.287994037101642,0.296849541940178,0.282242632588028,-0.115479403823457,-0.313951809080291,-0.135302309152529,0.25620949700313,0.108742217172381
moderate,-0.0228259316843873,-0.313705176445325,-0.104672215779478,-0.0292753989769306,-0.0682720609589098,-0.257140393297813,0.239392151553449,0.0683585673517043,-0.772903637359183
moderate,-0.0166241604851632,-0.0613140891314668,-0.351644756147705,-0.195608512541469,-0.295014198804921,-0.346379532996084,0.623299574923994,-0.213591859188645,0.0888046844141148
severe,-0.203706469410092,-0.17382954723224,-0.152364634693054,-0.170960023112149,-0.369953148233939,-0.507880145644928,-0.0260480741858006,-0.170827311134604,-0.336390181484698
severe,0.188678319794723,0.173345373607089,-0.0613748167210202,-0.185267397004404,0.256156444711364,0.570673739786459,0.203015285800855,-0.296701332440945,0.102496634942981
severe,-0.449569149818165,-0.190430753251816,-0.120297177707378,-0.373792176858418,-0.0351165179678512,-0.0023601855730665,0.185833454235303,-0.371969751135913,-0.475864898413146
severe,0.275434935471519,0.373553579741788,0.625611792357954,0.166135033333762,0.0596605396809858,0.426577501274973,0.0105753685451179,0.259114927893432,0.0930014862679218
