group,CD279,CD197,CD45RA,CD16,CD11c,CD38,CD25,CD34,CD94
healthy,0.363863262116936,0.300041266093573,-0.0680003028615113,0.0949850378858729,0.118544889388182,-0.113919041787971,0.156017650488451,-0.166541020098554,-0.172412157767251
healthy,-0.117576361122622,0.100939747291977,-0.135553131396716,0.254452299281176,-0.0862619228375405,-0.553624635585313,0.0012884768119438,0.0415723426616513,0.707655464774511
healthy,0.436535522678665,0.447961659129838,-0.0155055257233888,0.292219203557699,0.142786264598589,0.153536128279675,0.14748871082402,0.268588174475137,0.0584907151532967
healthy,-0.0950261480237291,-0.18258807059327,0.16443053101881,0.128047819795397,-0.0428690853039334,0.0410285762576773,-0.490604643708513,-0.140051114104418,0.58713147657756
healthy,0.0325348355812677,0.0899662768785439,0.185262629428997,-0.276425696089849,-0.16601697519922,-0.204404002977456,0.125780131058102,0.0747848006278548,0.516940846216982
moderate,-0.0123128898477313,-0.114169853999811,-0.133130506171109,-0.0712232066128542,0.134202250276784,-0.293015146965594,-0.0223158053268068,-0.081379553639799,0.370994793368859
moderate,-0.199237297910884,-0.235551132563412,-0.150235782471735,-0.548148478066039,-0.199099828003898,0.125716816027641,-0.168973414289901,-0.272486330150634,-0.13037236279572
moderate,-0.104684964870975,0.0197667324286245,-0.276842915275902,-0.628866618066761,0.178637758930576,0.370352990793946,0.157963171245613,-0.162743611258855,0.140507820850667
severe,0.163655357461855,0.212608360970706,0.388086688729567,0.198724713895671,0.0872465591690912,0.185444633334379,0.173986806003223,0.425987678327348,0.0974002851625688
severe,-0.131973556593981,-0.159767808545456,0.403678214918323,0.456117213455053,0.104303133081683,0.0571495162933424,-0.0912779877510183,-0.245182830824114,0.206962189102567
severe,0.244387218018457,0.23129983298132,0.0694807833599549,0.108397508420983,-0.0626112322700629,-0.285484763855595,-0.0147532188093284,-0.0667892962681131,-0.0695836954257612
severe,-0.126843304508574,-0.0760245131764092,0.24191941069977,-0.0720181299649286,-0.561473172414991,-0.462449279683654,-0.182706421948641,-0.128704773504984,-0.0217545859407925
