group,CD3,CD4,CD20,CD56,CD16,CD27,CD38,CD94
healthy,0.128850344057765,0.0407268925877508,0.183300808558704,-0.183748133180065,-0.242948517139489,0.0149996093622225,-0.290448088079877,-0.253246762561817
healthy,-0.105523777592794,-0.117840172100731,-0.279566079634677,-0.147780100514731,0.533726255682494,-0.172774091397667,0.144720735290227,-0.16788120352357
healthy,-0.10724773277211,-0.143405862636103,0.117517682697112,-0.126940488687407,-0.35408985858031,0.0234466812879395,-0.108540649927308,-0.19748356910838
healthy,-0.172874931387165,-0.194387185077322,-0.0258929672977784,-0.407681436202651,0.0031367880114732,-0.255454753847183,0.582621111935081,-0.613793585378825
healthy,-0.360962674359623,-0.417500013498972,-0.0890001964750677,-0.283478802592183,-0.0672227146538872,-0.429974617568028,0.393103496303289,-0.536659068055923
moderate,-0.0634794656792428,-0.0894061146911839,0.0685198880478385,0.234489417960522,-0.0519112338560325,-0.116967135767081,0.0189897602204234,0.0900268758690078
moderate,-0.253256260924854,-0.160414750454645,-0.0451154782434577,-0.314238119589532,-0.192319852935566,-0.0457812293374618,0.215852936626218,-0.802150080465558
moderate,0.237888991974299,-0.002839808503801,0.0662087776898274,-0.0670068060771805,0.565936648835523,0.0711357739045469,-0.319520082322082,-0.26181016352388
severe,-0.0181905794824836,-0.0723493260034963,-0.0628308017140223,-0.209978064330864,-0.699669797176652,-0.0075134859911575,-0.0553078697816357,-0.263882534152036
severe,-0.0126726264096997,0.0984372203545655,-0.631122760682075,-0.116601923372598,-0.222103678721831,0.0446542928501074,-0.0115514306385369,-0.124606089043676
severe,-0.0754950125958374,0.163205185187028,0.539691435338127,-0.0520570049777162,-0.175611488871356,-0.147674078519055,-0.0895323430173396,0.0914098496448544
severe,-0.469313759644322,-0.213694886234112,-0.211549424026957,0.0178857352551737,0.142110119768446,-0.268249642633152,0.450916434599819,-0.383159278377876
