group,CD4,CD95,CD279,CD45RA,CD16,CD11c,CD38,CD34,TCR-G-D,CD94,FCER1A
healthy,0.0498145423232528,-0.13682065345125,-0.0891256749833944,0.0641539629406271,0.191502371436849,-0.196924036507111,-0.121288839119506,0.151138523334582,-0.175459483375043,0.102369825258981,-0.0358549331237699
healthy,0.0504016370250676,-0.0015588583708374,-0.0125619306824796,0.236481342421453,0.162050985938074,-0.0308994533043528,-0.0493484842373853,0.12614340397208,0.12878693445037,-0.270125586018966,0.0841893106492511
healthy,0.208769991619919,0.206581334005489,0.150947149661937,0.285449725135655,0.156695965730238,-0.0054832283768768,0.0313598664517121,0.269319869860742,0.291818320522296,0.370749871673473,0.161878142283382
healthy,0.211428522849691,0.076109550873019,0.054860587629631,0.0606181566302018,0.145754509529832,0.0269323733742839,-0.453819000008846,0.135928203559291,0.191338707807387,0.451771106624476,0.107387579145464
healthy,0.320362654603515,0.224540749378857,0.103108403570205,0.0769632814977106,0.100517969870124,-0.0295676825556205,-0.293781510802102,0.150188677036419,0.243401620943874,0.50762876830212,0.116219144648389
moderate,0.163793821996996,-0.0880899587686709,0.261994281695672,0.274604819456336,0.111667621999327,-0.0202388710320175,-0.0791828689610487,-0.154055331474193,-0.129231315755581,0.236568255353284,0.079223613107847
moderate,0.274854346572072,0.214958386122927,0.0607528947318401,0.256566876367709,0.302928379141023,0.175885358569448,-0.0901818015322548,0.0892759167212984,0.233699099164551,0.52612551686515,0.220376553409762
moderate,0.0766003807924493,0.29058432153002,0.10920817610145,0.286475092705124,0.542828926824822,-0.21368856844138,-0.446059532037212,0.245318164423343,0.082059849209433,-0.197449412772985,-0.0326656551664428
severe,0.199550360959833,0.205345356753632,0.157277302976669,0.343016723439537,0.701502716755878,0.246586234918059,0.172053712440266,0.153031946290846,0.197634490802155,0.128777307661162,0.168383794052622
severe,-0.0659109460992271,-0.0393049959571902,0.589025402947505,-0.0969436011228269,0.0839959599331464,-0.0265174015582399,-0.0915480943471467,0.0338540361951295,-0.0713684948909275,0.2419019474351,-0.075891062990617
severe,0.493831946608763,0.489747358785515,0.197811101696176,0.453061210393407,0.457465534118723,0.0863556012293108,-0.487522238934815,0.464919331311916,0.478558328814796,0.407375931725646,0.47496025638429
severe,0.0529738906705309,-0.219902128962481,0.0176503913423047,0.0185478769035215,-0.0443945583706374,-0.487950485459115,-0.20227450285775,-0.0026366574544399,0.0536655300293422,0.235700154523243,0.0478540106211639
