group,CD3,CD19,CD20,CD16,CD1c,CD86,CD38,CD34,TCR-Va7-2,Anti-PE,CD94
healthy,-0.211564708714056,0.0265635485047323,0.358671599821956,-0.0945154972169493,0.384083268749021,0.130505360613825,0.274796765911874,-0.0796918172257233,0.360788956053046,0.0247265882074771,0.269892074897583
healthy,0.0276719340878092,0.145039688957864,0.164398838919349,-0.12245520724181,-0.0203293365341852,0.109096696834938,0.601623949989536,0.0749477748163382,0.0443762777802137,0.108135412606378,-0.787572250209166
healthy,-0.028638536223177,-0.142770747424052,-0.0929954854442782,-0.6058796379726,-0.0955623585092219,-0.0021207345223728,-0.555062379591599,-0.176322597085729,-0.0008829465806196,-0.0610216529259777,0.359317138275863
healthy,0.13760357813715,-0.0569003714180897,-0.0257886047325995,-0.16464260641807,0.0278976545075802,0.446239696110818,-0.405632574345249,0.0380338822091382,-0.0438874349315384,0.0336460639234614,0.304032640141644
healthy,0.0738915675938454,0.0660000953704536,-0.0712418336859834,-0.55880352954884,-0.0448716626372893,-0.0225955204433451,-0.154613732487911,-0.0185240771941312,0.0589061850427298,-0.0376231524470597,0.088650752010075
moderate,-0.170915810562256,0.362721894538446,0.11563580023033,0.393309303430797,0.118983737647818,-0.0201951601685444,0.0241508820659246,-0.221683733779966,-0.156645381856808,-0.327799040903919,0.279928890424286
moderate,0.240054182390181,0.174640037005785,0.109821920918337,-0.552051111409737,0.233429839222115,-0.0390556426811719,0.121077226211895,-0.015898930080545,0.182303684194417,-0.0172231614011387,0.132079498727339
moderate,0.0831820575391867,0.341329371359863,0.252397681804533,-0.0079987001829246,-0.242711668248122,0.0877003938902745,0.0007363634098716,-0.0426000062072944,0.0493377599263896,-0.0470879110680936,0.130319423589398
severe,0.322458007096645,-0.0432664608355275,0.47075479367805,-0.227668196918292,0.119105027695041,0.205134478815734,0.373830707966811,0.204913442375919,-0.0051391545959571,0.131011149837999,-0.126545974337657
severe,0.14937553749991,0.157381708368866,-0.0907230993297891,-0.047384837099025,0.14433039199534,0.0679739207883353,-0.0826348205799206,0.384614953803544,0.150179416879448,-0.383699252102932,0.0935648668290186
severe,0.370151430750942,0.070278404817041,-0.202097661861844,0.239541732872246,0.0281784539871577,-0.0822875394435973,-0.309585680933573,0.290951729020127,0.0938785382606756,0.163697528507334,-0.304197748144478
severe,-0.371891400792138,-0.161345731087443,-0.467593136629232,0.349099068161891,-0.2169064947918,-0.213376922878409,-0.0379505230347189,-0.107191727805843,-0.169536975458985,-0.14496410829957,0.391344962834174
