group,CD3,CD19,CD56,CD45RA,CD16,CD274,CD38,Anti-PE,FCER1A
healthy,0.208224294701025,-0.111446650706833,0.0251301414089185,-0.141966362784236,-0.460831894809168,0.0660709137866606,-0.0986318866406157,-0.0642277764300734,-0.0405964088838045
healthy,0.123552057763911,-0.106149211429622,-0.281002988641937,0.113933283334559,-0.296826533963031,-0.0378302233490646,0.466333489281386,-0.0691609563533974,-0.179940280998255
healthy,0.0558392836010281,-0.348314164051667,0.189907417953028,-0.129687774446436,-0.446045997514814,-0.0767264268366438,-0.0719120356475605,-0.210105208551121,-0.0599092950496499
healthy,-0.0965507628237815,-0.194477135682296,-0.273680725291279,-0.274676197109284,-0.503074327715737,-0.134698757182706,-0.118212547024087,-0.100958217424373,-0.11931395747705
healthy,0.0599866189278969,0.0055013621406242,-0.300968040552245,-0.262216463151391,-0.418354020231374,-0.0715434355241277,-0.0861860279346201,-0.0325605628621855,0.0249223541651649
moderate,-0.337519687113637,-0.119134955095636,-0.447689656624691,-0.121904799037589,-0.161004497282253,-0.156228982287399,0.26016891984101,-0.280932851771728,-0.0483898858297875
moderate,-0.106708327536867,-0.187080596085498,-0.154756809107541,-0.233462377096071,-0.150512983901483,-0.171339584323457,-0.206581613298371,-0.185288672673329,-0.249348895274206
moderate,-0.375493458233912,0.194215984575855,0.0122332153692595,-0.186430301027714,-0.478149370574673,0.1041006896934,0.40359782634766,-0.0776887601766349,0.0783242880742965
severe,-0.0711423605097503,-0.141747750386556,-0.261691326650033,-0.165028621968552,-0.662029443784446,-0.204452507239225,-0.181455727897582,-0.0784565884697857,-0.0912015087919076
severe,-0.0591186145490961,-0.0193722754273293,-0.0587993907485369,0.133089315489831,-0.221310786042566,-0.367244992553957,0.176042537021096,-0.472429148351243,-0.031477427445132
severe,-0.160880350957857,-0.356237625590927,-0.0958998868820255,-0.384503646103688,-0.212040440107818,-0.0664282389068391,0.488411067082372,-0.224166727103498,-0.366989839053384
severe,0.291783642909905,-0.241435172672038,-0.313559708799638,0.0058230052400618,-0.567321858067139,-0.103014142817071,-0.0030196422489023,-0.314985983098498,-0.134680012173642
