group,CD3,CD19,CD20,CD45RA,CD16,CD86,CD38,CD25,TCR-Va7-2,Anti-PE,CD94
healthy,0.342893957105697,-0.0708429708740472,-0.0383645822351482,0.0848531931919738,-0.40297961081718,0.0923957327362817,-0.016150414379755,0.101041516316624,0.357890323579036,0.124316332604907,0.266678136997811
healthy,0.202408377031916,0.0844139208529504,-0.0652312147370325,0.196124408349171,-0.530252968750736,0.0116856599229387,0.557736986278431,0.0113114137271759,0.0082433163131508,0.11233828091218,-0.387889229817733
healthy,0.0331518481105908,-0.241802434413669,0.0841024713495103,-0.142357454545479,-0.56995103993596,-0.113147532020945,-0.420934037922694,-0.115746548957271,-0.117178555553632,-0.122536640252657,0.348739129261207
healthy,0.111094219302743,-0.17958551396208,-0.138848294073656,0.0884776379435301,-0.124569897788534,0.450503261110935,-0.261959830267502,-0.370814706611721,-0.190811964736491,-0.053717523714361,0.292814186515556
healthy,-0.0087302541875409,0.0036318949483719,-0.115684583398498,0.360535974161103,-0.381205132947931,-0.0339632020290991,-0.0690261258558196,0.0193320463247451,-0.0166033714139582,-0.0608629250879048,0.109955961028176
moderate,0.209408336233118,-0.0024201502287894,0.0193009305370646,0.0939122575415682,-0.516816404791298,0.193670614576247,-0.300691539722942,-0.0123692707292666,0.0420582003809718,0.257252663323815,0.314051824980162
moderate,0.191672737831428,0.0673073297604433,0.0678821248042139,-0.0273181351120831,-0.577412703159132,-0.0822916410458288,-0.0725757705984092,0.167776070143945,0.0484268949271578,-0.095015191673891,0.325062754065282
moderate,-0.254405183917686,0.192504239169049,0.0452370203576404,-0.26245957592532,-0.507355535431995,-0.0778578625689903,0.392213779524511,0.206220115903091,-0.0032159039662993,0.0016131687707156,0.100965824993419
severe,0.109362094050792,0.0050554178545759,0.13229814376018,0.006074718475069,-0.714061642743521,0.0783744689671353,0.156348357206293,0.0636593263391418,0.144074567122764,0.103580166979153,-0.0362090746938703
severe,-0.0585880498616708,0.0627770475105034,0.146220058822916,0.0208826147740712,-0.153274007832648,0.047180028468627,0.427177601609027,-0.0149677295092514,0.072028204914096,-0.388451822715511,-0.14476564117712
severe,0.08144974160385,0.35462242508902,0.366638580991584,0.159203999667298,-0.103437698158742,0.266153596027348,-0.103138250814553,0.0269049419585432,0.268659697203327,0.178168789709835,0.0117341236632429
severe,0.506918026382129,0.173614980379299,-0.139076278483978,-0.0620758834063777,-0.742718604173969,0.0140380048772717,-0.177044446731093,0.0911340976969386,0.0609291225246095,-0.044343609959917,-0.22698477436838
