group,CD3,CD4,CD56,CD279,CD45RO,CD16,CD38,CD94,FCER1A
healthy,-0.388194112239808,-0.430072078415389,-0.0510796014605378,-0.127611050436455,-0.242260330032832,-0.234249961823124,-0.110155807914164,-0.113593683491817,-0.430917538912807
healthy,0.144103878101292,0.13061326216042,0.29009788785415,-0.0180726122149829,0.163237771232785,0.196796832796463,-0.497588205959283,0.477830893183543,0.122999489042515
healthy,0.196075045621927,0.0483219940752294,0.165082579154789,-0.107397655102511,0.101713152726293,-0.526204107560859,-0.54789897788979,0.568391941743411,-0.11348598408511
healthy,-0.0917524766622564,-0.102597141067149,-0.224969120037958,-0.152649486758516,-0.073434900835659,-0.496522859102777,-0.211479578663903,0.0657705695846462,-0.108683244668395
healthy,0.173475970679787,0.187925114274227,-0.177573680961647,0.0432018307948479,0.177070521368393,-0.473648266909472,-0.313061663665203,0.246229711016289,0.0871303434769415
moderate,-0.403743110799801,-0.207823172748546,-0.466665493166233,-0.0809811868995702,-0.110505908924282,0.150184481049862,0.225967657408172,0.146297154563422,-0.382119892210731
moderate,0.155565857207468,0.132207946610079,0.0486423861157624,-0.181006739053057,0.0204713705936839,0.212764194692725,-0.324234403377696,0.26272980798576,-0.190328773563484
moderate,0.0092618469926823,0.102555717647609,0.405168829422999,0.204133280911435,-0.0379419654928546,0.261568611005051,0.144916483429571,-0.033222641428476,-0.0451573015016026
severe,-0.0895742349198949,-0.146623320350061,-0.223341159761539,-0.33088330713911,-0.136840442498703,-0.190560912184799,-0.215214829325808,0.121746837473837,-0.153420675732704
severe,0.09264827192476,-0.19779515160411,0.0671234735586498,0.511256006579156,0.0783236194971342,0.0323515412360882,-0.0452816081030648,0.206287710658759,0.128161643664559
severe,-0.024434922481155,-0.129782573223711,0.0477788158769834,0.384699485847746,0.401164415648506,-0.0252095183673918,0.122658284362816,-0.0747836569325044,-0.0769798598667545
severe,0.0418557623839344,-0.188316943284634,-0.0576714603564355,-0.0898028021040828,-0.132936660148934,0.414106760154522,-0.106678038122655,0.0077916105356631,-0.129348623929581
