group,AHR,ARNT,ATF1,ATF2,BACH1,CTCF,DUX4,E2F3,EGR1,EHF,ELK3,ESR1,ETS2,ETV5,ETV6,FOSL2,FOXM1,FOXP3,GMEB2,GTF2I,HEY1,HIF1A,HNF4G,HOXA4,HOXA6,HOXB13,HSF1,IRF2,JUN,JUNB,KLF3,KLF4,MITF,MNT,MXI1,MYOD1,NANOG,NFATC1,NFE2,NKX2-1,ONECUT1,PRDM14,RBPJ,RFX2,RFX5,RXRA,SIX5,SMAD3,SPIB,STAT1,STAT2,STAT5A,TFAP4,TP73,USF1,VDR,VEZF1,ZBTB33,ZBTB7B,ZEB1,ZFP42,ZNF76
progressive,0.188329433925569,-0.0004091454813843,0.128494796718601,0.317751164757363,-0.130505850779642,-0.044220073778996,0.225214939272743,-0.0299022934869363,-0.116835306277343,-0.0057973834311407,-0.0607916215532575,-0.108608477078208,-0.158274577716761,-0.177155370326632,0.172583111783253,0.0337094268645634,-0.284638119441936,-0.128187359718464,0.105927071663486,0.004937484453316,-0.0124685351784582,0.125159220844942,-0.066288502653438,-0.19412681735671,0.123400126430628,0.290793794113837,0.138305042046257,-0.0379441981747109,-0.112727670568756,0.216061175960416,0.224595442159687,-0.40754819591746,-0.145556394447967,0.310911269393429,0.0929268785148677,-0.312492373965558,0.18374561760023,0.039240981310624,0.108881240732465,0.0815031668255943,0.0364116362868136,-0.0062712524915011,-0.207515351979185,0.224935240949311,0.126738013860679,-0.198934854652074,-0.134620421157406,-0.367562893448611,-0.126569270244063,-0.0801555294490573,-0.0622409674110427,0.0449667064936126,0.283715808441527,0.0809252777275939,0.113476614839764,0.303107455014031,0.0262107379289093,0.285964952810945,0.163565730298053,0.0272648076436622,0.101398732691555,-0.220064791631363
progressive,-0.0705951165036111,0.0850947258566933,0.0815520772390273,-0.0589158533286534,0.0209743161787172,0.0111474833068631,-0.0383156959348257,0.0402920806820031,-0.0780507467693859,-0.0642719095540664,-0.0644540154657304,0.109110516820556,-0.0514227306693006,0.0765273313487006,-0.0050377534554455,0.0663982638755553,-0.0013749761481524,-0.0732096370925019,-0.056850711078312,0.0443290167741858,0.0576893164530338,0.0762013770698397,0.0788992991056692,-0.0411138527371593,0.0992492521586811,-0.0816722059286544,-0.0229828372632471,-0.0271421974977249,0.0482863771738767,0.0680280352698595,-0.179504398640269,-0.0714689188192427,-0.074808037300343,-0.0442157744425628,0.0494532322801273,-0.10340708209138,-0.0537151227337774,-0.0167835847577762,0.0635312434931807,-0.0545147054131426,0.0671565284068959,0.0395269297926584,-0.0992461915551238,0.044069630622698,-0.0319259208579081,0.0155195554885788,0.142288224533432,-0.0551551367075241,-0.0326933671999208,-0.0599342691623712,0.10354710470413,0.0606229049627814,0.0805428432159816,-0.0001407877636394,-0.0156404493290952,0.0319710647603794,-0.0674365736323961,-0.042214139716037,-0.0626934032693482,-0.0094144165424973,0.0097388405195794,-0.0471776735352162
progressive,0.13087421679299,-0.182872886478701,0.129246718959861,-0.0668185449613389,0.138465662588581,-0.116490264875372,0.121602111779146,0.181008440757595,-0.109017293023769,0.140877670576456,0.0001511302234216,0.105977221243081,-0.0219997000606943,0.0020482322239606,-0.102798929861074,0.0558938803185231,-0.192716856106798,-0.0938442742612515,0.0657317743597491,-0.036540098340246,0.076039007486777,-0.132017946021497,0.142624401801933,-0.148712139846897,-0.0800116818521971,0.0215941546370402,-0.0333656042000326,0.245892670748808,-0.139652680373546,-0.0662922472486193,0.0978085946947237,0.119028341290825,0.279284855641402,-0.134666142448991,-0.0147522843716855,-0.153196682406218,0.0080683793649826,0.109429673482653,0.0607908033367279,-0.113112238574973,-0.141400171047382,-0.0289539686831666,-0.0810217481695378,-0.0291787653974018,0.162863700566691,0.177544596792639,0.305027117214769,0.0591048279799639,0.220147371382006,-0.157068350139904,0.0774827188170511,0.204017447687271,-0.0341159391786285,0.302428284930604,-0.114953900845312,0.0228852168471749,-0.0350424661764898,-0.108741613269487,0.2210511149291,0.0466278508915509,0.111817379123043,-0.053818307953642
progressive,0.157004003600378,-0.245053109199535,-0.226985368335624,0.0492332522924073,-0.182643656578683,0.0728805140765193,0.0208072787559258,0.0596093724549808,0.289092109587193,0.306213189441709,0.119676939846195,0.247554605878432,0.14014848417437,0.0228519564593583,0.310081015164689,-0.132850388253101,-0.0579967464331619,0.090549226317284,0.155037755660805,-0.0898213430702343,0.0288979280804096,-0.0680275004425985,-0.0249489206720306,0.216358823313007,-0.15767547245588,-0.197845271159788,0.0460520309933925,-0.2149484635243,0.0318108370293777,0.247656426975372,0.0148053378794976,0.117460267046579,-0.132392193316868,0.11605541110095,-0.119199481459189,-0.007459083331297,0.0891099713524183,-0.202586831971381,-0.0122955854359842,-0.154852000956927,-0.143284298767992,-0.0835497138829899,0.24937500197644,0.337532808476386,0.0364533286655696,-0.0747573245660764,-0.0923682464545234,0.165390484490298,-0.38054259020848,0.153304045091273,-0.045892419544134,-0.0119639788905419,-0.163523305726127,0.18202722615396,0.0268546263377466,0.0749981177007337,0.336004116061504,-0.0166904041336715,-0.0958590589266688,-0.113203044425839,-0.0683659867918881,0.178884531756491
progressive,0.4805981077156,-0.256130889761021,-0.0751463577426153,0.124961778040077,0.132673919886002,0.0134492229752115,0.0726069939640788,0.0241082808110434,-0.233402016434614,-0.211488247530948,0.0614463334065607,-0.0129162700834199,-0.308642424687546,0.425923411051803,0.0620106364684576,-0.303532346960368,0.346920982386225,0.39175172563693,-0.204716610788184,0.384353085492058,-0.429936232825292,0.131608014102419,-0.359116198557221,-0.417270764102716,-0.037965055997625,-0.212460102804215,-0.22697523156301,0.382785576986789,0.358457844985007,-0.144210782484785,-0.312906047821879,-0.270050365287813,0.345949127112958,-0.30412800019237,-0.0437648374671218,-0.0478090094107168,0.373255125274751,0.350714352968977,-0.0123519670215229,-0.159384264815793,0.305883609718272,0.402034581431497,-0.0121638660008906,-0.434858209531838,0.394447840265993,0.0209732638005046,0.0267730452700014,-0.41846207056672,-0.0677790677678491,0.114929723606353,-0.37080981200653,0.0412254736885853,0.286509204593142,0.280834823804067,-0.150700267696601,0.0124460175318391,0.0928278536820541,0.389588563899658,-0.118315541977735,0.400874625137598,-0.373129724594329,0.124146673617337
stable,0.042980108785225,-0.343683347962907,0.0513285035359665,0.117621819467149,0.016730983370706,0.168614675598621,0.284046550632381,0.0024762700630356,-0.0797503323739717,0.0062604075987574,0.0057772751206895,-0.343023579177252,0.0950481027682382,-0.0289749338827277,0.197575634178057,-0.0995922854926184,0.15586963122217,-0.0017863895414207,0.0390734592264862,0.0401288587630687,-0.0026351370846507,0.0235781616073396,-0.109885120379743,-0.0309623084560286,0.336147249706603,-0.0242584371095098,0.0360957591233405,0.182216055483664,0.0258557038180645,-0.0336298144562079,0.0369606430992376,-0.0639905605444156,-0.177632252054074,0.0630427852507107,0.0896402847204887,-0.247476783799445,0.0261036573950292,-0.0988016963421259,0.0024147499134923,-0.0185212629450018,-0.0401659341381252,-0.0082714585449894,0.119134033728521,-0.0978974317865056,0.307070934843637,0.106109627361521,0.171042200187975,0.260723066115617,-0.328344035859543,0.0169541559975034,-0.0067272115437694,0.043992189684112,-0.0960484175183055,-0.168717305231388,-0.0994646347841985,0.0021301531873461,0.0475406200426612,-0.0719587886255362,0.0037583000334156,0.0217666069149738,-0.0397819734858237,0.0550181276803526
stable,-0.0081763549231242,0.0787997353650616,-0.147945188380236,0.0935655405343548,0.0983378869683311,-0.0255306759003522,0.0354947475120218,0.108115227898492,0.121529837611751,-0.109107655553331,0.155487883449715,0.158896177561061,0.0400607718487242,-0.125257104461019,0.0346694591229262,0.0448116901717076,-0.122232067420573,0.166722335927388,0.0839694202000194,0.0163135270147187,-0.13759418630721,-0.0755187854561868,-0.0012471160597831,-0.13058903070778,0.0750443058556311,0.0141290841569346,-0.0883652441122644,0.0487391568008235,-0.142883256331985,-0.0380624474407064,-0.11376061679749,0.0144823418724451,-0.0357910676754656,-0.0660512337878084,-0.0486069147444105,-0.0570520394025592,-0.0176690080929514,0.0723706898354676,0.156997034695353,0.0823965968531451,0.0794572722566704,0.16829454704252,-0.0124442224011549,-0.0520715341760811,0.0968728164081636,0.0841261515261384,0.0684970995997052,0.0753485850317294,-0.0040039955969474,-0.184420731143987,0.0073118837024989,0.218191434068699,-0.176527839517711,-0.0259831151581724,0.106841173642032,0.130535766546169,0.0891495129746022,0.0005448862509607,0.111914738093393,0.0400313847250769,-0.0913890566892251,-0.0661712312093683
stable,-0.1552826937587,0.0910534486845139,-0.162611622730641,-0.100995229817533,-0.169414745540136,-0.141433768372427,-0.243990238026147,0.075489586276109,-0.0537697471042967,0.0390148172535013,0.182519452973409,0.310136653261867,0.0375749173009566,0.144426818835582,0.118451994410744,0.206447678027495,0.18715463652851,-0.351626804141653,0.242340015608624,0.120652290967442,0.130205784472809,-0.0823978703180933,-0.187615728086348,-0.19177364143246,-0.0650300883062195,0.309311542053106,0.190155776317241,-0.272408038774965,-0.114027133320621,-0.316947865396938,0.267805212522167,-0.24445941890956,-0.0332390387921702,0.20467611572633,0.174422038071738,-0.0934802463573421,0.281346743536549,-0.138068608932772,-0.178046055929829,0.143860566045255,-0.148390588367868,-0.0265491665407405,-0.128571740706438,-0.164544971543328,-0.154441403898786,0.0510193764084248,-0.271453498356986,0.242137782469221,-0.0295341276783191,0.0893870476158385,-0.177447445837198,-0.302354722057665,-0.155371676340037,-0.224575856643521,-0.301828915895219,-0.235407463589911,0.0418056345772537,-0.0197622223823976,0.21432668113861,-0.0785635299950248,-0.154570833108004,-0.04355292890169
stable,-0.190045233820934,-0.0074484748950213,0.139445838151694,0.0268676694690933,0.0564835567174267,-0.105739325060703,-0.224925896743961,0.06790438898812,0.0215577810801887,0.0800799447749399,-0.0483364443834059,0.0064181980434428,0.157164161473752,0.0917348754545126,0.0217589594003194,-0.142491555992218,0.0176024933801643,0.0841961751310689,0.0091213031084719,0.119524307408568,0.0542864456090901,0.146171290356791,0.0262568189334236,-0.0011241600676395,0.174269195735047,0.0384823644846398,0.0047502468801773,0.121215424560213,-0.0813979675874327,0.0135130868000527,-0.0434094044340229,0.129624678341676,0.0364157144687515,-0.121562914385893,0.0424620374355891,0.142103830502512,-0.0278430795060907,-0.011814654073131,-0.0399674262659683,0.140738256450715,0.0554996118426056,-0.0149274313536989,-0.126596030176799,-0.0475841593923717,-0.0263141242730972,-0.0641222365696626,-0.0336040950371065,0.0277613889154921,-0.103744611535043,0.0626883838152764,-0.0159796549311098,-0.0116988241312375,-0.145351945925713,-0.0059463434380453,0.0679019504630275,-0.126289995277692,0.103237398315804,0.0839023328574235,-0.126394851856669,-0.0257691139149249,-0.0658987020995441,0.0199227500056718
stable,-0.188677754551729,-0.0212576668296327,-0.214238606705438,-0.20372298814679,0.148215460950198,-0.0801629852976748,0.246038711022762,0.0489260320907249,-0.142059774342304,-0.191424931596462,0.189396344091678,0.0216631987324646,-0.135388217746346,0.164980400370735,0.220805114762723,0.234632639060539,-0.04785554850603,0.160265233608987,-0.112086094772254,0.0625305602415151,0.075377894442384,-0.210868794351312,0.232248584747106,-0.0851405878079827,0.0220752729691979,-0.198996128703176,0.204451182389701,-0.193130949560228,0.154292778749867,0.0578286173461642,-0.0995958049640955,-0.138824891824955,-0.183616679284763,0.0739340802295215,-0.0119400841669935,0.146075839367214,0.0174989800043812,0.126687888047479,0.130677969334907,0.147138667029258,0.180905183479535,0.250550044643876,-0.0081266458949064,0.15739161784169,0.0729017370594865,-0.148207712228485,0.102048437784666,-0.0439302873637113,-0.156647415760509,0.101413460199969,-0.0878973695556773,0.041470880211583,-0.0323148143171082,0.18997123428345,0.166872248457024,-0.190107463307102,0.132996089914482,-0.0864890509841954,-0.111648871989601,-0.135774493843723,-0.0490604051331278,0.190337976178185
