group,AR,ARID3A,ARNT,ATF1,ATF3,CTCF,DUX4,E2F3,E2F4,EGR1,EHF,ESR1,ETV1,ETV5,ETV6,FOSL1,FOSL2,FOXH1,FOXK1,FOXP1,GATA1,GMEB2,GTF2I,HES1,HEY1,HNF1B,HOXA4,HOXA6,HOXB13,IRF2,IRF3,JUNB,KLF10,MECOM,MEF2C,MEIS1,MXI1,MYOD1,MZF1,NFATC1,NFE2,NFYA,NFYB,NR2C2,PAX6,POU2F1,RARG,REST,RFX2,RXRG,SMAD3,SPI1,SPIB,SREBF1,TBP,TCF12,TCF3,TCF4,TFAP4,TFDP1,THAP1,YY1,ZBTB7A,ZBTB7B,ZNF263
progressive,0.0711518150494215,-0.002680038697724,0.0019251305371493,-0.0680082765084267,-0.02602253327987,-0.0452050020409769,0.0473251696408887,0.0290329877074504,0.120994110076786,-0.0590664008191882,0.0683088630404488,-0.0739052794648914,-0.136847181448853,-0.03173597194197,0.127037964468742,0.15795248619343,-0.051001044635541,0.0409233648749212,-0.0697223081070567,0.0030288108570168,0.112421657529956,0.0754128012323611,-0.0167135290019022,0.212097069369966,0.040581476376667,-0.149515412313695,-0.149866479026667,0.0212567452874275,0.0978764817552363,0.0605578607109011,-0.0215343862826541,0.0823584152203839,0.226855638636885,-0.0069043120217907,0.127122862954886,-0.0805457178135329,0.123864596729913,0.0375802001638049,-0.0320365584739922,0.14886605362238,-0.0115806124207304,0.0818995044844723,0.117150732663526,0.0389408704957829,0.0254672512894169,-0.0883609676461083,0.132951029300964,-0.0495072901901486,0.052673774267939,-0.0766357983435657,-0.150981632114932,-0.103241148258043,0.0373736903326446,-0.0204238223017479,-0.0463545734344356,-0.142459659749053,0.0688664395845815,-0.072452826985731,0.125046291874885,-0.0856350378747931,0.0585570099023263,-0.0445510542423028,0.130929527509273,0.0753577319440517,-0.0894348187681415
progressive,0.0305707730407285,-0.0932201560687647,0.0558486845879983,0.0102379343352354,-0.132864298414096,-0.0710723423866354,-0.0471885966032521,0.104749124035245,-0.0256783954492069,0.0294122303244104,-0.0209569010263689,-0.14128123545838,-0.0144287123090777,0.0079562299991987,0.0183560140316455,-0.0885972770428324,0.0246809496408108,0.116777944089857,-0.0628323108253496,0.0187248807834297,-0.0029449116999588,-0.107112882403821,0.0327147169368131,0.0374949289242208,0.0393701270440055,0.0693266240246199,-0.0345590506957342,0.0760701104786668,0.0263242886594739,0.0248774276453326,-0.0055676295840735,-0.0408026850616491,-0.0706432524917027,-0.171296450003564,-0.0604263962565693,0.146290295389752,0.0577795891151952,-0.0818929356318319,0.0073607736713184,-0.074133183637155,0.0241969061277552,-0.009458044631463,0.0162489568107394,-0.0670577171065023,-0.0172930755550755,0.0545659316389364,0.0186992859475916,0.0060125280540827,0.012102593404969,0.03491436724031,-0.0110005098853525,-0.0363514419936897,0.0002009947402579,-0.121515999877061,0.0746812142398058,-0.169680211399318,-0.0058981040821006,-0.164110323447376,0.04526371439037,0.0423489142619853,-0.0031986016904717,0.0224097843548251,0.0889495824302508,-0.0353231318244301,-0.0056203248343284
progressive,-0.074285023186563,-0.0186919240376529,0.0065100703982799,0.143753842311297,-0.0534421219680025,0.0704439388044389,0.208148580697147,0.148277585651919,-0.0392551455948021,-0.0436803995922932,0.0871457766492004,0.152915606703656,-0.0896967258190079,-0.067367462528915,0.0132704992031458,0.0519294459498319,0.0168755098925733,-0.0636211083546883,-0.0582320120831938,0.112605647762187,0.0673118273274515,0.0235690260902735,0.0268665395175579,-0.0170025686634832,-0.0130359291645428,-0.0293731308916041,0.0103609285320125,0.0167281517913996,0.0311609756089051,0.135135648873777,0.0634211223602383,-0.103009327336775,0.131467484712418,-0.112809392891871,-0.161411252332546,0.0208782370897603,0.0346780225338564,-0.111512491236133,0.0081806300962795,-0.0464223128319891,-0.0068664364184652,-0.0259447995581756,-0.0115262604545594,0.0207158424476505,-0.0867322717734579,-0.109126192189576,0.152945679785528,0.0514264736555197,-0.0655014277987463,0.0148380585957331,0.004548553633167,0.0633151147466389,0.0331841421918559,0.108303693400372,-0.065752538032379,0.193928523933887,0.0557960924515473,-0.0491589632823574,-0.0201933226501214,-0.0056770460304205,-0.0530955296994257,0.0044568307334569,-0.0585146990527923,0.0456088359673467,-0.269873581239794
progressive,0.323005535407571,-0.110582686118181,-0.28066362824864,-0.161099738759818,-0.310752364400457,0.196068466659571,0.144810822760491,0.305183609144219,0.0394791059630344,0.158857506665462,0.333272885289756,0.226099919509707,-0.153661092870148,0.162010816034167,0.451268303423037,-0.161466624668201,-0.318326035215517,-0.233186682260482,0.435174423427051,0.123669192775934,0.114306100727422,-0.0457202580699523,-0.131942538204379,0.017766006849806,-0.11284401264643,0.251245925059367,0.21320708496716,-0.268640954336385,-0.362551471889232,-0.246337291660592,-0.0169013017720556,0.385130639968346,-0.0295840975417736,-0.334719970601259,0.0784549372041604,-0.280786378180813,-0.302802260460067,-0.0166667130127921,-0.086947868622381,-0.161146110956417,-0.0415985881252176,-0.172316354784139,-0.0696128504233149,0.272098410759251,0.0479870401507428,-0.188980340020661,0.0756166859946988,0.0444068337957036,0.34426445977176,0.292828146526962,0.305723708845779,0.0707025970433821,-0.152014879890898,0.0497737336079243,-0.0215453408725922,0.0343195171473721,0.230791694694978,0.202031385586897,-0.293932895916517,-0.141622052300269,-0.322858235488963,0.106945196461461,-0.235711239198835,0.0963327828810571,-0.198601206926735
progressive,0.0974743455865779,0.0659020766251276,-0.340602505096393,-0.110549416736462,0.0181563784214033,-0.07832649257561,0.0500384831920926,-0.163903143087412,0.128457926510474,-0.0742986270555035,-0.20817868022766,0.0622769976570317,-0.0016111462080426,0.233957019556341,0.255149788908287,-0.0283809601262891,-0.0514947114955158,0.095677297892992,0.134406774047862,-0.0196126067248264,-0.123686455048194,-0.334281854587918,0.206877369828856,-0.330068087582268,-0.153523643477906,0.143980700553346,-0.148566270530083,-0.22432112588901,-0.0782335418328383,0.172485595003331,0.0164832650515129,-0.240928325264218,-0.139828900709544,0.0306737451146574,0.32523464895814,-0.105963846759726,0.0920522189248961,-0.160432982023935,-0.0927958248670696,0.385218861626803,0.0301470242389512,-0.130378908527756,0.0671414198620834,0.0298681720106361,-0.0337411196261231,-0.259642408142251,0.12619612510303,0.0527650383133955,-0.446721269760738,-0.0932915621618519,-0.442972256468946,0.0366535762329694,-0.129201532452648,-0.0541592994549708,0.125049732608846,0.0162353964041217,0.209449007045539,-0.0635783080558353,0.280215505875719,0.165359371390835,0.0717269898388201,-0.187884434722508,0.309866792819887,-0.183856569202401,-0.0080247474592891
stable,-0.0422377534332146,0.0726890296953855,-0.51309406196568,-0.0472800275673632,-0.0986101994908733,0.338427484063428,0.400497287037297,-0.0960961325130221,-0.320939488318303,-0.0355785806332634,0.079833839593878,-0.3685136694306,0.0365569485653525,-0.0895840837771047,0.174596539091955,-0.111059231511519,-0.206915690364457,0.325403102842192,0.0725986082198367,0.429155550839239,-0.0756361928411636,-0.0496473488137143,-0.0616363757649754,0.0618477217766008,0.0989709395617345,-0.119058127104788,0.0126351716272149,0.353431159226161,-0.112374173523881,0.35228925705639,0.322957986968604,0.116306230837954,-0.306642112704378,-0.0896938947950045,0.0119546932738298,-0.306125168588675,0.020661165288208,-0.333034684836827,0.130123786216043,0.0023038559638268,0.158905953922764,-0.186571047532236,0.0144791171047904,-0.50660863838182,0.422033582767467,-0.0264033546096593,-0.308998556890386,0.0450089919508328,-0.256402437017625,0.0193565801289559,0.203441935623367,0.109439637226414,-0.453831202642294,0.134318500891621,-0.320295282596584,0.0727284235704547,0.102220957900721,0.320384332616699,-0.0370810337076287,0.350764435070971,0.0060452809724933,0.0807470870386079,0.103883445636832,0.0743539765929651,-0.412676284212031
stable,-0.145588312542868,0.336445643593301,-0.0029731333734034,0.0089527584097936,-0.030410023298465,-0.180664857296854,0.129098400230323,0.139016122980607,-0.162793305281206,0.0613859244911335,-0.176250645813454,0.0248143218494605,0.169247224544035,-0.0013701159303383,-0.101585696010754,-0.0060263266418067,0.0293085932278611,-0.0889604931750206,-0.0736296297969058,0.0409761098953768,0.0834430320779478,0.188268727778772,-0.145555560767641,-0.0871421631355544,-0.0759774468692119,0.0970010539933008,-0.0487122005069152,0.0665158229146844,0.134557635949214,-0.174017459954443,0.0430352261341987,0.0131771308997477,0.193159659546035,0.124132260682908,0.0275703230833947,-0.176819556279437,0.0725554928723245,-0.0141815186733822,0.142038384016852,-0.0056448291118453,-0.0003099288359463,0.128325700940704,-0.101498357943482,0.153761700005125,-0.137162008594134,0.309535814643655,-0.228885781175361,-0.0799501159014014,0.139051300813259,-0.0532422562323232,-0.0674262009631297,-0.209775120330284,0.257160267426141,0.0052784944407854,-0.26543494278586,-0.0326571589876653,0.0150900771787593,0.196163118637242,-0.222618061819843,0.0413733767985958,-0.109639600144868,-0.201294230089505,0.0457948664542692,-0.0611791030957173,0.129026225021952
stable,-0.0718292600884069,0.0292368346949363,-0.0219955628978854,0.121854779048387,0.010853915121849,-0.0309392528988787,0.0871190536289791,0.105829668724891,-0.171344795568629,-0.0458294177530795,-0.164511145031677,-0.12454827639453,-0.049953585796433,0.0774880022874269,0.236548212036997,-0.043231831291665,-0.100786354702883,-0.162824711975189,0.0249448226033068,0.100027060198777,-0.0807729500894003,-0.079166442770187,0.132700701596508,-0.0947599541124015,0.0138351451221801,0.0863597591248734,-0.212554505707254,0.178018594631032,-0.0128360734062514,-0.0247769785550308,-0.0658588075140173,-0.154424516987661,-0.0347916734354997,-0.0144026178568276,0.0019102251208556,-0.0393554330338618,0.109202534837866,-0.0051711952016467,-0.0601441172989053,0.0136832862213589,0.103983384193855,0.232823672680015,-0.118585816393868,-0.119712769289436,-0.077807705236524,0.205009516108561,-0.0185587561950908,-0.0492742170296015,-0.0970058673298091,0.0247130379652113,0.140045876852016,0.10477464899287,0.0266312556597944,-0.0975173920483646,-0.0631413324466913,-0.0628456072187764,0.123589167547239,-0.115308861165622,-0.0371654678325461,-0.0070654351750474,-0.0478595314798465,-0.0785030591508104,0.0369416757681781,0.203043342971613,0.157189947497352
stable,-0.0292341418776416,-0.156632188272102,-0.0231634999442108,-0.0457145208509357,0.0107490672728122,-0.163039753841085,-0.301201307092739,0.182355104547811,-0.0766681765685917,-0.0253655365622838,0.0630733078740621,0.031734596572918,0.156332566896201,0.0671681333447192,-0.021043287637629,-0.0669876385399592,-0.137940146291148,0.027613298530896,0.0077251776437315,0.198189312120064,0.0622851472266098,0.122358631445559,0.0997305994221368,-0.126738638707737,0.155477021521638,-0.0269310281689029,-0.043531737012037,-0.19421240992185,0.0618327069160112,0.0476361888722814,0.0778401895008338,0.232125945311055,0.0627375875372084,0.0018157777358864,0.0183683546310845,0.0801553361965565,0.0827231756189433,-0.0439396552707948,-0.0585693608459488,-0.17309451776492,0.0416136788867866,0.0801601493913501,0.148566477096723,0.0440443422575557,-0.0643921232475091,0.0913941460396177,0.0648301239737269,-0.16193031244116,-0.0384971352579291,0.0149293269510557,0.0174911498799505,-0.106603841587401,-0.128270437950801,0.102505406220648,-0.1020902681697,-0.0566260334480319,0.309954101824905,-0.129849165843103,-0.0833272315655404,0.02398414965652,-0.0072366383721809,0.250768652045375,-0.0375489358835895,0.0010709358415765,-0.243893003282714
stable,-0.0245055621452008,-0.0808508746684015,-0.104345716356567,-0.119740996468826,0.0021055990861092,-0.0141838501819502,0.15428810884495,0.0180527959835129,0.0397684370551952,-0.0200712214581935,-0.0070880644147876,-0.0553115193859921,0.0988519056090692,0.070225380030943,0.0804829453744633,-0.0539116244938689,0.132093789614496,0.0054199324824668,-0.0035273330695651,-0.0041135162114038,0.0459690485200938,0.0330372910117282,-0.049705177923112,0.0635873927892072,-0.0696476949455643,-0.131354230260097,0.0574893976404871,0.0191152814833929,-0.181647099044742,-0.0002008465387001,0.10409799344191,0.0020062723401733,-0.0567182675494539,-0.0588652603944491,-0.058072656719888,-0.0190656637989005,-0.0858459500163431,0.0335557638327404,-0.0863835663086281,0.0243884625822599,0.0246634158283694,-0.0395435583783339,-0.0620657381096327,0.0121555559965417,0.0653825386836723,-0.0142738107903898,0.0914066486921073,0.0097378132451914,-0.0127417848268561,-0.0476602988210638,0.0667605944844627,0.0876724838935396,0.0859986865902455,-0.0417333613249582,-0.0308131303314591,0.0459640227877787,-0.0341919301668763,0.0021262959655521,-0.0671905687282541,0.0085335107170754,-0.0701578524640188,0.099113974705062,0.0376644370657316,0.0098883110837898,0.0014294553358308
