group,ARNT,BARX2,CTCF,E2F6,E2F7,ELF1,EPAS1,ESR1,ESR2,GATA1,HES1,HINFP,HNF1B,HOXA6,IRF2,MNT,NANOG,NFAT5,NFYB,PAX5,PAX6,POU2F2,RARG,REST,RXRA,SMAD3,SPIB,STAT2,STAT5A,STAT5B,TAL1,TFAP4,THAP1,VEZF1,ZBTB33,ZNF263,ZNF384
progressive,0.22982660810238,-0.254894138664104,0.0990083722872622,-0.441488604967664,0.332296763460717,0.463160881092549,-0.0522846242365029,0.22054242249029,0.489072637081812,0.367504175516249,-0.228154215883152,0.0021266222046965,0.421401545610251,0.383922983627374,0.171109353162566,-0.084736833198355,-0.106705047041045,-0.170317891824249,-0.0060678702604339,-0.42273670647663,-0.232343225749146,0.0550100041493179,0.151719697419206,0.127108690933786,-0.120696707047997,-0.0954181201293873,-0.309062211476719,-0.0120990350674967,0.416845481210545,-0.420945021533946,0.363393164738669,0.304884672064904,-0.33179894574937,-0.102509154902545,0.205077956166818,-0.206793936111923,0.179664017888902
progressive,-0.0071672036458144,-0.0976847028050259,0.06739142313314,0.0358693716886613,0.036438654601195,-0.149268102159233,0.0267464424578441,-0.0614946830844049,0.0009422352333947,0.0048665729673324,0.0875232681279088,0.0140501448519482,0.0021209768166037,-0.0145716716746156,0.045384962102824,-0.0196990080532818,-0.0361073941048205,0.0643122923865194,0.0085165026928318,0.0558397556176915,-0.0098946070004035,-0.0245382918264049,-0.0163500174972576,-0.0278978948468438,-0.0624824003081486,-0.0018351983105781,0.0287067162418817,0.0791053097474996,-0.0059573827025336,0.0251667013263922,0.0026599384022382,0.0708359258688968,-0.0372580884606477,-0.0221239561720507,-0.068757398909952,-0.0035483532803868,-0.0561664679150311
progressive,-0.359975547260589,0.107444588021463,-0.237968996195155,-0.390201341839799,-0.418344492151215,-0.0447960310384748,0.0456707566735215,0.0636203072155589,-0.309741625988763,-0.0086818211567876,-0.263748958247485,-0.0919590109793503,0.259487397243036,-0.205895973619663,0.149476546223483,-0.158068864069376,0.136287217989451,0.28449116251517,-0.304458674259985,0.0434632590476728,0.0270518116214313,-0.172627066470033,-0.0997600894717874,0.279133750048758,0.345400798029346,-0.105084408277029,0.218163944241544,0.179723400405257,0.174079426918248,0.0894250895137679,0.2824649278971,-0.0848010024937618,-0.118638518912606,0.109170723303003,0.227178206267369,-0.142271153632127,-0.409233957656529
progressive,0.0392677657020952,0.339843546830465,-0.150873905344207,-0.0832332005255356,0.0127176804763457,0.387926775847405,0.0406212620042661,-0.0759213187883039,0.0512472995055836,0.121086071403688,-0.0592727685069639,0.1232090958454,0.187673450471074,0.0360122796365914,-0.0613889708907009,0.0014803865804994,0.241454462308443,0.0435683910493157,0.168451619921695,-0.298452756686658,0.102893007196887,0.0024300170505709,-0.106927572283096,0.0776118247544226,0.251572938696446,0.393870152754921,-0.0286594655515118,-0.184663558492657,-0.0492893688668586,0.0538369527127614,-0.233740079150707,-0.161659579002132,-0.123262307897602,0.410117566027352,-0.153151108296146,-0.166544172511982,-0.0590503694169903
progressive,-0.0974895082311193,0.0540269803219986,-0.149446844366969,0.222872877657644,-0.432339403422923,-0.252558371133597,-0.0273069471724681,0.20921940407141,-0.296762264124323,-0.0835889129510167,-0.218084894838942,0.127082331071871,0.126433636625466,-0.0775035412395051,0.138511709413289,0.0565290874724171,0.194577443709702,-0.0166498241243895,-0.0535327369342616,-0.297287397723793,-0.0630469221481985,0.0545830041332027,0.266736978319301,0.130078681610026,0.206037712262853,-0.303125647741436,-0.0108115741067464,-0.126495417048933,0.0366666813277372,0.122016336347567,0.127082331071871,0.284745971759967,-0.117290133952332,-0.0624908983369944,0.117846157763536,-0.015630447137182,0.0743527396426819
stable,-0.412480235690387,0.0987566064037999,0.125099740634174,-0.174768895639824,0.0703923934237056,0.067702962256633,0.121499596346918,-0.424252765812798,0.194230464817265,0.120079323759604,-0.138538222108376,0.212411973212395,0.0432369503014053,0.452955800287873,0.143951781887166,0.218593474658811,0.137462411720842,0.152816410183527,-0.169508725110859,-0.120811999172016,0.168648778333866,0.081421393332032,-0.152707767365047,-0.14449447456988,0.212482742727225,0.351751744212786,-0.436646579278062,-0.149971030119072,-0.0828595834522363,0.179446224940152,0.150240124918598,-0.23669269512511,0.182202680952483,0.167117729888442,-0.19771831641823,-0.360692735327896,0.0609478153524297
stable,-0.204493047192843,0.136219247053715,-0.218185558737427,-0.0377952162634903,0.15717012497958,-0.287871095660806,0.249664982663464,-0.188400097564977,-0.221595333997067,0.121199363046897,-0.267860970966063,0.0024993689069413,0.13884000347435,-0.054837416248436,-0.284252533877614,0.262303850589192,-0.0012363318269644,-0.0954846321461462,0.0541892069253148,-0.375651262312849,0.0234933394001667,-0.168911939179115,-0.124790612639508,0.106639537716976,0.0306509541450816,-0.16485577540906,0.252012010240721,0.0760808380823007,0.0786985598150929,0.338569197692306,-0.218019257843667,-0.356968510080341,0.0752262699859011,-0.212392946583991,-0.0336134164167622,0.234253623924985,0.206943254156739
stable,-0.0644252303626539,-0.048975956274449,-0.116404768362628,-0.192652607644901,-0.019858787685252,0.0436477940113504,-0.44021644077187,-0.139474832254425,0.0162640755137462,-0.104190735228778,-0.434201289071551,0.335498481091271,-0.120574634481575,0.133891046014686,-0.165236936150217,0.170988475624626,0.345196215705067,0.453061545598051,-0.140457386914637,-0.294998057292306,-0.116596486345108,-0.0010464606543716,0.201064234126224,-0.126174397219854,-0.0913935598982175,0.096074673970445,-0.181157516945352,-0.327685973305199,-0.125311666298692,0.0452055026190029,0.0661347157064367,-0.0399172816022544,0.0807931531169104,0.180510468754481,0.13639935628547,0.123546263210019,0.113656810613743
stable,-0.164406891014062,-0.0445065137669643,-0.117177747542704,-0.035964458574213,0.188082821174365,0.0825270811192635,0.0052250909439603,0.0479750694177674,0.0669552754347876,-0.0138345200931615,-0.0649749623577075,-0.165853024865004,-0.0715884380470812,0.112216136892717,-0.0522075976104573,-0.084059838628498,0.0134916347790862,0.072098555145916,-0.096157073130345,0.0614438451759153,-0.238198216815781,0.125417823037796,0.0617674807881477,0.122264481254669,0.0793941921443446,0.0088777218686354,-0.113081170369279,-0.0992622906588649,0.0113212308963083,-0.0040809367906777,-0.211883874396647,-0.113996734313178,0.174559905629784,0.12015182647742,0.0741318049030638,-0.0208895358185549,0.0988002978146372
stable,-0.0723931114069355,-0.126269472823517,-0.113682727725833,0.0159464403917879,0.048787113707126,0.138635571673683,0.221416408860896,-0.199838466167503,0.159176129960805,0.0928049898253686,-0.0960014836110644,0.194242170458785,-0.0945897038025994,0.19566545748049,-0.196308400188488,0.128452327246134,0.23723302779538,-0.104393210193237,-0.108111409976013,-0.051138238291602,0.0886422554358911,0.113825334975625,0.181314227355834,-0.0816806197435688,-0.269826067708341,-0.0978993061882748,0.0785008388151974,0.0133959944351234,-0.089925720684024,0.0885061780729767,-0.0821291270786512,-0.145601088767297,0.102417211627668,0.0755845365391805,0.0919455105888667,-0.10577768320203,0.262066050602195
