group,AR,ARNT,ATF1,ATF3,BCL11A,E2F1,EBF1,ESR1,ESRRA,ETV6,ETV7,GMEB1,GRHL2,GTF2B,HIF1A,HOXA6,HSF1,MEIS1,MXI1,MYB,NFYA,PGR,RELA,SP4,SPIB,TFAP4,TFDP1,THAP1,XBP1,ZBTB7A
progressive,0.102295404949518,-0.104042708131107,-0.0150176110291332,0.0009426240848047,0.168860758918669,0.140156705994797,-0.102980531723352,-0.121920378578526,0.145375624708228,0.133135306104569,0.216389704541031,-0.0207837115283778,0.167106558487678,-0.218088726976813,-0.232989084766129,-0.0407443512949017,0.100789505496964,-0.196750936413221,0.0627327823853226,0.0752696827132258,0.128001453467083,0.0541526041304658,0.0422272599161189,0.293691776744421,-0.0356288913224857,0.144410009792087,-0.132719172057374,-0.0601486129430774,0.193357489707924,0.209630400128041
progressive,0.203641023208836,-0.0473009044124364,-0.109292608046095,-0.0417269979933373,-0.0059291100347662,-0.154054296802584,-0.142565609156994,-0.0952058812158481,-0.131251883801923,0.188190043001218,0.0604079932453336,0.208359726018239,-0.15897888196247,-0.0450859723121936,-0.161526393244261,-0.125874809959659,0.0963325780349705,0.1755927580838,-0.0616990942857202,0.180702109455658,0.16536349727083,-0.115182502395055,0.115716439040261,-0.0610656101303903,0.200235291726133,-0.108980390855254,0.178466815364708,0.144805428134767,0.0168823527395418,0.0971538449934875
progressive,-0.0284151402246938,0.0564330503868269,0.0858295825307883,0.0064921110604087,-0.0798228911293721,-0.135267765781821,0.113552019857013,0.13760968950929,-0.0927166623820543,0.172400862180286,0.169673768506007,0.0238390800542838,-0.104180556160965,0.147500491939881,0.113019113492249,-0.0327454755366696,-0.122174248862007,-0.0386112143352416,0.148414799465282,0.096447760692634,-0.0242672141634574,-0.195471863612654,-0.0884933605973718,-0.0518509601585412,-0.0654585395122575,-0.156896075867432,-0.0752852725779196,-0.14795651506673,0.0076114405535826,-0.144936963585481
progressive,0.437425964692565,-0.21030643361569,-0.112962273040731,-0.213082895896463,-0.221357654853275,0.126574176411345,-0.234950438463962,0.170108504067115,-0.135037401573148,0.423177646455822,-0.0197507120041957,-0.117333869578238,-0.0151032446448901,-0.0126340642200812,0.128293589107603,-0.208255156514992,0.0807755229014079,-0.36696964936298,-0.333047098161748,0.161821453836064,-0.206187491048642,-0.23149249331152,0.230189618242235,0.178894033753395,-0.033915722715544,-0.254346069212378,0.0615519699923318,-0.423588721294245,0.227794185462857,-0.212464235093123
progressive,0.131562635598738,-0.132863702397689,-0.434618266411654,-0.227469845350019,-0.509956229627131,-0.0717135628469692,0.435361733153912,0.466804180795239,0.40887573046097,0.0305750697753601,-0.540438366059708,-0.414018042094922,-0.46187871362778,-0.549545833652369,0.486722893931568,-0.409743108326938,-0.526405431299589,0.437685066723468,0.420492398308752,0.552736545087893,-0.425758621066412,-0.400356840705931,-0.424984176543227,-0.377309371695933,0.246614113963163,0.620577885318935,0.42591350997105,-0.294103052124892,-0.128960502000835,0.547749122358579
stable,-0.059644182628845,-0.417529712091835,0.0013340348305235,-0.0570229678939865,-0.164781077131892,-0.0179474800992762,0.109986854565672,-0.39245714687807,-0.112611490755587,0.155637523614976,-0.104383176466252,0.0953596114773557,-0.0132809955640496,0.112339342517977,0.0948310441913544,0.312813561520304,-0.0022752200922822,-0.259869775897075,0.0678994408767482,-0.0681930207286691,-0.116155120269603,0.119700603071774,0.0238907376130412,0.248125108693758,-0.422445772765341,-0.0496869405712301,0.280793066531636,0.021486072471126,0.196660579660112,0.0863382324180785
stable,-0.116887622518197,-0.0164205480912281,-0.0401470290204664,-0.11215108980031,0.207133693861919,0.149008775464721,0.0270273871944085,0.034746541889729,0.152959030362807,-0.0808417747884721,-0.0267279687057537,0.141411944176351,0.203540063423897,-0.165678838963161,-0.206891481344674,0.0861351528663575,0.138140858045214,-0.224911362338717,0.0796684438004102,-0.0092332872151846,0.0129504582084847,-0.0887629761062182,-0.147693646696463,0.0850847538594099,0.0938865619923663,-0.209641019417321,0.0201608449027575,0.0745071263160982,0.0462358135306116,0.128481568915276
stable,0.0417880866788563,-0.0149792738785543,0.0670821414464954,-0.134765377350397,-0.221210774918126,0.147732988444833,-0.0104269851878005,-0.0181450380208919,0.0013865245484162,0.257428719625022,-0.204901078640514,0.0387505560207652,0.164106801464569,-0.0464525796683258,0.11107424113584,0.0942035233646483,-0.0391432710662704,0.166895879746932,0.0576890387254329,-0.0061632218366015,-0.0043519238716185,0.0266885939088207,0.0075978339416102,-0.0040794277175945,-0.135743157667777,0.0107395543056516,0.0980986154486384,-0.0565669957382753,-0.250015221317016,0.108028695884983
stable,0.075331037552796,-0.149715623391014,0.109444344377477,0.0146760376200596,-0.181030620171827,0.214779349932984,0.0861102051031384,-0.0468119363982111,0.0825127228206857,-0.0720365646840667,-0.110177120130983,-0.158053814708095,-0.0415629924505251,0.173289997220456,0.0135231531973273,-0.147045277482026,0.0738848013868973,0.0454658985643404,-0.0120201782169066,-0.207342943604156,0.0636766436082328,0.175873424094432,-0.0643707886795114,-0.0418635874466092,-0.036985256606545,-0.11351143089076,0.0564804718345077,0.0004382168015202,-0.0765382463724111,0.13731034556065
stable,0.0674598127508888,-0.0963177103172288,-0.0857206388464806,0.0809027695912409,0.0441939019962351,0.164229007456241,-0.0804283711765031,-0.114768277410759,0.0538050274440585,0.166885105908014,-0.0489576316976101,-0.135898040662248,0.0419218316097465,-0.0858992213104159,-0.122512942887095,0.0926505017411587,0.0696144200510451,-0.0879315439354733,1.19850920769123e-05,0.0272255372094432,0.0767883471770979,0.0694775787698604,-0.121048649338633,-0.0891811160641972,0.0287477816628901,0.0167147492176702,-0.0980475126871035,0.0659951518432827,0.070122661426935,-0.0384543745682916
stable,-0.0131155577661227,-0.0887580553285294,0.0581936515890139,-0.0784390596085949,0.14895209789092,0.093070227306375,0.041300370637665,0.0783046295283144,0.0511060337944047,0.212480422820621,-0.104111933413658,-0.214630709281744,-0.0249474867125763,-0.0413396289796938,-0.0529324389337902,0.0127286251677933,-0.0484587724125988,-0.0308692507136028,0.0790017625110077,0.0953701118435624,-0.0351133154162621,0.0848991387541073,-0.168461709409143,0.0618077983491201,0.140072574712042,-0.0351641728138903,0.0671171916968337,-0.0039775838355546,0.106462080525109,0.152094252311634
stable,-0.0300261178749594,-0.0901719691417249,0.142261556025128,0.0555983237878197,-0.058822524187017,-0.0900937967685331,0.133464157411313,-0.0694601168655657,-0.0991914483611986,0.19485625670454,-0.003719747646039,0.0633745616105701,-0.167320448242694,0.0710518539819378,0.0414806938523552,-0.0073741694277673,-0.0960931164160392,-0.0375353123109671,-0.108978574818816,-0.0144711822596729,-0.0967767146865031,0.0327972738386133,-0.0543964918824899,0.0152652058405197,0.0612521543454152,-0.0121835470239081,-0.0076438094492838,-0.132904514285054,0.11774085053069,-0.0681124634179358
stable,0.0200962089136673,0.016534629309162,-0.399630520345189,-0.190687271415097,0.025978292107384,0.0300051965034949,-0.103885781436222,0.109467358940089,-0.0466677238447656,0.25005103751379,-0.0021924508907427,0.0265817450060515,-0.071233514372009,0.0720606590176002,-0.0744341910730915,0.0675295754307366,0.027895569448523,0.0630132514336543,-0.165342260718663,0.131397148598951,0.0929111426261125,0.0421856363512252,0.124865378312529,0.0187861848446125,0.0168982057310931,-0.342076825704972,-0.0018528477546089,-0.255199759114051,-0.0365932101069649,-0.0568577070678907
stable,0.0548615260160953,0.048138484885758,-0.183645262244201,-0.0075470811147137,-0.0614692031318407,0.0890901505257923,-0.0735274341318841,-0.0305472669772662,0.0868772829613564,0.260114874553354,-0.268406913778763,0.0339075209658795,0.0825290464854711,0.0672586981797787,-0.0737600884129128,-0.145700000767602,0.0819727818945256,-0.087690398722942,-0.0632082127424699,0.048780744747416,0.0358395251791449,-0.0642731397554853,-0.111483857314378,0.0091693545861491,-0.118973177260761,0.0246177624459282,0.0873074440240002,-0.0304163610128584,0.0440010542453199,0.254772929608686
stable,0.117613628048639,-0.0328889172658807,-0.0947343812549824,-0.440544663521598,0.143471943435219,-0.431249969511675,-0.103194936058887,-0.3738135270401,0.111774653606508,0.311372249332414,-0.134653900400164,-0.0852013617576257,0.168853607846931,-0.186608856660758,0.108676422269867,-0.063990393376007,0.209011452479546,-0.011558786140545,0.0448051916375766,-0.372621899602931,-0.219974424901506,0.31661541005596,0.358084044869462,0.440663826265315,-0.364637995773895,-0.23355897768524,-0.334013170638636,0.373098550577799,-0.404438352175359,0.124644229927939
stable,0.0825264605690872,0.13041135206477,0.0687399082036012,0.0028474562310954,0.152741356063872,0.0522437488865697,0.0068244417879955,-0.210454382282555,0.0341779126832198,0.230847367010784,-0.233103154280145,0.0602168970687196,-0.088694617955638,-0.016792208129839,-0.155352302639072,0.0172158408503151,0.16007665239145,-0.157040155388939,0.0100258390170581,-0.061018340596944,0.146233990180098,-0.161829368754853,0.0733015912938589,0.243752383386114,-0.0966482732118418,0.118356015184878,-0.182861491329297,0.149423204330445,0.225983205149507,-0.0107388198570477
