group,ARNT,BARX2,BATF,E2F3,FOSL1,FOXD2,FOXK1,FOXP3,GLIS1,GTF2B,GTF2I,HES1,HNF4G,HOXA6,IRF3,JUN,JUND,KLF4,KMT2A,MAF,MEF2C,PAX6,PBX3,POU2F1,RELA,RFX5,SETDB1,STAT4,TBP,TCF21,ZEB1,ZNF384
progressive,0.0230510231832867,0.0319335190388902,-0.0718404860807584,0.014226949426181,-0.0548373185339625,0.0810922095988679,-0.147957469771555,-0.0243994052166156,0.101846075869222,-0.0254416554538162,0.126659109543202,0.0040825362430253,-0.257755961688295,-0.0291269214270565,-0.113927765838564,0.0676387687567976,0.112116680785133,0.0382921802393893,-0.0598499345850726,0.152923348143867,0.155292948458937,0.144599367549902,0.0511520525607221,-0.0515236171071681,0.0821671762112272,0.199929768595186,0.0571157803753762,-0.134172191410017,0.0504790299860276,-0.0297648907426524,-0.174107201059164,0.0640142617659949
progressive,-0.234815289417976,0.234518711608054,0.141048421374046,0.0670342485516623,-0.0930288720983102,-0.087865199531762,-0.0678151601493637,-0.037110543786746,0.11782415643946,-0.256122910676555,0.122427626476155,-0.107932098634621,0.171606664709028,0.081043143552627,-0.0713917199398179,0.126001120862889,0.130183097888068,-0.130434460993118,0.095927211315687,0.111764619635705,0.128387537659006,-0.0891932856935055,0.100931482888789,-0.0959072861915062,-0.14760225452767,-0.214773679895808,-0.115407851957072,0.0696911872260794,-0.0589967599974983,0.256398030660436,-0.110825073395488,0.120080293577471
progressive,-0.134945785619228,-0.0063858786183539,0.0710054100720559,0.173180978879861,-0.0976866428938973,0.0570022578101597,-0.0161584712845112,-0.17306690486219,0.0052617584972004,-0.0688100518246956,-0.0073392654415365,0.124186566018778,0.126299579445436,0.126650111526226,0.142171732500164,-0.176152946995867,-0.160896491453733,0.124469106963208,-0.126131112518677,0.0523335331134334,-0.170268691872437,-0.13403243802079,-0.0987344618509134,0.165745014933279,-0.112490579650701,0.168569668920505,-0.0225133761629677,-0.0786861421095343,-0.0894861563917996,-0.123537628395075,-0.166296498594866,-0.124565050011183
progressive,-0.215704482117976,0.255388905179501,-0.062646530718974,0.372059906918828,0.0126639916771098,-0.373076195324368,0.295056936492549,-0.0081426010556845,0.193197245480749,-0.0536706824490691,-0.0115985280261395,0.0541323833644896,0.13071053430942,-0.187466963409184,-0.0922268068237968,-0.107187009266652,-0.116792573873861,-0.104800643884286,0.0051210554198559,0.0378895266033514,-0.106008169355386,0.035544140592177,-0.0159751248693559,-0.0391913046281907,-0.158954882913411,-0.0393429283015981,-0.0569299084378065,0.0095099460744297,0.220516826274859,0.315856699330144,0.0072670084912333,0.11800009934496
progressive,-0.454075820533151,0.448455603974208,-0.0430464631414016,0.214667154265327,-0.0724976538245779,-0.149767782045577,0.365000097752585,0.573701659022385,-0.409585055929674,0.0352911922472176,0.225091243078562,-0.407073227299979,-0.359285687620028,-0.236959633353872,0.366130420635947,0.353634073203214,0.376146337296857,-0.379694295236302,-0.393823331278337,0.385471501084601,0.364120957732191,-0.400322687857673,0.353445686055987,-0.417591509686828,0.107945835361151,0.402489140050786,0.253474906594117,-0.46487668364084,0.38704139397816,-0.144116167628762,0.367354937092924,0.437780332298003
stable,-0.272758809816554,-0.0738975325687754,-0.027268420723434,-0.0853185490040487,-0.182301473542853,-0.116496327578844,0.139215431918878,-0.0556191793604966,-0.208719962851533,0.166950587148939,0.0514943723261154,0.0748826901708658,-0.0068405235703171,0.30591545431004,0.232493543226455,0.139298921479656,0.24980691467587,0.0558891033202268,-0.116773649347757,0.115963012789571,-0.0467378212101518,0.156361007605463,0.090158925944844,-0.0434922486009246,0.148222985164829,0.326390140204352,-0.0112487051265792,-0.0427615468120912,-0.112312818448219,-0.0301475135517782,0.114014602786607,-0.102841797260735
stable,0.180770044744269,-0.178894116887585,-0.0532026051902666,-0.0510138157717792,0.043662189826474,-0.0016692157533501,-0.0757702283635817,0.170012324771953,0.250769094655305,0.155788297337121,-0.0551077086291032,0.0051510421425434,-0.0575963237109852,-0.0126944820215732,-0.0184898699997349,-0.17137302426297,-2.17264973474358e-05,0.0846743677336279,-0.0717924170777997,0.0551561276803346,-0.289840165213732,0.105832872364695,-0.0966202167323152,0.0282823127327578,0.0013675278187543,0.0778615589225392,-0.0765169991152664,0.0062230895973726,-0.0548569227740071,-0.123274283678149,0.0877359415884152,-0.228157397730228
stable,-0.0944841693707715,-0.0825835526827764,0.0464892865907212,-0.0398422395846405,-0.372971413454447,-0.0492281902968412,0.172991400455843,-0.192924532983716,-0.0374076585125338,0.265129082148564,-0.0518469666474296,-0.0557951523992342,-0.150503559500331,0.387658984790775,-0.178100817311119,0.221739081330558,0.229763588680067,-0.136833066440838,-0.0172022373121221,-0.0160249892279127,0.0566760863397991,-0.121128416827676,-0.0035477612333659,0.0339800246346994,0.421911298098013,-0.259034620977929,0.0279095889351702,-0.146130923758982,-0.203023239338738,0.0129657459070418,0.235922117773653,-0.0950527721869543
stable,-0.0637628633697856,0.114955385396528,-0.0113792001270693,0.256580507096811,0.0610957690564095,-0.0614529907382011,0.121176594077729,0.122828744356015,0.338259968736453,0.364646099988785,-0.0202554348215857,-0.0501993009317612,0.0628637750152765,-0.179536479510417,0.19673863441669,-0.0995188227891101,0.233377993400445,0.183721765971407,0.0493496926075002,-0.11274447282544,-0.139674884410502,0.0809010562857376,0.316069985415165,0.0787649671750247,-0.0827378515549496,-0.0185055313128096,0.379679581374182,-0.0122336357713545,-0.0535989410588112,-0.0052967768965645,0.0198101145493523,-0.120544215154557
stable,0.0047138728078171,0.0356523058164766,0.122599936483169,0.0317287957632626,-0.135600793962955,-0.0430285903725129,0.0397284604375044,0.0580703415691419,-0.0421823184608666,0.0748696699715691,-0.158053883500178,0.0681468847881985,0.003682881882726,0.142532319079865,-0.126685773955708,-0.111337756027866,0.0877289157480036,0.0478186225316395,0.0046256098921187,0.0962060194852216,0.0467563019956491,0.227445200916251,0.0518324903482346,0.0911907213719471,0.0538013678569628,-0.0827801872388687,-0.0989509682321398,0.0422838021930515,0.0725314475402928,0.0586783129188366,0.0026941137764843,0.0476743573545565
