group,ATF2,BCL6,E2F4,E2F8,ELF1,ETS2,ETV1,FOXH1,FOXP2,HES1,HINFP,HNF4A,HNF4G,HSF1,HSF2,IRF2,MEF2A,MEIS1,MITF,MNT,MYC,MZF1,NFIC,PAX5,PAX6,PBX3,POU2F1,REST,RUNX1,RUNX2,RXRA,STAT4,TCF12,TCF21,TCF4,TFAP4,THAP1,ZEB1,ZNF76
progressive,0.131324144049839,-0.261016705179293,-0.0776213006157218,0.0657249131037857,0.340020509530074,0.0298643658074325,0.0423320358545174,0.0358399811250878,0.115874379169278,0.0005164394117744,0.0322774632359006,0.0198440701409246,-0.0748882849675705,-0.0970860391533077,-0.127473699762936,0.0614928520834042,-0.214683406448594,-0.0841659133383851,0.279981000216088,-0.127450848461531,0.135828135556951,-0.0416007942095271,-0.0616185342411369,-0.19799510103183,0.0157422615385571,0.178251576617092,-0.087938663200507,0.239511345426156,-0.174366855378081,-0.0595756278954452,-0.147244645739362,-0.0135188299117584,0.119473459140714,-0.0085486718559648,-0.0938982826071781,0.0693582700273313,-0.0541370181608298,0.0417790343604935,0.200810381365043
progressive,-0.203446014735193,0.131044276972879,0.114343865764113,0.1616871024312,-0.134344412185438,-0.155345886988638,0.136520474038907,0.330080349932564,0.18606980791976,-0.114554864170195,-0.0609537601853681,0.212498672328506,0.0899018404389691,-0.214895494080153,-0.144950648790079,-0.0994478288251495,-0.0489245983866887,0.0694252335569474,-0.183604655723438,-0.206422518940559,0.192885582055004,-0.0822375673753536,0.223571207901747,0.143994022564641,-0.182111898316711,0.0277406587696886,-0.0525168274781296,0.136230632812048,-0.0941773739771514,-0.19741791792372,-0.0382432733813071,0.277120500890063,-0.087350336581796,-0.063870944554149,-0.168395500153385,0.194863410530517,-0.133797768628045,-0.14471862563179,-0.153732988140725
progressive,-0.0726392171171495,0.218851068555363,-0.0377276128858618,0.161325106519596,-0.0774871339615948,-0.112491779779125,0.0176824033982661,0.108839897519116,-0.128470921880859,-0.171504156188648,-0.118995686791608,-0.109645007374261,0.0905324647552065,0.0655177840927523,-0.0373764559313346,0.167642930359595,-0.0336938099210362,-0.210124668168287,0.0742261764308783,-0.0777437486591339,0.0145985250155591,0.0140020083940866,0.143697477603554,-0.0060447017642549,0.0431577899796941,-0.0600613452608678,-0.0540549106006318,0.124102469339711,-0.0378821819726836,0.0092823988984108,0.218496159923971,0.0030621186568923,0.0157975609414875,0.0277616584627195,0.0302625262606666,-0.0984507539456462,-0.0624819271739123,0.0389071400920942,-0.153905790352149
progressive,0.171679578036478,-0.0461836859021801,-0.116848699176305,0.0680779320948449,0.20118536817218,0.0648539471849479,0.0848157076992447,-0.218266091939219,-0.0816230236137157,0.0479678328911522,0.0505276959622861,0.139481917005134,-0.0426221964512723,0.0730819812774921,0.0001088724325841,-0.13291827022572,0.234150579853241,-0.292210887244941,-0.047294184714538,0.0685556098928077,0.16661020539428,-0.004258273019446,-0.165544616460363,-0.179351001817436,0.0556977756046241,-0.0574683135395232,-0.115950501607486,0.050901944949294,0.0413783289089989,-0.070557501746948,0.19609694285428,-0.0954892888087096,0.0095426687159973,-0.103292720414176,0.0760637250248895,-0.215391859718999,-0.158046027666133,-0.0238158446277744,0.145825097108566
progressive,0.123806680004744,-0.0270711621204404,0.137049683089829,-0.191838758644168,-0.128703511378066,-0.1430860286821,0.0173390947369829,0.0356637152849488,0.0247305383193557,-0.328180095057353,0.136372134094778,0.0439790893151182,-0.0740684242316942,-0.21567616419732,0.0493686835939317,0.255251185044608,0.138527971806304,-0.0689868067688129,-0.120757709527016,-0.208531102067693,-0.0351709523794573,-0.290822507284777,-0.146134999159829,-0.311241370181082,-0.142285288960677,0.148106050781795,-0.110532879238067,0.164767596523727,0.0889437044412194,0.106991145854846,0.221404532973659,-0.014690494119966,-0.0751463430874569,0.0386202927178979,0.0538035497433554,0.280320497861489,0.129196274283558,0.405328287448369,0.13141370735827
stable,0.225363106554662,0.111987327831085,-0.268244823898658,0.267670557740316,-0.11162546794924,0.288976922324774,0.136156434462013,0.158225073781922,-0.0257249908646808,0.105104769867129,0.0907095137459115,-0.0468668479441688,0.0808530791473603,-0.057663797337342,-0.0836342281140563,0.361198925988343,-0.0722823136438759,-0.3075914231403,-0.275162727852637,0.0178982372152861,0.424501423338981,0.220133315758395,0.0806255245894242,0.11133278993839,0.292481885436975,0.129669241924517,-0.0619638328659899,0.0988298892243146,-0.271464848308905,0.0074524825587701,-0.0221238998730698,-0.0854199320693245,0.119748108591223,0.0281029407142041,0.114807362105898,-0.0077934840593189,-0.0175366604788891,0.102480153141966,-0.0335800118679127
stable,0.586144132853981,0.189928344705476,-0.561325994401298,-0.290826474800942,-0.529882272905559,-0.52311286564103,0.554899227193811,-0.525785095503889,0.10188254041808,-0.51771401860467,0.0799173185602767,-0.537932803487425,0.603126872753559,0.526877676144335,-0.549797093152173,-0.512316380175213,-0.504325675635053,-0.588203599016944,0.436199526021884,0.450724563783911,0.510131823197774,0.511012897630168,0.50636338687376,-0.636368397017729,-0.0098108665363002,0.333448601543892,0.54920850159034,0.226775143361735,-0.537010032116872,-0.539644190862282,0.132195610155924,-0.538530459601032,-0.0547444539815196,0.507690437253416,0.581773810292199,-0.464499660962535,-0.0842314409010619,-0.505786881380959,0.592190793190428
stable,0.0667737030385398,-0.107685642556843,-0.312484358295498,0.257191493591111,0.0990491201736221,0.0438279609133764,-0.145020277139661,-0.130966010087999,-0.0342194313984642,-0.188625154449043,0.140837459564762,0.0164444485230338,-0.275842876339378,0.133650980607506,-0.0787883485679656,0.0172013393223013,0.0494528546426699,-0.249550880154295,0.0527991087025896,0.171129026078606,0.119405499038133,-0.193134630158363,-0.013934757978094,-0.155329926552842,-0.105407002887469,0.0813060063844766,0.115174877833806,0.243774608265148,-0.0246985418708356,-0.208814220610558,-0.0901735796432637,-0.0895760342754209,0.170953746104039,0.0859588929820792,0.0634513507933338,-0.0619216346516563,-0.0050114138183082,0.0852577730838103,0.236882918356027
stable,0.0993562453463607,0.204686134432599,-0.339537300288799,0.269355389782974,0.213634595131363,0.0418791322077232,0.344907097002721,0.0151129825243809,-0.221955198982064,-0.225783565116805,-0.299311244333048,-0.194639224372503,-0.0198081032371344,0.202953825767679,-0.32133305316832,-0.362095728648132,0.0401768358204349,0.313453029553256,-0.245772942510837,0.278541547720583,0.25401431394859,-0.158898203186081,-0.233680395607343,0.0138752761948363,0.0248177526194714,0.250858222832807,0.275507906697539,-0.0355993632359989,-0.0778410437575169,0.0461240687559963,0.170442125654462,0.123740620676826,0.283440751921235,0.165835841283499,-0.262752688703929,-0.124296448058571,0.327127823733511,-0.257098375598057,0.265300130829335
stable,-0.126452079538047,-0.0742606381231936,0.0839459807171356,0.102126723372391,0.0811072134467843,-0.119067523230931,0.189547585830747,-0.176750296017227,-0.15779286437814,-0.060819082611781,0.198396311984084,-0.0153170663280232,0.245519967069627,0.150088588713879,-0.185815097993048,-0.10851327805136,-0.140785488575981,-0.0271423109346435,-0.20390982015754,0.0510293678818784,0.303429334859649,-0.088235894085504,-0.147505606036761,-0.150513226657959,0.164900096816145,0.128434193832093,0.146653051442758,-0.0887353502753886,0.0937405224306385,-0.158529252602668,-0.196769390822887,0.0083798256803934,-0.105555020168111,0.0571514858271984,-0.0170992251033079,-0.0839541774817399,0.0127662787207673,-0.119404045955516,0.174874466437549
