group,AR,ARID3A,BATF,CTCF,DUX4,E2F4,E2F7,E2F8,EHF,ELK1,ETV5,GATA3,HIF1A,HOXA4,HOXB13,HSF1,JUN,JUND,MECOM,MYOD1,NKX2-1,PAX6,RFX2,RUNX3,SIX5,SMAD3,SOX17,STAT2,STAT5B,TBP,TFAP4,ZBTB33,ZNF143
progressive,-0.108076197828399,0.0334429419407551,-0.127321596805092,0.0840863397693191,0.0204135966057399,0.0207599946757027,0.0331873240546446,0.0679250780913986,0.141058071993273,0.0375638844972093,-0.027116996497572,0.111148390366138,-0.0613650153319648,0.110491428509312,-0.0557031986022278,0.0557366439331207,-0.150862331849324,0.109638572571542,0.171758496800805,-0.221921715235834,-0.0306263672891264,-0.0229864981322913,0.129956611089016,0.0972088542403933,0.126772137797565,-0.0623492636411006,0.0829706990888181,0.0076088127781487,-0.0378433919053862,0.0445539586538383,0.11193674459433,0.136447394234457,-0.234896114670097
progressive,-0.0089443804150319,-0.124721815572545,0.0082100438778901,-0.0239409850372759,-0.0561581849371076,-0.0052614002441364,0.0438116475543948,0.0394717993162099,-0.0373575556598238,-0.0233648132927493,0.0027533585326677,0.276902168891597,0.0587872711327205,-0.0736353945210809,-0.0211852056149253,-0.114195787231361,0.0591019867914955,-0.008983114649958,-0.320876016054745,-0.206459927862241,-0.0743309968232965,-0.0427504909100636,0.0204395715925968,0.0108706016393806,0.118359717485923,-0.0386737126840855,0.137048985837794,0.119666997914681,0.0919292508914141,0.124266688312162,0.0960423424626355,-0.115751612334229,0.0125014743224174
progressive,-0.0398431376173232,-0.115714208715069,0.0411345891468683,-0.103713492065009,0.137012163035254,-0.0432685554440732,-0.0702654282871776,0.102658642342404,0.0645157010428963,0.009270695800757,-0.0385668528702742,-0.0653218155325653,0.139328889061537,-0.0746979204716705,-0.129487922238926,-0.130193177624996,-0.0905123245803811,0.0629542807849201,-0.023968066378628,-0.158585394457744,-0.0005952962129729,-0.0664411240807794,0.0984073932087395,-0.0218045248555556,0.0063867321091186,-0.0459197090243961,0.106634614373763,0.078971161439954,-0.0293105655128884,-0.0422607227472057,0.0070191869392071,-0.0190911874669987,0.0150765401402741
progressive,0.419232086782784,0.140906434186741,-0.017857140174645,0.0730575846959577,0.170049397394066,0.227493201233802,0.270400036690158,-0.273682934203517,0.199008750269484,0.0591584206234161,0.197419761607635,-0.252569126562928,0.0306035626897201,0.0448575226667754,-0.402197741779696,-0.113346937526019,0.0684134857746198,0.221920006422434,-0.363174333869631,0.0844994074843193,-0.199225493292864,-0.104889818027768,0.272248564768538,0.391066537973886,0.0759152793354254,0.357316750123128,0.223308818406639,0.145594710030041,0.281569895302686,-0.239542456699152,-0.28560103943179,0.006061902010581,-0.0043265772947303
progressive,0.286181292877377,0.235979587705816,0.122252202782569,-0.0330889226539597,0.0428135296934823,-0.0454025484507577,-0.501511877323947,-0.359115845673796,-0.187988020497783,-0.0168917687212485,0.206426885793501,0.104539525674867,0.119284303231546,-0.269826271947271,0.042024194706508,-0.432113545269173,0.0854060455906117,0.0849640179979062,0.0251639993847385,-0.0407296853278703,-0.0003473073942686,-0.0804805952718925,-0.430219141300435,-0.118936995837277,0.0610945279918054,-0.362210038822735,0.134565828579367,-0.36877730591436,0.159193080172963,0.0714821764203863,0.251261113053637,0.127461813696599,-0.372566113851837
stable,-0.137967778737779,-0.0728264994618093,-0.130948745050792,0.201172817272062,0.0630315070570755,-0.155692758393406,-0.135891196952721,0.187819760822104,0.151973151057524,0.215035272574467,-0.130152670018328,-0.147446966641457,0.158084500686026,0.12417398304925,-0.165200133396864,-0.0925581628395934,0.163793800223459,0.205370713620914,0.0742256000929163,-0.211032109950108,-0.135293670067744,0.186428239499022,-0.148519017654373,0.0610846156537849,0.166334305012812,0.115245855423178,0.0636961083411789,0.0727737415333977,-0.109877624746885,-0.0917056640696072,0.066503127360442,0.0897073027248897,0.0735120057654335
stable,-0.0542236941934174,0.125253309521972,0.0362486267610283,-0.126300895153587,-0.050268835678923,-0.176150951157174,0.0623211619887043,-0.12598458284562,-0.0653958194530626,-0.0454916924523708,0.134248162335835,-0.281938006652057,-0.235240890635726,0.0876019617815506,0.160322606893338,0.193747971283865,-0.127848725199813,0.0197908400976374,0.0838965890310861,0.0159607244651579,0.102185422998339,0.0107457082650022,0.162166383062712,0.0816722197829114,-0.0322816758242977,0.0393029180405678,-0.0248117410987391,-0.0700043052115843,0.208754030835643,-0.000489424878926,-0.115829493940362,-0.0705631024075492,-0.154266212682857
stable,-0.210591511077131,-0.389062727231648,-0.0291877830873743,0.408709748673246,0.203692433646569,0.148984526902119,-0.330622532696894,-0.13682631667613,-0.270154623366976,0.395687134132187,-0.278903687602687,-0.358558141309167,0.406746662238087,0.277821162572599,-0.231442235723827,-0.422952223509405,0.382026314536076,-0.105190734453557,-0.0063174221905138,-0.353848349573784,-0.353945292113792,0.0408774377033252,0.187026395310214,0.331091088306933,0.330671003966898,-0.256776552845887,0.407489888378147,0.131672204965711,-0.350673481388525,-0.453028646546851,0.31274471261044,0.159470478312972,-0.211480151027203
stable,-0.0201857862257413,-0.0180070799720495,0.193554274113471,0.0528008732729336,-0.0663741161863843,0.0325350232316335,0.0716898683042448,-0.0143641763641228,-0.0188125704800959,0.0745673133119045,-0.0415361370414292,-0.0014714758829221,-0.0763760276906654,0.0881162944630647,-0.141019067137619,-0.136564607581073,0.125826351591273,0.141873081170246,0.15804597191313,0.148192057158821,-0.0486727344191958,-0.0864301019838711,0.0014059691247376,0.0705944497368262,0.046232001132766,-0.0649608685329595,-0.0783266733788259,0.0536197077502398,0.0555388131474227,0.166615226354154,0.055486650358498,0.134003778571305,-0.154058551280677
stable,-0.0234895438603389,-0.052304490295408,-0.0108024071715536,-0.0026560635510191,0.266276427318448,-0.0260889201739502,-0.0690073121216535,0.057798743316605,0.0665946160864456,0.160354483098135,0.199695474309737,-0.0488182736454622,-0.0101793320663711,0.0503577924220699,-0.172074254503088,0.0135915646039052,0.0986471305369507,0.0488246206780267,0.0420426952563293,-0.0342239263470032,-0.0167062133703639,-0.0729080723641297,-0.0293617602482177,-0.0668642922944896,-0.0734272208673981,0.0358948432328842,-0.0947567387293507,0.134087313055447,-0.0015043920696669,0.0581185174763409,-0.0891166008604318,0.0128414034955428,-0.0372671104338238
