group,AR,ARNTL,ATF3,BHLHE40,CDX2,CTCF,CTCFL,DUX4,E2F1,E2F2,E2F7,EBF1,EPAS1,ESR1,ESR2,ETV6,ETV7,GATA2,GMEB2,GTF2B,HEY1,HNF4A,HNF4G,HOXB13,IRF4,JUNB,MAFK,MECOM,MYC,NANOG,NFYA,NR2C2,PBX1,SMAD3,SP4,TAL1,TFAP4,THAP1,USF2
progressive,0.13078971587245,0.142539069973524,-0.0773942968309357,-0.165204162196879,0.0719896865684397,0.0092670309642283,0.219993572402927,0.100536402642155,0.14790199943708,-0.0216045474503375,0.0397959005875134,-0.168628934509746,0.171157569645412,-0.105125921725388,0.0003473399911629,0.138053752887639,-0.0218175826449175,0.070366451009738,0.079221305184453,-0.0855081590245029,-0.0534116282411023,-0.0181334631386488,-0.0053698762633797,0.169314352092307,-0.0045362602845885,-0.0907900424901214,0.13952647445017,-0.13023397188659,0.0686992190521557,-0.0838270334672741,0.165634863785921,0.169608433284825,0.0757316960732355,-0.174047438371888,0.0220560894388494,-0.034006900734797,0.0891598601315964,0.0698709126223455,-0.117530590609789
progressive,0.183723091543758,-0.0017572756310201,-0.0235370496986898,-0.167599595713059,-0.161823744026605,0.035767597275312,0.167663166407721,0.110896806456304,-0.239246795773326,-0.121417756422903,0.160690066638462,-0.154836265171649,-0.0431819079372863,-0.166636953765317,-0.165178611758006,0.199627873913061,0.208981090762233,0.103004958790379,-0.262497020552052,0.196727839366089,-0.149409295511853,-0.100814040206484,-0.172574002570378,0.14652591043253,0.2265697397461,-0.217768225711318,0.202633859617803,-0.268312982319661,-0.122079194364984,0.12849075299806,0.163445553534476,0.0628275229698669,-0.246375795103304,0.168279953504742,0.0546337145042962,0.120258348039301,-0.105861856080259,0.205168362670467,-0.120433167449622
progressive,-0.0384350338782134,0.0368997158454892,0.0785397449876884,-0.0621947220375355,0.0460814309635117,0.0290215868840619,0.132176993801529,0.195638315474714,-0.0036880845171537,0.219640303087579,-0.0702011715818355,0.107620963201438,0.109673337700444,0.13984603569557,-0.0062680830598535,0.172872734419177,0.108049704913625,-0.143806612744589,-0.218175938788913,0.127004164657842,0.165628660102533,0.0533338083766948,0.0036292080144238,-0.168423784328284,0.0405523234956134,-0.0762880961717511,0.158533286696629,0.0040504014570296,0.0037726251364581,0.286062056090333,0.100225923493179,-0.0728996779569531,0.211709336239086,-0.192869610192496,-0.0343801034594353,-0.0459259366101482,-0.223314045892529,-0.202384203999029,-0.116678131871378
progressive,0.403090626245946,0.0204164984248126,-0.251003556664643,-0.0049265660836432,-0.425580461880342,0.208384047911107,-0.0067417605181211,0.218260399269806,0.184091310355333,-0.0629636179345355,0.258685011517543,-0.202629785945377,0.0839250844401281,0.292492154212951,-0.0841641055281896,0.402575706530522,-0.0427123855191825,-0.123131372056147,-0.0657444575647815,-0.012872992885594,-0.140261671978812,0.427723456664162,-0.146590950390678,-0.424998616260261,-0.143807379090855,0.405577811396573,-0.0995529660949787,-0.345561664936533,0.0229788044888311,0.03388089777401,-0.142990609887079,0.192876359717682,0.168483916222316,0.273624512438777,0.166925498728156,-0.139786361472267,-0.282567998636641,-0.459129461800644,0.0797633858382815
progressive,0.0202906194644864,-0.133302844567606,-0.22984641987566,0.120935820759236,-0.0246097559201734,0.0608718583934593,-0.45646125564059,-0.415413922849493,-0.0783659146851987,-0.0503692100335873,0.0827782699133106,0.411591953180072,-0.462644767544775,0.482842168236837,-0.356499658676957,-0.0789873731680314,-0.502480256294349,-0.0628294526143822,-0.421846018146811,-0.431230041237584,-0.442820241942413,0.340559248592299,0.233885900014072,-0.15620358965999,0.0992469197083762,0.124043113173399,0.0383129154666336,0.101080222232733,0.0110308880702798,0.430422145209902,-0.443441700425246,-0.424083268685009,0.417775465084257,-0.45702056827514,-0.166768383868145,0.0087625646079405,0.508073382639843,-0.0377225299079426,0.454752244812801
stable,-0.0778256126526903,-0.0652319788908666,-0.0510045301300688,0.0046737434248922,-0.0815772101650505,0.249904891552319,0.0071634369110438,0.245567509138431,-0.037446549828159,-0.169306477575338,-0.0992359240102315,0.116783873169712,-0.0752125230004814,-0.299635364640988,-0.0523586343935757,0.0614334439458185,-0.0703520346216841,-0.0238778040600363,-0.0387186451623824,0.114881112901483,0.0243157432255738,-0.0250057378400409,0.0309736338432636,-0.146508712932288,0.0624005655838618,0.0491710037712177,-0.0450676865160555,-0.0219133217855208,0.266956911568262,-0.0759628520722568,-0.104879468478091,-0.326562235811594,0.0669538793267199,0.0823619408821904,0.21519367922603,-0.0417755112551419,0.0057008645946283,-0.002450985654302,0.179041281976201
stable,0.0409883109936037,0.186490062164424,0.0320940962331124,0.155182475096953,0.1042152144796,-0.0538224050010983,-0.0830650235598633,0.168685132451155,0.140531526583279,-0.0062407393935781,-0.102870754367391,0.0308089145894878,0.204025488737018,0.101352125558828,-0.0147230604651474,0.091720902209554,-0.0905334994831808,0.0398742424551692,0.102503472309465,-0.027718489686107,0.0070730824266817,-0.002169469726518,0.0429768897232064,0.0222318701918312,-0.0751039863408912,0.0047954447729541,0.0735486904383593,-0.0065132981254167,0.015239455371882,-0.0305632450598933,0.218457656923342,0.0250980147037663,-0.0471685496821324,0.044399572969216,-0.0887802012732145,0.0199627881933631,-0.0986980390736826,0.0069728590364989,0.133028216920691
stable,-0.10412706977073,-0.0559284084129709,-0.112891191691214,-0.0693913184811254,0.0405410799908216,-0.022491639512313,0.0141043828528195,0.0513659332320418,0.0010664485045053,0.113123725575655,-0.0231812227558278,-0.0873285012223177,0.0399797913042398,0.0234378118696937,0.0021810074678606,0.214821217174466,-0.147819384816218,0.096533635682259,-0.112217645267316,0.0457771015956488,0.086229979078579,-0.244826106677167,0.124606088421157,0.0071925135980551,-0.0941601863789989,0.10512135258696,-0.0928291303508192,-0.0101593252271303,0.0123002406459494,0.0619021237201627,0.087464814189059,0.0622629521615367,0.0286417598352877,0.0468355316903459,0.0316807371526377,0.0713317736547368,0.0621827680634536,-0.114935886192333,0.112851099642172
stable,-0.161147701694828,-0.010615699794166,0.0442842921571829,0.145419484750161,0.0896426120478987,-0.0612667509483284,-0.051975443460715,-0.199542983677942,0.0810104769868343,0.0369668734771436,-0.112016980339146,-0.0198767700145066,-0.0720130757371133,-0.117130706980337,-0.0282295127259695,-0.0076246293155317,0.0141183848350575,0.167514460691807,0.0632055645258661,0.0745759865111634,0.078607218983985,-0.201614841231481,0.155359079248106,-0.0138607633178925,-0.0754867330014228,0.165204333472158,-0.0447366416755853,0.1170557185575,0.156620578038731,0.103998057058376,0.261368519325474,0.0371253167576536,0.0284544779944798,0.0232379446445609,-0.129206262038438,0.203450848100291,0.0532018670213034,-0.0699775029043024,-0.0787426819413676
stable,0.0591930955069539,-0.0547536976816311,0.0246397785821551,-0.066200841980983,-0.192512604693598,-0.0544185188711688,0.0761626723209979,0.14499642172612,0.119439233831226,-0.0190493675716419,0.0733683910644948,-0.0373036963655099,0.0261781906323815,-0.0553504388893383,0.0967777634935325,0.185658976699218,-0.126096274115733,0.0288314777415358,-0.0429374084301253,-0.0989819581333537,-0.0359075261984496,-0.0333910279048156,0.0607161188154343,-0.0655756801241051,0.111554421502548,-0.0332571966853065,-0.122299922360669,-0.0210649230408706,-0.0613640171916485,0.0111756924404443,0.0914515952016494,0.0143563558883545,-0.0319972145720767,0.100951809501721,-0.0399093846638582,-0.10536403441369,0.0915498428441481,0.0419131559614795,-0.0336518509030576
