group,BATF,BCL11A,E2F2,ELF1,ETV1,ETV6,FOSL1,FOXP3,GLIS1,GRHL2,GTF2I,KLF5,MEF2A,MYC,NANOG,NFYA,NR2C2,NR2F2,PBX1,RXRA,SPDEF,SRF,STAT3,TCF21,TCF4,TCF7L2,TFAP4,ZBTB7A,ZBTB7B,ZEB1,ZNF76
progressive,-0.15058631545304,-0.0797278017844961,-0.0821569698672092,0.240138861758115,-0.0649341927226347,0.0091149067289668,-0.0529823910133507,0.06179764303444,0.200147239187099,-0.0707651785955982,-0.211502187666758,-0.0043351685197053,-0.0937059570511494,0.0919596087126166,-0.168870165005837,-0.0030186527539478,-0.0239134281630885,-0.173367441810132,0.0426320226609211,-0.034600294015348,-0.018708769753312,-0.129480308036707,0.156761167384223,-0.154705339593292,-0.0506490141897133,0.0658356130323978,-0.0111216107972951,-0.0673240618272655,-0.0417969193766719,0.0854163288619112,0.003193041969188
progressive,0.141708921558008,-0.205884555742235,0.128734271977769,-0.190443716954962,-0.053281756313415,-0.0730539153295515,-0.140533357958831,-0.0394694874951592,0.0900629768784918,0.178101506107751,0.0940531342284703,0.0213709576961945,-0.158248884148481,0.0663360642073554,-0.137150695829508,-0.106301203432215,-0.0631996186840209,-0.112917671246064,0.0447253269406239,0.0127332607508388,0.0920302958381001,-0.0394694874951592,0.0451960351579534,0.161205092679197,0.0274957969274984,-0.158347853568535,0.128456674823959,-0.0817270159698859,-0.122587707751819,-0.0881600282733902,-0.101060651945946
progressive,0.176275750489294,-0.14909121324092,0.0645182031768486,0.0565126635669962,-0.230515444074302,0.0300240271989279,0.139096729200888,0.0560908358606724,-0.0400085588611345,-0.0544050561704271,0.142600731763218,0.335330825069244,-0.0080430524185816,0.0588208496551386,0.119882515456212,-0.0570554509422841,0.012086014518575,-0.0383947425182475,-0.0627903172727234,0.0495942298427698,0.165649673241063,-0.0875671446546935,-0.116166450689431,0.0083538728337676,-0.159311539700854,0.152795794494824,0.015124552025652,0.0481733365162052,0.0216357038265312,-0.0834392045594153,0.140994571095582
progressive,-0.158524107921922,-0.141700910471298,0.0368570551544755,0.0438426902477675,0.031826514852255,0.134299972955909,-0.195675048179078,-0.177180982844201,-0.0156076445141851,0.105947649129707,-0.314468097806227,0.200511044821778,0.119950653388412,-0.0441765878761651,0.160450228125406,-0.11193021159554,0.108432564950963,0.0870603572489893,0.0448002313804447,0.0159994913177591,-0.149239822213299,-0.123296528383717,0.149755845820822,-0.146612792938634,0.0464076311204576,0.10394840258612,-0.150793412004933,-0.154582184267659,0.100054769911171,0.215986234078417,0.130433935126281
progressive,0.0553810202413786,-0.401777377708087,-0.172800707296215,0.176377950230467,0.305158695863529,-0.378757156973782,0.174258102565725,0.0858207078022798,-0.0512075701514182,-0.163427005903685,0.0572690095677892,-0.17518553591905,-0.290684111027714,0.20184924482713,0.180948871757566,-0.0674707764543589,-0.0350106090880007,0.458947019416592,0.325827210594761,0.148356213912162,0.0759170444935644,0.145110197175526,-0.139379983956771,-0.238416617043925,0.314797378214152,-0.0024510738623576,0.311054522181092,0.430825915239002,0.196417135186229,0.426089380613094,0.0663114847627033
stable,-0.202637622200736,-0.300029927942459,0.0406812059066409,-0.111318115280541,0.241350267700279,-0.157266508032027,-0.242557952693371,-0.356999640494658,-0.108870949477495,-0.183937688452484,0.100815133009406,-0.153664077366391,-0.0837127242218795,0.34875567771439,-0.238199903791716,-0.139638381445824,-0.0372822886888388,0.226892067790725,0.0851960066609694,-0.151438066887307,-0.181943398203124,0.156521707450711,0.140990436634399,0.0851414634393568,-0.0310225062002638,-0.329830140260802,0.130046154711107,0.210779676607723,0.232787083006681,0.196088290524583,-0.118161191776704
stable,-0.0617334461500594,-0.0320383477436905,-0.0763098161912281,-0.0348422749345568,-0.0106361041448919,-0.0935457023514428,-0.0502785769690092,-0.013239424100243,-0.0915638074155543,-0.0438317007944375,-0.0057888583043311,-0.0069212763471582,-0.0908326038437576,0.0232946167390337,-0.0968808793223544,-0.0757086479284463,0.0256345988575357,0.0293670696368945,0.0571652207966811,-0.110769173080143,-0.0100911320458048,-0.0198117614774822,0.0168947885154623,-0.0699446204871431,0.0108171080674904,-0.0251229523904072,0.0147991943646564,0.110117036203778,0.0710587421045813,-0.110047771164805,0.0669322447355948
stable,-0.0583411204887128,0.0170372391021584,0.229774259155546,0.310521633750833,0.0016156002596874,0.154828358220046,-0.0757129030789882,-0.018171423122848,-0.135294282352916,-0.0428623644653438,0.0229529471237411,-0.0405287196457953,0.319774617056315,0.0984047430900526,0.139292485015778,0.348398484283505,0.0331361245181346,-0.0842152034355251,0.140092125548351,-0.318265091561153,-0.251641979842224,0.0333319548526422,-0.0642894668993802,0.358402150537933,-0.171522894236816,0.0514707395864056,0.0858144845006703,0.115197194274077,0.087389286774002,-0.0809350453325234,0.36676573774086
stable,0.0348918602269416,0.138207764391741,-0.0129260727084046,0.136705413299594,0.0591721464247759,0.0533895580489972,-0.0469570077153336,-0.0899861965444623,0.34498224729746,-0.150353394974355,-0.0382087392615511,-0.0231071841275055,-0.147306012361307,-0.0317749694870659,-0.136701754977129,0.0145698789358508,-0.0646754828524202,-0.0561820775303412,0.167365813875765,-0.0465887365872262,-0.0906178668900239,0.0805989411001888,0.0334626755840878,-0.0542748720854407,0.145393929153121,0.0941835118522291,0.158376096139317,0.0293531600154724,0.220400514645692,0.0237047101300639,-0.0231632784052967
stable,0.0083433868830929,-0.0004443128933865,0.0923759876178033,0.117356699209963,0.146937824654408,0.081574817441874,-0.0524438338562909,0.0112092949086541,0.0175663646564717,-0.0499559828165424,-0.015712025014509,0.0268981497853971,0.0097555023442978,0.0485166169417385,-0.0573129144422947,-0.0203342974873285,-0.0770825794738754,0.158581037468017,-0.0662349718729895,0.0083803522391514,-0.0784072604529445,0.0253462363021996,-0.0185383932242599,0.0563409344492188,-0.134306990790364,-0.0116111535034925,-0.102376355086794,-0.0612820999082723,0.0023699116382898,-0.0692105615989188,-0.0136818449140289
