group,AR,ARNT,ASCL2,BCL6,CLOCK,DUX4,E2F7,E2F8,ESR1,ETV5,ETV6,FOSL1,FOXP1,GATA4,GTF2I,HNF1B,HOXA6,HOXB13,JUNB,MAX,MECOM,MEIS1,NANOG,NFYB,NR2C2,NR2F2,NRF1,RFX2,RFX5,SETDB1,SMAD3,SPIB,STAT2,TCF12,TCF3,TFAP4,USF2,ZEB1,ZFP42,ZNF263
progressive,0.0708298902560578,0.142102281040372,-0.220317115345721,-0.0592881925397792,0.0390111217009298,0.139339518674834,0.0555578901590908,-0.0856685608201729,-0.0225996254249818,-0.194193534936647,0.188477712050934,0.091602194846738,-0.0648114245220031,-0.0992760252512642,-0.0359159107519874,-0.0514515769668272,0.15460922602295,0.185178446454246,0.242744784606873,-0.0780061941599021,0.112573968587461,-0.157342182653424,0.083160293577104,0.0366954453613506,0.0892750547629036,-0.0457907800535392,-0.0628511242543396,0.0250689159375825,0.0953347899762775,-0.0735995308681485,-0.0290789336781012,-0.0989114781839443,0.0932025335447838,0.128992343109962,0.0926866650532934,0.186402774340717,-0.0451006626493676,0.139353275167941,-0.0348085130569213,-0.0811954078117383
progressive,0.0589775784354499,-0.0377959201890198,-0.0346826767829711,-0.0317314245028421,-0.0473164777105184,0.0232430895046462,-0.0771590103404263,-0.0299043152918866,0.0454735461105196,-0.0342034844290875,0.0506022605018492,0.0016387474366302,-0.0323613062761859,0.016914887334413,-0.0477158046720881,-0.0844682006313457,-0.0077650257847866,0.0212328926490465,-0.0369882249007129,0.0456513596254827,0.0218220882791361,0.0719142650961123,0.0247198458153567,-0.0242383931201812,0.018308011017323,0.0280817267635148,-0.0147426993528935,-0.0502104680112525,0.0082419577973783,0.011875079700565,0.0615619019791931,0.063294830302986,0.0178642306770126,0.0705731292629161,0.0320448584953194,-0.0225868370828968,0.0805773998208821,0.030278025052148,-0.0340851932348112,-0.0300067840971195
progressive,0.0613492470203893,0.0282086000225838,-0.115380555233608,-0.014386829933366,0.0371005803663168,0.0488870816427238,0.049133872093963,0.0631121434449422,0.0623010455594672,0.0668328104613375,0.118935692069294,0.151643703367518,0.015401078495166,0.0346424571827853,0.0643084752055223,-0.106943782886825,-0.0657410636785691,-0.0220343242821308,-0.0541998480335767,-0.0447917144899959,0.0390809232555287,0.0105841502365284,0.0610490354653758,-0.0189509484614659,-0.106170305496965,0.0723667853664108,0.0660894294679708,0.0522593828697175,-0.0053421103774331,-0.0088152345326769,-0.0538123569287347,-0.0380704367432902,0.0471565388444004,0.0829125626974112,-0.0275163829032544,-0.0406196015262118,-0.0363444084044407,0.0615606742057497,0.03397431718065,-0.0671781666110899
progressive,0.392954224988221,-0.28716284182939,-0.0263503679694563,-0.377708148570463,-0.198917466315785,0.225450519990328,0.276622967306839,-0.203307376542485,0.270642055454501,0.141809096910127,0.465858091253053,-0.189042894958026,0.006636671734029,-0.356502973518883,-0.202395311343211,0.0354192135682158,-0.29747640420982,-0.350861529879727,0.396625662329991,0.0219618210689141,-0.369867659839484,-0.270121264862389,0.0065289689675975,0.0670606503543867,0.190088566120721,0.129057907360338,0.11551598863928,0.381964452833741,0.186697973967366,0.0152324431561846,0.179383729133129,-0.0868929559655043,0.0470402057335534,-0.0605412246698906,0.136777060063311,-0.250661147292231,0.150751153176252,0.0287675452464558,0.0424185300601026,-0.15245122089448
progressive,0.233822800111134,-0.28677488015743,-0.201156152479076,-0.0717554717362044,0.173429640594776,-0.0439363323066346,-0.226813982519001,-0.35593678062606,0.172410737596801,0.366465444938472,-0.0042299912340189,0.122083104666503,-0.0217983489869881,0.241078624490656,0.337349519875116,0.147555679615887,-0.133383665189502,-0.0794126821452314,-0.186829758810573,-0.0734227675510731,-0.0307523450298019,-0.0977838119572114,0.423740143764057,-0.192325659829956,-0.0360321151102197,0.389622331256094,0.323362760539272,-0.319379776092641,0.224714424826203,-0.116834210434508,-0.413458486239033,0.0090774994365077,-0.406171786011088,0.0955298750222962,0.040786995767438,0.379742059760576,0.18114860270065,0.365261286849956,-0.357634952289353,0.0966722814139655
stable,0.0024698156249032,-0.508338432198406,0.0416152862057248,0.16089828774314,-0.129219178989843,0.469015403996708,-0.0677494213806456,0.103006507803557,-0.458358682295424,-0.0679812445467253,0.248848306707471,-0.0917476609115184,0.391796526701058,0.0760696967437976,0.0305266164419289,-0.0429503983989432,0.397205197719949,-0.0561109995372892,-0.0306836884646605,-0.25049708983765,-0.156103285762457,-0.396615893769604,0.0064516860228489,-0.0842436396472181,-0.44585556004259,0.0728072824451528,-0.271315330570962,-0.180432370068921,0.362962645169163,-0.163612274666031,0.20067251952339,-0.506781006320003,-0.0225239388163061,-0.0012080825603766,0.0990027324819591,-0.111294233301757,0.352376322013007,0.0100369968742477,-0.0534869505406676,-0.393867653791154
stable,-0.0298250891687906,0.0545813868763324,0.152407606574783,0.0457549701585753,-0.038689106397507,0.0319125239868832,0.031534093037874,-0.0186832087277686,0.047485200122555,-0.0034738020447514,-0.0198027336185876,-0.0625351078639224,-0.0898943312656111,0.0681612359311639,-0.110742601672808,0.0607151218415238,0.074103329582434,0.0818648027962484,0.0225408998602169,-0.0131529013174877,0.0113292765359641,-0.0654436893245768,0.0791551401677656,-0.119380409375914,0.122717151493621,0.0046836894538435,-0.155134856539037,0.0768978965905022,0.127187973538647,-0.0083624749293083,-0.0087172539440044,0.103780442546804,0.0762884044370498,-0.058877548483354,0.084884366410218,-0.167103948221163,0.0452006658518534,-0.0731469423923898,0.0620596433382441,0.0832117501323855
stable,0.0255610771450702,-0.0339241946595348,0.250509749486812,0.223597461194567,0.0019668517290232,-0.009554422017003,0.0407602037177252,-0.169684935955528,-0.0602048517054671,0.0193087273398012,0.24073945349955,0.0247055765962674,0.110535468104659,0.0707027229258228,-0.0085709961524914,-0.220895038900218,0.107009526590434,-0.0601568797120763,-0.125766576006241,0.0595732204591547,-0.0789139291278831,-0.0098582446418115,-0.0410000636846793,-0.0838870257760638,0.191592146270665,0.03976078718875,-0.127013847834402,-0.0309579264015363,0.0698312317125564,0.0029103009323758,0.166334891750403,-0.196437317603137,-0.0273360409005301,-0.0616040348460324,0.0976389972147628,-0.113853530980857,-0.0568468121681103,-0.0733731638912445,-0.010122090605461,0.105754259430042
stable,-0.151407517183343,-0.0185220493806211,-0.010246137589748,0.103607864259661,-0.164460865248139,-0.255963161213002,-0.200851032096918,0.0037586031285382,-0.0586009702770495,0.0550555272746731,0.0299170839215467,0.0913746407480652,0.146024320776882,-0.0428825184879815,0.0001565582847516,-0.0018702693555334,-0.0930100726764712,-0.0315284299599909,0.140542372221577,0.180626110295998,0.0953054579898303,-0.0749625153280975,0.0417312129478076,0.0645851096380577,0.0430222166497599,0.203439060973313,-0.24867597520506,0.0202742978753417,0.0126366621684562,0.136570608966877,0.117341638715877,-0.0693420729055124,0.0687688287244217,0.113761271173056,0.112393192623226,0.0437315461091348,-0.168170092302255,0.0069427577814876,-0.0391564313108916,-0.168107468988355
stable,0.0999112561126562,-0.152270349370902,0.0154393915507475,0.0965631201351477,-0.0280086060964007,0.10048079264598,-0.0094255850234354,-0.0897264414454564,-0.116115775212988,0.0025921524679551,0.211262209226151,0.0440296957537129,-0.0264604286787717,0.164545765910363,-0.003167083984897,-0.114870356960781,0.0279823169813119,-0.105248586558483,-0.079872458146574,0.0295393183975708,-0.0709510754904415,-0.119830038553333,0.0127999643958326,-0.121000338516686,0.114156115993969,-0.0361382063262589,0.0927642287043167,0.0326469661222671,0.147952625108719,-0.107674591819077,0.0823124537884152,-0.0078256523392316,0.0037958281774206,-0.10819360753123,-0.0708728025077771,-0.0145457902387293,0.0610830103699115,-0.0753167602425868,-0.11267898776738,0.0048389802641439
