group,AHR,ATF1,ATF2,ATF3,BACH1,BCL6,CEBPB,CLOCK,E2F7,EGR1,EGR2,ESR2,ETV6,FOS,FOXG1,FOXP2,GATA1,GATA4,GMEB2,GTF2B,GTF2I,HINFP,HOXA4,HOXA6,HOXB13,HSF2,MAF,MAX,MECOM,MNT,PBX3,POU2F1,PRDM14,RELA,RXRA,SETDB1,SIX5,STAT5B,TCF12,TFAP4,THAP1,TP73,USF1,USF2,XBP1
progressive,-0.066836092940238,-0.169080605202836,0.135921667399413,-0.0325361474655357,0.134629609832751,-0.108746629297708,0.0852804470887957,0.287508370872333,0.322159216873234,-0.128924571476356,0.235403128498771,0.398943688307862,0.246645888404368,-0.306640583006021,-0.023315132313529,-0.01776811538615,0.200338638168976,0.128225094268504,0.292908985593418,-0.136649030741797,-0.102476896717034,-0.303431353690264,-0.230785649389135,0.371217899049144,0.188433582568237,0.209176218971164,-0.0540665671689989,-0.0871743803924463,-0.0415410450749172,0.180904326244522,-0.046799905278796,0.100585287257928,-0.0313928159497123,0.318710631569408,-0.327032318882749,0.103947890313612,-0.236049157282103,-0.386297326297474,0.175777925179672,0.303020033205913,-0.201484293529344,0.0570085543621542,-0.192223773020083,0.118397555690421,-0.131511010454224
progressive,0.162448016206654,-0.221451267220336,0.180314052282478,0.128179981446392,-0.109888379999296,-0.208903256381891,-0.244971463500704,-0.218830802189623,0.11073873979008,0.0363889230507856,-0.138963283707226,-0.209305693200377,0.159251650211558,0.135552593122974,0.206839418521574,-0.159134465544106,0.187591836892636,0.208158516982165,-0.13727412840205,-0.0804465032538204,-0.207843197712509,0.123114057434386,0.229038203486073,-0.18317582521393,0.199527712033997,0.193372433185745,-0.216056146807001,0.214777137837907,-0.0353404286577968,0.177554815935047,-0.112311481379563,0.152480380907425,0.0364829791654507,0.158254809586459,-0.009358583409184,0.209775973773702,-0.173062480032146,-0.178486125660584,-0.056378160272412,-0.17677769656142,0.0785006210127148,0.184275202423049,-0.281388911766593,-0.0292830606830082,0.141495860237349
progressive,0.02978374241769,-0.167721740902719,-0.10767723004749,0.144516096147289,0.0850116577444686,0.0492415426158932,0.213172142013724,0.0648709811261301,-0.148538914301946,-0.140143864029048,0.0151524124903872,0.0301073301317919,0.0307210833547834,-0.0158626343511507,0.0068637055977109,-0.110474060947309,-0.146386220448037,0.100519560963024,-0.14138124521748,-0.0223040048102686,-0.0407196398823032,-0.162099214471305,-0.192741299886496,-0.213111374367883,-0.142105899394131,-0.135008997955506,0.0934689948543528,0.0929585466292907,0.185914814471862,-0.0028211379581561,0.0924640499112617,-0.133159382735229,-0.0344058814794509,-0.0164482825379408,0.1144171215668,-0.199498662103985,-0.0516593353247814,-0.140587467843685,-0.0781654228449369,-0.0227590025585011,-0.0095739426022077,-0.110470262969444,0.225754842680621,-0.0719511714621487,0.247529409376502
progressive,-0.137100570187923,-0.4455644689812,0.355972171769995,0.183326397749176,-0.194302864572303,0.102103020083948,0.114566958467285,0.101452165275456,-0.289568469131101,0.346747371270779,-0.0563615495894788,0.332385909037737,0.0189697344394667,-0.152038582452165,-0.171839429585774,0.115237077477297,0.0681443608476503,-0.234635222482879,0.230597996250078,-0.0797661784216918,-0.0318822535153375,0.394445534233906,0.38273840376742,0.0199948651632011,0.267611407441665,-0.293803841436678,-0.05499379128157,0.531877723890849,0.0270400588618859,0.221106248958374,-0.111991059521204,0.203249710163875,-0.264319981010561,-0.354671838167405,-0.0143669662906188,-0.250841920018643,0.260257986518663,-0.204770206069548,0.2119915296107,0.115111860167418,0.226044764619424,-0.0987249047460042,-0.312850632682224,0.0349714058304835,-0.0129317832773907
progressive,-0.0798285562134403,-0.335832694215158,-0.112383438437359,-0.294054464312793,-0.354472212171597,-0.133047593689067,-0.346020154891349,0.184370542269125,0.234536555251887,-0.223063610578699,-0.232672603456243,-0.162453040120347,-0.0695768213373987,0.194429454545618,0.023363671645399,-0.223802763876972,-0.132565537190194,0.0711515392337186,-0.191087196153428,-0.292897528715497,0.0736903701277853,-0.0678092808415294,0.157214692832589,-0.173508202494511,-0.0194108083546369,-0.15525432973717,-0.23967849123987,0.0246170185424699,0.221456755582455,-0.0859667422990954,-0.129480375597404,0.284766842434499,0.148152030653768,0.0207927036514074,0.177461065785273,-0.212458367603484,-0.255650629902543,0.401263829662245,0.0816603709091594,0.250605105214335,-0.0519978276784809,-0.103031542359215,0.254140186206073,0.326802169136262,0.0248098411420193
stable,0.465096818518341,0.531071308620654,-0.358964220949314,0.477429889332397,-0.492454072056684,-0.281463955458562,-0.488006079304074,0.455704963838223,0.45799772099443,-0.608963968326256,0.488578624854895,0.607150390835261,0.611675250701049,-0.496814945568739,0.619150339036006,-0.60789388464957,0.519155713970289,0.549079337255047,0.567581566113368,-0.461929054211507,-0.0693769089153178,0.522227537438591,-0.550515684142848,0.631235832894964,0.464220953050074,0.354405028377888,-0.499553837160983,-0.523542098590005,-0.622025178605711,0.585347739910268,-0.529802285988523,0.577051813804692,0.400702300455746,0.468999350410133,0.60396083479721,-0.618102905408177,-0.203387472724859,0.577339588635974,-0.535049181727596,-0.625345723452632,0.571839966035957,-0.428306940211934,-0.616804986082134,0.626239470538419,0.604626412443447
stable,0.0007692755574035,0.100276754571126,0.350345864930158,-0.311867988782833,-0.0216672130702,0.236318999360087,-0.186568018211798,-0.15879931597953,0.277007853145304,-0.258270629847526,-0.307756808572868,-0.349699796055653,-0.363797460234717,-0.330897598089282,-0.352887232628162,-0.039579380670556,0.177084168471441,0.337605313168698,0.465938252232189,-0.438619468931502,-0.283798931950463,0.0090517068973532,0.0524897247263598,0.0445358445408071,0.340418225943937,-0.261166906348507,-0.0853681329717878,0.19833149807007,0.213400104466605,0.254514358440539,0.355955753297774,0.456920258606275,-0.257220614684313,-0.389882950769271,0.0160536468911547,0.269224991191238,-0.250726825636398,0.410228603599023,-0.22968974425784,-0.446472209302735,0.179232010346455,0.257551617712997,-0.322505445375009,-0.147196433887027,-0.102060493114588
stable,-0.0162603142760942,0.0293992289366882,-0.492406838569222,-0.213077868326318,-0.606301629190614,0.110329781241415,-0.0803901549552734,-0.017825046899885,0.355234633760921,-0.460103982083232,0.270037362085136,-0.109216724014182,0.42634931182259,-0.135171928052115,-0.604591715189358,-0.360461163349666,0.133631392324568,0.500327289273153,0.4127748530296,-0.362058158501782,0.154190688500046,0.530508884521737,-0.652509635384932,0.0245921122161762,0.543446158380296,-0.622755518636662,-0.161127132090047,0.375568092238121,-0.164353384922605,0.621836036579383,0.315713036562081,0.625763999403023,-0.351314736569363,0.303235503732162,0.0529912027747713,-0.474460807188116,-0.640451515423245,0.26694015936588,-0.203431372356968,-0.438076740868939,0.207246416331469,-0.346588276169665,-0.547712877751354,-0.413662072558554,0.357525273272038
stable,-0.405820730355177,0.286949928729639,0.312000381487062,-0.283164952787737,-0.0710013462013991,0.45342823294258,-0.233369658915749,0.348641034525406,-0.170930289692826,-0.523077368898795,0.51533763276896,0.31161836693349,-0.320287065438044,-0.460388174285282,-0.506188687397058,-0.177416047891253,0.309401469778156,-0.484897742944632,0.493510655196918,0.169060237497244,-0.137491282436802,-0.571622323073219,-0.166342476816116,-0.132693664741781,0.395860458836165,-0.529639530007936,-0.349637910598537,-0.291080536886677,-0.311041100496981,0.25258559733274,0.299318711053078,0.576225901629918,-0.382608798433358,-0.44601472511405,0.370442544460543,-0.012676819455526,-0.416662667208942,-0.516159873617601,0.399094848723076,-0.437406663840222,0.402596042425181,-0.127123528727313,0.402167943576257,-0.211827676328118,-0.254606029860522
stable,-0.368504643321851,-0.112040225793367,-0.409049309064105,0.288788488935401,-0.16724599981943,0.203701359253016,-0.316821769559053,0.436595657302563,0.441151946580264,-0.383889022085798,0.202906946655383,0.179679392440973,0.450268737193371,-0.382684743873061,-0.141634883807683,-0.460876966524705,0.459513185555373,0.407402070497155,-0.253161284847433,-0.409172662182598,0.411750534070529,0.229634119099813,-0.320812995095456,0.336827331061162,-0.121945504351511,-0.100904424662941,-0.176407734476836,0.486082984415234,-0.323327732404167,0.408094005119425,0.396642438520196,-0.07177119525585,0.413975703983633,-0.334380079248423,-0.432534215375633,-0.254050630745639,0.435940751759015,0.405107841352234,-0.346532421162466,0.0452913770572834,0.346076176626262,0.334307409681431,0.199922958346568,-0.385654614845613,0.323361706583894
