group,AR,BCL6,CDX2,E2F4,E2F8,ESR1,FOXP2,GLI2,GTF2I,HEY1,HINFP,HNF4A,HSF1,KLF4,MEIS1,MNT,MYB,MYC,MYOD1,MZF1,PAX6,POU2F1,RARG,REST,RFX2,RFX5,SMAD3,SP4,SPIB,STAT2,TCF12,TFAP4,THAP1,ZBTB7A,ZEB1
progressive,0.0782724973296743,-0.222435662067422,-0.180068170055015,0.0383675625693326,-0.0504225858275753,0.0688503390213036,0.0589034488872592,-0.115852962160496,-0.081411682462214,0.178383504719957,-0.0627238648110245,-0.120085338596523,0.143247185498194,-0.364251342321892,-0.209800672054487,0.15454042702706,0.224898219319488,0.0651380915001991,-0.273021651226676,-0.0525928582469191,-0.105314597994881,-0.205724794584012,-0.009640796569068,0.085439229369798,0.147997389393768,-0.136483208148829,-0.120320087044851,0.413543913559968,-0.0935357493817296,0.102985525154609,0.0986242672175399,0.192921798328647,-0.104288148897291,0.0162873996942695,0.153143443613972
progressive,-0.0144152834087729,0.0112511377972763,0.0955573490793471,0.0569318791841429,0.0524555303973947,-0.0957764286389356,0.0964442801683387,-0.141163042450991,0.0802179896043514,0.0753307718857797,-0.0437143317758885,0.0794872190318831,-0.112923763026107,-0.013601884213484,0.0657557064284695,-0.128514798673363,-0.0336829137411656,0.0572358615488314,-0.118450025965208,-0.0826938160459296,-0.0677501642875609,-0.0173974944379122,-0.031382957395866,0.0413855691217157,0.0633791859464279,0.105792685458462,-0.0621359663003201,-0.0820926738633909,-0.0293096612177532,0.139487728171785,-0.0917412712144038,0.105985990952217,-0.0132562085070052,0.168077989728467,-0.0235120125266354
progressive,-0.0555763682863047,0.207229154199819,-0.0782769366843578,0.0594957278999406,0.237289660708564,0.0995962895268541,-0.189106458244513,-0.0006018746844061,0.103075381962311,0.0858694687759754,-0.0829250404265407,-0.0889445424458647,-0.0564078162505847,0.0320858865634225,-0.0992353157512629,0.116405735700249,0.0380963264795936,0.0726803328121698,-0.138708326734837,0.0044351443180893,0.0475949209343745,-0.0933373969492405,0.176291889211028,0.168651025902595,0.0725428909143506,0.217139319172794,-0.0546490130636564,-0.0027065481416707,0.116809754465817,0.0069136295304117,0.144810898033063,-0.0119249725739739,-0.0823896211652559,-0.150534371349392,-0.0751520214471275
progressive,0.411257804455903,-0.299930913978479,-0.169046467259144,0.0237793701260868,-0.0465207464395865,0.0334992646930297,0.0774784326152527,-0.091211994549864,-0.175475729726289,-0.144246905325171,-0.0003601482489582,0.243009688638366,-0.0059924286594734,0.161703825012321,-0.362721323330132,-0.0297663212456521,0.176442515520071,0.100118474440452,0.10151113896209,-0.0288597883908597,-0.0614059611398781,-0.137797102083371,-0.0278423353529281,-0.0989339564353234,0.223287806199213,0.0806910097713598,0.282031682943749,0.119888285353802,-0.0560283863350901,0.0536976931041889,-0.0614169162196943,-0.259632652874506,-0.314357384711466,-0.180212432361828,-0.0157219089212555
progressive,0.278831006127676,-0.113378678194344,-0.372662704556821,0.0059167561571365,-0.374955060345449,0.195469797651998,0.130788191075553,0.365259014915168,0.372043148938272,-0.190823130512886,0.0306060475562875,0.0227376912007237,-0.441402400434758,-0.108422233245958,-0.0253708025795541,-0.145998281510914,0.388058661677747,-0.109165699988216,0.125769790565311,-0.251601536692477,-0.108762988836159,-0.0800465859164443,0.181715662920225,0.0459400491153587,-0.39784764045081,0.356678169598274,-0.48898427193927,-0.160712727451437,0.0830514306664037,-0.306091453343802,-0.106811388637732,0.283198873238442,-0.067159829050639,0.430653110452944,0.470831292315803
stable,-0.0951318072425086,0.143057236464302,-0.066932714384788,-0.176164163294727,0.172089381091005,-0.427754607095364,-0.04542575010271,-0.194503397510707,0.185950116806395,-0.038515858537496,0.16418134169627,0.0011154817473666,-0.0237407849339017,-0.0034825411581715,-0.385714016713329,0.0365194200205975,-0.0049444532027459,0.363758812103056,-0.364869865256933,0.267991525504364,0.233544115805705,0.0167837978959814,-0.406548930028466,0.0218334897182229,-0.16740597680775,0.323185038551934,0.110980124287817,0.38315809921885,-0.376117683193891,0.0851649004484495,0.0712184024010635,-0.0139950220986375,0.0672439540304993,0.0937823243294403,0.159661890610717
stable,-0.096219728668847,0.165184931062691,0.235129560616157,-0.259173979330659,-0.15272054721614,-0.0180234100586873,-0.0392776498455331,-0.111977718222051,-0.220367454061596,-0.261408926060174,0.0886341963548195,-0.241321222417394,0.192148737514957,-0.212974516011688,-0.313657433908851,0.151956264914855,-0.070500471227127,0.265672816793658,0.0631264269183194,0.209153104505264,0.0431697605122035,0.350413074055249,-0.123265814316227,0.0566818327765447,0.203848839060223,-0.0477463121871218,-0.0798912700295162,0.123722920955751,0.128336041161831,-0.0075672480484465,-0.12081206587526,-0.286493719486234,-0.102408952568007,-0.16029389001978,-0.0850096454411507
stable,0.141912674808172,-0.0164075258589285,0.119213059159669,-0.256693217211619,-0.0080474626098506,0.0537272329420604,-0.170463533190929,0.0067409522459007,0.205338542967284,0.122731820201228,0.146377253168418,-0.0360452583232054,0.167361573001674,-0.306645196279935,-0.169341377050113,0.202805676249442,-0.192986810017304,0.190005080843136,-0.110083517414032,-0.371401621006014,-0.0709843913076066,0.281965776582993,0.0269317473795797,0.0363338127594151,-0.0413594691900689,-0.0026851593369521,-0.0092577881617305,0.100416943801004,-0.244341484261639,-0.275737810001465,-0.0720664704433932,-0.163963042975203,0.0105001753176338,-0.0023485124947074,-0.108095697964587
stable,0.0437411893987027,0.0624701650515866,-0.192225551556494,-0.111813626693029,0.0826975070521515,0.0207151260492863,0.107080672556921,0.122748924042705,0.0708421813729569,0.0088416895762034,-0.104820445479678,-0.177588407936077,0.0682366418255792,0.162085568367805,-0.0363833775350698,-0.216149910282763,-0.14862441896386,0.170521576160914,0.125458298808375,0.0119132802196367,0.0742204481262298,0.0350999259415283,0.159321861220471,-0.183869231256493,0.0182882796682718,-0.0160328821360653,-0.0186034074819259,0.0190199557413538,-0.022417540674774,0.0107095161192032,0.0744438145841839,-0.153105029371792,-0.0805097231504608,0.0238193161217182,-0.0943850060413157
stable,0.132659176590591,0.0691764004975315,-0.135785357126398,0.133971356319521,-0.0514900188545641,-0.155815192254752,-0.22592468711738,0.151389546198246,0.0751968764428492,0.0204672130714403,0.151161424844784,0.0784134334263357,0.189415585733324,-0.151575898853187,-0.148966961684014,0.10441013368696,0.0767150538849252,0.173045055792782,0.185431494489758,-0.179383295144542,0.126379505216098,0.164346012880866,0.158855953507099,-0.158571054263449,0.144994850253979,0.076356210274992,-0.0946664143153247,-0.0367879877711061,-0.0272269031812469,-0.0578892129663641,-0.185301827925667,0.08175869308087,0.14246265733088,-0.176668742837679,-0.199559091219377
