group,AHR,ASCL2,ATF2,ATF3,BACH2,BARX2,CLOCK,E2F7,E2F8,ESRRA,ETV1,ETV6,ETV7,FOXA1,FOXP1,FOXP2,GATA1,GMEB2,HNF1B,HOXB13,MAX,MYB,MYC,NRF1,PRDM14,RFX5,RXRA,SPI1,STAT5A,TCF12,TCF3,TFAP2A,ZBTB7B
progressive,-0.0569655016564678,0.0450885337995541,0.0410466463849427,0.0281072947392422,0.023662184386614,-0.0859444340042374,0.0083638578280848,-0.112141852432274,-0.0278103101801041,0.0175317470235923,0.0376518472780469,0.0404792368613862,0.0118479937535832,-0.0430289579544744,-0.002752539816402,0.156515691683008,0.0854108276012332,0.0330111617279375,-0.0982149667647244,0.0251374491478611,0.0376470182608251,-0.074101269267876,0.0080934328636663,-0.225652731246917,-0.110560349292149,-0.0171430111372408,-0.087448672868815,0.056323242365974,-0.116835657171823,-0.14352804986509,0.108136182646826,-0.0327165916774102,-0.0023662184386614
progressive,-0.0537631418305773,0.0932853708245875,-0.0480865912167731,-0.157407791822762,-0.12257680543446,0.0051912496545929,0.0644970392824776,-0.118878610884043,0.0900577711437089,0.159795596382836,-0.0090450191536563,-0.0416081717134269,0.0505076779797919,0.0639931622099952,0.0936445090144982,0.126659680330536,-0.0570000295680915,0.014655005361572,0.0035580996961628,-0.0990873102029726,-0.112948960726919,-0.114463687963245,0.114988463163157,-0.0864826433437141,-0.0156619855018173,-0.0053576606693145,0.0214035525120709,-0.096277673070697,0.0765157845689723,-0.0042965001986947,-0.116979977306778,0.183199951095164,-0.0531981183852437
progressive,-0.110572491196514,-0.175236553821442,0.128452923907056,0.0377852977267661,0.0980464125233629,0.101487177696901,-0.0579649621091997,0.0264992800591112,-0.0127454563184443,0.0096872549684515,0.0062380225875511,0.142510027620513,0.0540623492613611,-0.189353697732559,0.0479698086912145,-0.0518839677309107,0.091495873009535,-0.212533832505697,-0.0241800349879992,-0.134605504674861,-0.0789667153518881,0.0590764755120161,-0.021662195416938,0.0355199348843225,0.0448076916145042,0.0275969380316986,0.134370732107092,0.222880759902275,-0.0505546161750493,0.182847033747789,-0.0547389561042112,0.0741026895953807,-0.0432551136827309
progressive,0.148403565877788,-0.147480999597599,0.0009518319778994,-0.175174711259117,0.195152033957782,0.223771099108795,-0.225970207250999,0.190204737440149,-0.128472232132668,-0.0920657041815054,-0.0538892983212181,0.304184874787787,-0.0391895564429123,0.0270902808468323,0.0817795082387888,-0.19976068454477,0.250113014257045,0.0550780430901027,0.0770036250934575,-0.208703445602136,-0.0309840122469069,0.123810624568871,0.113120283276826,0.0623624146105715,0.163016904267617,0.0921953094142209,0.205481431644737,-0.110328893157159,0.0159149651355947,-0.093751965811459,0.139339561215625,0.180308750800232,-0.0556940163466643
progressive,0.140395726780744,-0.0254214484705874,-0.207255420169927,-0.155064416112888,0.337700832524052,-0.249817087685077,-0.0786716795472343,-0.15400518909328,-0.197529790262619,0.43145847265358,-0.179940202179435,0.347875831469982,-0.506021635276275,-0.0821382407023144,0.0871133979156238,-0.133302115528219,-0.0907083502245958,-0.398461946103373,0.13808468601069,-0.0007061513464052,-0.357505168011871,0.447025900062967,-0.247538144703497,-0.0085380117338083,0.0926984131099195,0.417624325821732,0.421540256015434,-0.0216339094307776,0.262495714131898,-0.191495406029702,0.0766816166619106,0.283808645677946,-0.0701657656018989
stable,0.0007199306825565,0.176702369219137,0.122881764453127,0.0362927898672468,-0.148141854150775,-0.0732907463563519,-0.0853911853446885,0.0059541069208117,0.0461412954258011,-0.0127997584574432,-0.0211988523013901,0.104844906181052,-0.107985947913008,-0.0607111332000113,0.226943444523085,-0.114551423380286,0.0353627027695386,0.0733187639632873,-0.0517740038503596,-0.0841914470525797,-0.147257667202168,0.0956177093286421,0.215683679921628,-0.139475496699802,-0.0051380880280351,0.290725551074577,0.107658848442822,-0.0268582139972418,-0.0049847464471211,-0.0296032085828135,0.113372101396535,0.0561818799522498,-0.0503712231789471
stable,-0.0636374653331151,0.21625787360304,0.0320132460869831,0.0556750458372542,0.291495412008805,-0.0975326919164231,-0.0083861808760736,0.108467756444566,-0.139733262629654,0.0740553009933087,0.0061739064872728,-0.157253364283697,0.289600800770894,-0.0650116900176799,-0.111174524366462,-0.437067866473701,0.159067138775457,0.19958782085774,0.162344184679964,0.118451094594199,0.0898102565106977,0.013242701015919,0.0773014015809296,-0.0289420812703293,-0.0341503675633467,-0.105198920522091,-0.0504598126363644,-0.115674226056501,0.459526588087899,-0.239255296345884,0.14482534610008,0.0741291908315872,0.0602044297700202
stable,-0.281486658188297,-0.0241687942532357,-0.0875357861295713,0.105033071826179,0.0727943023644936,0.0035948819226221,-0.0398645258513206,0.0031753419270758,0.121576109689779,0.15416860895163,-0.0429658313085942,0.0560867390124441,0.102318401266761,-0.144214816900434,0.0143466225927988,0.0373061545059305,0.192445463839413,-0.0324691051455143,0.0664518447847643,0.0813578540382916,0.142273416136729,0.162748613174273,-0.0003619560745889,0.182894759234918,0.13084712096391,-0.339218652085237,0.0706390184658048,-0.143622525142015,-0.277357068428214,-0.0152679653281162,0.164706466486822,-0.0522203900338802,0.2632243289704
stable,-0.0439783995485642,-0.149170826350717,0.0706065383822657,-0.0295149185008092,-0.280303593927543,-0.0460356306606064,-0.0147864256561164,-0.159974679374714,0.110650437206061,0.0970473200385972,0.0974355931364362,-0.0963681502706312,-0.111016523269738,-0.0564388844566737,0.226728069490806,0.0579574636837773,0.0099681414038857,0.233691100378718,0.0910395642326692,0.118260589923706,0.021931883269363,-0.177412455613216,0.191334819550015,-0.19287681842429,-0.136476144970896,-0.0807176628951969,0.0678454852420772,-0.0659053523658912,0.1613404145887,0.0367367981206146,0.246682841493712,-0.171261716698243,-0.0003291076734063
stable,-0.0538033593380997,-0.0801842078995283,0.0256215524098884,0.0005729118543005,-0.043498605589344,-0.0370956761331064,-0.0304769059064734,-0.0420841274979638,0.035607344091374,-0.0839659840614803,0.075105874102136,0.0093886716181068,0.0103080161831823,-0.0609361284727216,0.0154119293577451,0.0303848485176541,-0.0577505740226396,-0.0771542573870961,0.0231674924962332,-0.224858753812062,-0.105003248722139,-0.0781533188281599,-0.0689789749673812,-0.0181553530205395,0.0296415808482967,-0.0091900886530113,0.0527583874067722,0.004035536822349,0.0515219247591025,0.0457557373959462,0.0442067429865429,0.0732307780950509,0.0987559232035513
