group,BHLHE40,CDX2,CEBPD,CLOCK,CTCF,EGR1,EHF,EPAS1,ESRRA,ETS2,ETV5,FOXD2,FOXK1,GATA2,GATA3,GMEB1,HNF1B,HOXA6,JUND,KLF3,KLF4,MAFF,MXI1,MYC,MYOD1,MZF1,NANOG,NFIC,NKX2-1,ONECUT1,PGR,RUNX1,SETDB1,SIX5,SP1,SP4,SPDEF,SPI1,STAT5B,TCF3,TFDP1,YY1,ZEB1
progressive,0.300513258186118,-0.135757650695246,-0.209848036481341,0.0102866460290236,-0.112887762547997,0.249400270523558,0.384963488282965,-0.231452966822486,-0.270206882104611,0.0954963082987938,0.178034233285509,-0.198422242192933,0.274106978052907,-0.313329819827349,0.0780796921402469,0.218007357447658,-0.0987902309765331,-0.0294714581805514,0.498112019709616,0.212011960684912,0.0342018971371938,-0.260741429298719,0.090509675356105,-0.101166887686374,-0.0898463159279492,0.205918203731094,-0.12903942090044,0.211273115528725,-0.314386620019791,-0.145977960781454,0.146316502834443,-0.261292703857979,0.0310818203785573,0.235163204727551,0.117053202267555,-0.112089443787906,-0.173274057526915,0.0587347587474401,0.140433190940592,0.37106038964734,0.187968612583718,0.27072841986192,-0.148743483362972
progressive,0.451291089554542,0.501958460790222,-0.493488124311051,0.490954455462589,-0.153132693050975,-0.369565067178542,-0.517381935306269,-0.25767750011375,0.450352693684741,-0.518068090366267,0.511456528425998,-0.486194911610959,-0.44902092226632,0.504838210035467,0.252354168023543,-0.392028012151487,0.16767032186593,0.491969424435366,0.504939556789405,-0.419825549965076,-0.453684374380882,0.344265163812014,0.443876260749724,0.461618699139223,-0.277554226069523,-0.487323238804808,-0.516647734377737,0.513511240022514,-0.443359016946289,0.489451520637516,0.502471951010177,0.193672896059764,-0.520842739274094,0.469062055178483,0.392942385087021,-0.314539034806811,0.498035966054454,-0.474338842833547,0.435998990460267,-0.510038424587555,-0.472786360706549,0.508290756119638,-0.524252494506603
progressive,-0.0676937948986412,-0.127183441886521,-0.118634607120745,-0.140299565219185,0.152846467122435,0.0353593142815653,0.0985999652799032,0.195281248828731,-0.146461124359487,-0.024411188662253,-0.149936529076284,0.227504588586238,0.0466220886857388,-0.186009998475756,-0.159701154731536,0.0587447028480654,-0.0903575188296959,0.151825923688959,-0.152083500140528,0.0790384230439839,0.128717636319627,0.113690340773427,0.0788649531888456,0.025965658792713,-0.0131739466177101,0.0488862082235828,0.0120707984913112,-0.141760917332169,0.0113791719260196,-0.187374477812493,-0.16988030575491,-0.0448130459107252,0.0911077196317875,0.0392627614980538,0.15819249265806,-0.172368959867154,0.180233677585177,-0.0982342517757805,0.0431354196926346,0.161009312686734,0.016055348497215,0.0297249232724631,-0.115823794706102
progressive,0.0698966025824358,-0.295145776817109,0.186796848581313,-0.369534613547783,0.224630776932277,-0.0483998047269159,0.33526668550006,-0.098272048845659,-0.198663538666048,0.268122904389301,0.223094318436458,0.0152774100080795,0.350623097806683,-0.0127139216311888,-0.318817862099777,-0.0151875108407709,0.121802474834387,-0.284778768296112,0.156498104981124,-0.0766063495242866,-0.0032963028013153,-0.128818696210245,-0.41278837200058,-0.0501814427699409,-0.0961934711287966,-0.132234864567971,0.0928508566352314,-0.007506580470268,-0.183849245580467,-0.242667818955012,-0.290114147665018,-0.130288411384881,-0.041135679586662,-0.0827589940505433,-0.0473237389364039,0.157025241007615,-0.131305906505782,0.215349368961962,0.288030121513773,0.264251791760649,-0.110517405119967,0.192450961361586,-0.0042538651440114
progressive,0.0852790018459657,-0.106513997245991,-0.093168927567891,-0.0971755304735562,0.0740605137101032,0.0948640287972109,-0.0510379570137041,-0.195768781975271,3.08200223512706e-05,-0.0325151235805905,0.0793615575545218,-0.0614551245684336,0.169448482887286,-0.111969141202166,-0.0193241540142467,0.0678965092398491,0.113356042207973,-0.0271832597138207,0.236728591680109,-0.111784221068058,0.0461067534375008,-0.180913531201958,0.0079515657666278,0.230472127142801,-0.0738755935759956,-0.0934463077690524,0.0821353595661361,-0.0115575083817265,-0.315658668921713,-0.148644967800178,0.128026372847178,-0.079269097487468,0.0693142302680076,0.128303753048339,0.365525465086069,0.10987337968228,0.123403369494487,0.127286692310748,0.053873399070021,0.0993329320381451,0.0951722290207236,-0.205230528837111,0.231612467969799
stable,0.144606043311737,-0.33266784532243,-0.442703574098758,-0.472580040451181,0.575047242156419,0.245848411434194,0.384678436241051,-0.357283970278326,-0.447404843796641,0.490122563565107,-0.416648857022729,-0.396354700901444,0.408640475199304,-0.275031840653464,-0.405210128109835,0.39552273490025,-0.405365459943922,0.303344494548415,0.546058615885497,0.384761727382761,0.303879836307706,-0.427807553742948,-0.273779826363258,0.529097192660928,-0.607772861167363,-0.0330982546920466,-0.261083599747878,-0.0729684762798348,-0.400439323071738,-0.404847466566587,0.492742027428184,-0.46513219572106,0.19349137285519,0.407717182021161,-0.0588506750307099,0.324196729681637,-0.339304334118205,0.375333756299003,-0.241192663512399,0.439667890881106,0.172205380902255,0.374325659313693,0.311165400396798
stable,0.17347961384006,-0.331809489702601,0.129647809655992,-0.184885078538398,0.0095917850028407,0.389282055203707,0.0570806313785319,0.114256974644802,-0.241180024357458,0.216600848123388,-0.0284682288877415,-0.136124717907247,0.003548609103615,-0.165485248128144,0.0182700666720775,-0.21320428765156,-0.0841156050359638,0.100353308522205,0.125077264130765,0.0355830144667717,0.198192059791234,-0.246847016191585,-0.190158318935628,-0.0499676631138258,-0.289538758522973,-0.145938215257633,-0.0277128319003383,-0.070088361539325,-0.015788221076736,-0.114921505915998,0.0463748326949899,0.114141272299498,0.132880206067205,0.248713398002483,0.156271464504725,-0.172474033247366,-0.294960412923341,0.102961760348796,-0.211706820648464,-0.267231225194086,0.250617337642746,-0.21458060036638,-0.0617050905620411
stable,-0.258442444123264,-0.341510097899272,-0.331935793466932,0.0210459314749196,0.343447280228214,0.350574197932221,-0.0201849615509456,0.178029447612842,-0.132238602767411,0.348102895372666,0.0889987799189401,0.100861032204804,0.606449676171044,0.107557464946824,-0.571476758981471,0.317107978109602,0.137699384229654,0.395240998710241,0.206744388966123,-0.0847417619615132,0.157509664424796,-0.335594915643821,-0.174824726229161,-0.0585778426051928,-0.416884825965698,0.320687380849087,-0.1830996038318,0.33030951694387,-0.40925567580604,0.0017458556791694,0.325454603205906,-0.254576051409122,0.348708763096944,0.434901418819228,0.0189333663836871,-0.0745456459174139,-0.304719577536866,-0.0826690565889832,-0.176307507764894,0.209973026181025,-0.0402583158895241,0.461352328150206,0.245440203882509
stable,0.263576640311007,0.254292591649551,0.192483028550183,-0.354615098846869,0.267420966878898,0.335267324041907,0.086432474766708,-0.0644477322065829,-0.359169424477767,0.0691990795740854,0.169402652918209,-0.255039832626185,-0.0132076644648095,0.390891125423128,-0.313459180233494,0.0154037360167171,0.22997602475559,0.0326287217449725,0.476676071433557,0.284593093116845,-0.112356450706869,-0.245119067376922,-0.392281089747831,-0.0187038501048408,-0.0664227549808368,0.186747773851711,-0.0502357374259119,0.231021201041235,0.0062338158002452,-0.0211437961233989,-0.0504279537543065,-0.352648485536983,0.0195652195264588,0.128864229259802,-0.199020786419702,0.0923022808950561,-0.278115402849949,0.250344948805148,0.267106212641152,-0.188219430115982,-0.160619568062632,0.0273836186839066,0.339062395175646
stable,-0.186001323287663,-0.211379108188806,-0.629082685156765,-0.60905012724781,0.283429666378483,0.494651551295196,0.588203405038743,-0.365422763850134,-0.592562765165206,0.563629812848777,-0.115284317137674,-0.445837254069123,0.577364925320926,-0.0669201984494453,-0.401783866936667,0.532916954673858,0.323246858444137,-0.0807311223169121,0.672724960524459,0.343601102544037,0.595533069293487,-0.584428862666915,-0.427916168733797,0.0186188688988404,-0.5986098281018,0.448714080242695,-0.236837940707767,0.39258336868142,-0.451611031723614,-0.499669036291288,-0.376085306491969,-0.539887414065139,0.281620301076887,-0.580846466894632,-0.0979778732590462,0.610410679982648,-0.104848707825729,0.463618418432789,-0.556500809746686,0.533249523101128,0.458887377573603,0.234535004520135,0.486078443560124
