group,AHR,ARNT,ATF2,CDX2,CEBPD,E2F6,ESR1,ESRRA,ETV5,ETV6,FOS,FOXH1,FOXK1,FOXM1,FOXP3,GATA3,GATA4,GLIS1,GTF2I,HEY1,HNF1B,HOXA4,HOXB13,HSF1,HSF2,IRF4,JUNB,KLF1,KLF10,MECOM,MZF1,NKX2-1,PBX1,POU2F1,POU2F2,RARG,RBPJ,REST,RFX2,RUNX3,RXRA,SOX17,SP4,SPI1,STAT3,TCF12,TCF4,TFAP2A,TFAP2C,THAP1,VDR,ZBTB7A,ZBTB7B,ZEB1,ZFP42,ZFX,ZNF143,ZNF263,ZNF384,ZNF76
progressive,-0.0202506445633814,-0.0703359577892219,0.0420220792588658,0.0065354139883442,-0.109506262640123,-0.006059727706654,0.0076156670713942,-0.0050638327819332,-0.120493912762513,0.123587045234587,-0.0489253885488128,-0.0653705428586728,0.235677948114632,0.0237655678271018,-0.165131094929586,-0.124880536995636,0.0008927905089849,-0.279912085747465,-0.261604022107834,-0.0087240395405541,-0.202288520391463,-0.0352453072064128,0.0635966782515819,-0.0027721028139875,0.209648769705694,-0.0305610861369614,0.0760231036299216,-0.0964354346634341,0.0663828407586243,0.0455182562651798,0.147868135140367,-0.0940452868441042,0.145583435018949,-0.171547001526964,-0.0036859828625548,-0.086000799134536,-0.0954137636347794,0.064173125666832,-0.0652533787498821,-0.0158733934589615,-0.117522630963581,0.183202487069461,0.304354862123377,0.0651409012054431,0.1617872312647,0.168657734604186,-0.0930353322263285,-0.0712756139417232,-0.173719224103943,0.0244334032472087,0.05569981731909,0.0652979011112226,-0.0133473352734344,0.0658157664720774,0.206311935887335,0.0533495052967489,-0.0585351887518245,-0.0029829982098107,0.191244631496854,-0.0443325554842181
progressive,-0.0830333750749635,0.0111204997084631,-0.0250463593838775,0.0473735461676268,-0.0435261731711574,0.0988957328842215,0.0738074445110787,-0.0433910686501916,0.0861943549879054,0.0009496139605816,-0.114362094683752,0.121643762486152,-0.0195490030135439,0.0444548226371064,-0.0258367984778041,0.203389762298119,-0.031783726788593,0.0709290970442952,0.0225057732195087,0.0328125399511201,-0.0764054889199962,-0.0191382542112972,-0.0465893187758136,0.0819276920987834,-0.188289114460513,-0.0859916982064566,0.0642748111553461,0.0250354889051791,0.0470404436417972,0.0227138652403066,-0.120446456903799,-0.0482152318039886,0.038048228369928,-0.089041643944122,-0.0281227048555247,-0.0559301658287958,-0.013439017522279,0.0076543699292018,0.0307665605675284,0.0949474197284098,0.125901884284868,0.0540340437586892,-0.113150812771645,-0.0414281707823662,0.210051036351946,0.274169002028929,-0.0116717882710248,0.0947874683989905,-0.020854236920116,-0.0831583855799951,-0.0108704786983999,0.0770080240249933,-0.034134856038504,-0.0541140194233989,0.0120701136690448,0.0503536102565167,0.0303364001961774,0.0216089587268907,0.0556762625049118,-0.0262692882374475
progressive,-0.0402044621907535,0.0418251214412017,0.0601606499620005,0.106708988830833,-0.0307434613346604,-0.0477504172532707,0.0195920377504509,0.0057259715901595,-0.0421087751416112,0.0274845103064414,-0.0063507763626833,0.0803652263790115,-0.128899907782333,0.0228755209905973,0.0401684305044853,0.0321985281545992,-0.0573693442236458,0.0536044163244259,0.124563839324181,-0.0456099817626125,-0.0654642075280366,-0.0406966396925453,-0.0236375528235895,0.0208692460339167,-0.159687833751112,0.0435868409102319,-0.067186062152685,0.0083424853185321,0.0961233393841969,0.028273374246229,0.0596861049875315,0.0129591409506035,0.156063966070474,-0.159561339533362,-0.0666463534902841,0.0093628720083838,-0.0356529702466141,0.189934517794245,0.101301935995728,-0.0234719603930801,-0.0981579797109185,0.311685585694634,-0.0087702657640146,0.0913226921626707,0.0948729632075267,0.0561358339426756,-0.0834378859229075,-0.153590045823929,0.0295260503177675,0.0190630619307682,-0.0823768677570512,-0.138363975164917,-0.0859202391173026,0.0963050310787836,-0.0393619340373748,0.0066850277501929,-0.0033570798759283,-0.0747665156382249,-0.02450307992565,0.0054622503119409
progressive,-0.0449174912796324,-0.209446902093167,-0.0417580156980888,-0.369947141254175,0.259792641313431,0.138474941079918,0.233068743686207,-0.228541002305386,0.194141091529918,0.290771187352325,-0.0496314960701803,-0.206567521864597,0.326105216129961,-0.134696454768303,-0.06946784896778,-0.187116300077336,-0.371447051869349,-0.314294995571824,-0.320937456867596,-0.0526411206378831,0.0796255069433724,0.195596186888616,-0.317884417520182,-0.109282002916231,0.0011988081107275,-0.0773287250489878,0.318926372233245,-0.212179232261426,0.112843415329292,-0.311800746453593,-0.0231946961797547,-0.344531288925338,0.101104619086163,-0.345973779993153,0.146071127052566,-0.110098480870149,0.15103441670726,0.155681198613095,0.398477653908079,0.212574166709119,-0.0608815259223703,0.187389393046486,0.079021901457714,0.0747490468480997,-0.0136924613301209,0.210445442026519,0.197216538505569,0.0352976163817496,-0.0844585522589341,-0.403286891118638,0.16762306398713,-0.202885668449758,0.0052531883450223,0.0148198451258401,0.174834118849438,-0.0294968416216637,-0.0162021156927655,-0.153073510876909,0.242590585210549,0.144501192599148
progressive,-0.116103410412049,0.0228654282536107,-0.230753509706283,-0.275386308924489,0.081934451242105,0.137709302363554,0.355996632259252,0.32027747456364,0.0662063953670931,0.0527390456753478,0.310007409331086,-0.0989220434192226,-0.0773161514677175,-0.0873601460819448,0.0312300411316971,0.273545448175258,0.0175366208216252,0.0279358692646515,0.0392394001809845,-0.172394994375387,0.216511060751704,0.113939591636636,0.0611359543560523,-0.301868867071327,-0.123757515632537,0.365007161189701,-0.0496386486240108,0.239860926044586,-0.175172433400543,0.377667115815994,-0.389229013153271,-0.0569375000157001,0.093916194013418,0.190157685815339,0.198586890298661,0.314141272066202,0.223131700288413,0.0010980572890152,0.0072342597864531,-0.347696610986402,0.269669951861087,0.151370426871008,-0.169875921771176,0.005490286445076,-0.168487202258598,-0.06100677114558,0.172944023019895,0.300577034966603,0.303968094241503,0.114197958057581,-0.33045065238834,0.341495816883728,-0.111129856808862,0.423301084915361,-0.0883290201604877,-0.299672752493296,0.0447942782312967,0.0867788216348191,-0.172330402770151,0.0774130388755718
stable,-0.0863817831882818,-0.26951400617447,0.172638886350569,-0.0750962048478331,-0.169965197846019,0.0563427680142006,-0.267183333169116,-0.124390430941497,-0.128896023871521,0.0500631993644046,0.0787399931502819,0.122827179977944,0.114131135972091,0.0119898847547831,-0.0977549090119906,-0.12010811802692,-0.0508408013461197,-0.132483386221304,0.0659066761356732,0.0175450779658429,-0.142787133595001,0.0718972799196253,-0.144259686141511,-0.0660182191915879,-0.0702141965205137,0.0986461385135076,0.0133073144073654,-0.0821370875754819,-0.226720253426736,-0.0065640737324396,0.141791923278649,-0.109582641866715,0.0702656779309358,-0.029364618392732,-0.132478005395921,-0.270994072486154,0.183135955630824,0.0635512804190997,-0.177871326990452,0.251653253119485,-0.0363385558964703,0.0017583664785707,0.180437932222288,0.101206441877778,0.0734167571415479,0.0836881710870422,0.0844667910627488,-0.0660920479939164,0.231986384820143,-0.013448573192648,-0.0489361830641181,0.10807048450635,0.076001056078473,0.101763430018786,0.0606844154357051,-0.0262304087968345,-0.0152047097796185,-0.164273932771442,-0.109601498993508,-0.0389770508944613
stable,-0.213489997579411,0.117566823177837,0.0261423300960928,-0.147569428387394,0.0434122436552333,0.0139125309685092,0.0842161597136718,-0.0693848708357101,0.13436057397741,0.0409108351115006,-0.0363692618459661,0.0662618398904534,-0.0409792135756683,0.0877842722984197,0.184309177184669,0.0043016270185462,-0.0599293724861281,-0.0982977719753955,0.0158078576707559,0.0751920673107475,0.0257662485431708,-0.0155996141662454,-0.0046354382481646,-0.0780875844570464,0.0193411594010185,0.067040732759563,-0.0987627455317355,-0.0067290624964975,0.0013694341505574,0.0749570940429714,0.002510111257354,-0.0927839812738774,0.0149786133871229,0.113824034698261,0.177365033337244,-0.0770438804448876,-0.0764303391345834,-0.169768185968219,-0.0347735571412539,-0.0542253653297437,-0.0467472478394097,0.115239468906531,-0.0571445041273005,-0.120731502823996,-0.0731152268672557,-0.0058569262671593,0.0350837467196144,-0.0173581839401569,-0.0560467189662091,0.0137248010032489,-0.0788677205709591,0.159471010886973,0.0242544628626644,-0.171212214806959,-0.061956483137498,-0.031814012887598,0.0288631713475635,0.0236533540003907,-0.0866355141004033,-0.0174868597772723
stable,-0.114666924965394,-0.219994388106381,-0.379618757600864,-0.0174971288309634,0.312379556610206,-0.140797721493437,-0.0903498552064146,0.0255645198444892,-0.112393611322722,0.439291188993892,0.221414183269494,-0.126911632383686,-0.164335134948973,0.149209802662169,0.316376321028911,0.30422188960365,0.120198381265614,-0.01015194576168,0.317943840544255,-0.0335416348649847,-0.1044985653868,-0.294742910335469,-0.144654968468368,0.135602748439966,-0.283441997389767,0.0618636759511266,-0.0363812251912104,-0.0543543547126972,0.0846132261947619,0.0602961564357824,-0.0373578472976291,0.0684948579846249,0.308702861621336,0.123079006134127,0.199362220244729,-0.237286344225912,0.165311757055392,-0.225829500019521,-0.027255142986693,-0.130588327372556,-0.186945167748834,-0.259272651983018,-0.0399758510955078,-0.0470091716434138,-0.025777899464379,-0.225263223335968,-0.329556616011335,0.201110291746134,-0.0982531080507944,0.0130736051724787,-0.203408226114178,-0.213116998819164,0.0378584687135244,-0.16917721093878,-0.431896764473864,-0.201610913162029,-0.0252936918653983,0.30780830859949,0.336212418770205,0.0418470262237722
stable,0.0510109413798025,-0.0310492288746823,0.094197137518769,-0.0140242564465865,-0.0244806259122886,-0.0746980200153082,0.0397733276958723,-0.0226068700943966,0.0844826424839197,-0.0051685148988604,-0.0422240969599832,0.180152456111695,0.227235030894958,0.0196356814534187,0.062346979532171,-0.0810537800647043,-0.0176758042256433,0.02970327426879,-0.0886263126051675,0.122347765797947,0.0910943061512551,-0.0744507285383573,-0.0271528502303855,0.0532599404836151,-0.0840926355277334,0.131610738583836,0.137805328566164,-0.0463997550334734,0.0761177929725291,-0.0806576215792406,0.0261784479928474,0.135662135765923,-0.0321195949689476,0.0250957788400273,0.0937653001634964,0.0113618745753335,0.207868786423889,-0.184820236527376,-0.0873258793159279,0.0877601772829114,-0.162333936406816,-0.195749043441582,-0.0894764539513024,0.0311894837422067,-0.118403405225286,-0.186025936265744,-0.134287884125354,0.124946171764715,0.145062902807625,0.0438407188540804,-0.127889063371017,0.0067851367929576,0.116240527531357,0.0363801441464657,0.0571833858567325,-0.0938674155495011,-0.0062930144507667,-0.067919034751628,-0.105994540366941,0.138693609393819
stable,-0.133942953545107,-0.0752133096745777,-0.131341678535845,0.0128741577747467,0.120665192568032,0.259527286179045,0.0206308730606581,0.126289898478856,0.0653270743618541,0.153930071748193,-0.038400827390132,-0.237899687463013,-0.193671060917919,-0.089923667099255,0.122303888265234,0.110062306765242,0.124066816531988,0.0973645639361427,0.0968656609668491,-0.0477213700496669,-0.219103323174212,-0.0942575285076229,-0.0858507175713639,0.162446601883875,0.0063742345856491,0.170155268051203,0.0623891737094994,0.124916576701491,-0.108888555569361,-0.157637321923898,-0.0922567030897227,0.0376028268772063,0.075608928174894,-0.100231071958736,0.064516439232214,0.158250922789163,-0.177777276717275,-0.0452969796744057,0.0374490509102069,-0.140403094130647,-0.132253014848517,0.0411945337179027,-0.139542296284833,-0.112686220753152,-0.192458466495188,-0.177978538176833,-0.0442881830283422,0.0387653994902691,0.0916062316886922,0.0736656865491567,-0.0528114297074818,-0.0514453411307635,-0.0468435225166132,-0.199079945030222,-0.104233662171244,0.0631321267473723,0.169652090917891,-0.0718098069572065,0.104213935260388,0.131992149936876
