group,AHR,AR,ARNT,ATF3,CDX2,CTCF,DUX4,E2F1,E2F4,E2F7,EGR1,EHF,ELK1,ESR1,ESRRA,ETV5,ETV6,ETV7,FOSL1,FOXA1,FOXG1,FOXK1,FOXO3,FOXP1,GATA3,GLIS1,GMEB2,HEY1,HNF4A,HOXA6,HOXB13,HSF1,JUNB,KLF1,MITF,MNT,NANOG,NFE2,NR2C2,PAX6,PBX1,RFX2,RFX5,RUNX2,RUNX3,RXRA,SMAD3,SPIB,STAT2,STAT5B,TBP,TCF12,TCF21,TCF4,TEAD4,TFAP4,TP73,ZEB1,ZNF263,ZNF384
progressive,0.0371183483444895,-0.0522969323865357,-0.0452008115256065,-0.0683209527030286,-0.169068775407921,-0.0832084849128882,-0.009738686702369,0.0206785396963016,0.0130811629021622,-0.0742852053276768,0.0207316682053515,0.12956195409136,0.0146588486274274,-0.0360141993303215,0.0632876039543421,-0.17075040821611,0.0795564773994998,0.254573335885836,0.322829610403934,0.136521788776901,0.0310178095444524,-0.0474899572851055,-0.0130349641986405,-0.0417590081132417,0.084111669566737,-0.0576120932267044,0.160625962339335,0.119763209074413,-0.189560210354959,0.213943886073699,0.0433459335792112,0.158013425655184,0.0465775328905524,0.0038252526515946,0.0577645489483259,-0.0758213122197724,0.0409620804774928,-0.236049965708821,0.0755094709710011,-0.0096994178043755,0.0530268719021782,0.0532878945770756,-0.0534057012710559,-0.0244760731257832,-0.067256072586854,-0.192061870150658,-0.0764935033560128,-0.0723564094556468,0.0528051181252741,-0.171732130665945,0.034041514689946,-0.0597048944962362,0.10709552456877,-0.236322538059598,-0.274692871269525,0.246458533612254,-0.111121741580684,0.239103700011603,-0.108680140099564,0.144398667727346
progressive,0.0038977827323315,0.0116796770962186,0.0475017586570947,-0.0562527821648741,-0.0136551511583376,-0.0041795593094349,0.017768633480689,-0.142020711399338,-0.0350990322309502,0.0739652122312621,0.0159154398199546,0.0202522167883125,0.0484921539577495,-0.0610217178188705,0.0018053448080187,0.0007845692834174,0.0144716196768988,0.0545909839150024,-0.0147328896028384,0.0365307002844274,-0.012980710186726,-0.0112520754441721,-0.015799994968958,0.0051600810373071,0.175050090873935,-0.0844122117408529,-0.110304517104827,-0.0027851070302922,-0.0163232943264359,0.0914133343493159,0.037503626956313,-0.053747932700488,-0.044145503416609,-0.0074416358556867,0.0256682512123687,0.0053651475489458,0.0413338136903636,-0.0042653834420837,0.0051578025205111,0.020982861174225,-0.0565869646282852,-0.0282125949678852,0.132265621490128,-0.0008195065409559,-0.0062416170098013,-0.0343281340483086,0.0072866967135597,0.0284533582426609,0.0461627502866543,0.0318756904702302,0.196773470006855,-0.0561221472019043,-0.0175848331258129,-0.0545454135790827,-0.0617835019343281,0.0147420036700224,-0.0604285439463158,0.0263730724079267,-0.0275092927835245,-0.0526534851328166
progressive,-0.0816596557172148,-0.0118805065787373,0.0428203822512989,0.0050846176464265,0.072054284691493,0.0639058783828553,0.183024286192499,-0.104564654799353,0.0652871566211299,-0.0031553693015707,-0.115256126795992,0.0577881403006783,0.139910997268208,0.171507074712048,-0.0829652474766797,0.0720671513928906,0.165109296658276,0.110559780785859,0.192689449536481,-0.176985262048284,-0.0653772235309133,-0.0129552545778331,0.017837789325838,0.0476688580838396,0.105469108221127,-0.0444415866273998,-0.177913935143278,0.109170177034915,0.0424972009867821,-0.0965524841525726,-0.177110901603108,-0.148016262283924,-0.0846545696837092,0.0609291291712752,-0.038080894948244,0.1749561075514,0.217074119279346,-0.201654512951474,-0.104317160013646,0.0120591266687278,0.0783816743199725,0.0499735113635908,-0.101924710418475,-0.0478747253062016,-0.0728399103415363,0.155338172243961,-0.168718784832704,-0.0132746515184094,0.133903761445092,-0.173593750932828,-0.08793709226968,0.175224037686386,0.158333086210455,0.13334443836669,0.0806000450138808,-0.200640314135425,0.0702673269267992,0.0715343185820713,-0.109607644882434,-0.0286276537449295
progressive,0.0897956848907619,0.262076000968823,-0.30759713916745,-0.301288838192287,-0.433500141561655,0.246011409104384,0.284231082764983,0.119812512462484,0.168739174271156,0.345715441650598,0.195943636608999,0.308979348870803,0.154538990143351,0.215298682098268,-0.32787137465766,0.187990108821421,0.46881155833403,-0.131342798957153,-0.214153461769227,-0.0960122038539087,0.169580281067844,0.348183966809609,-0.0453183958437252,0.138486727205899,-0.266148656516957,-0.316442459340442,-0.0487170700498881,-0.0833038198915655,0.332124854468275,-0.274747398150204,-0.389437926389857,-0.186998315139332,0.314150648801583,-0.165829547502155,0.0604459892571299,0.0192660032388051,-0.157643139982595,-0.0394539362401042,0.224027562405269,-0.0228290631381319,0.0250332013073041,0.336802997319563,0.328956320232542,0.0809407755523349,0.321849378764757,-0.0249674470300385,0.121485136890426,-0.0998478700277323,0.130149632800938,0.163707602179565,0.0460978580054772,0.012670027300605,-0.128257827448777,0.220308336097437,0.0730612213266803,-0.21033012452239,0.378911762504264,0.0199125869652497,-0.205791709510291,0.331385118849038
progressive,0.321958793752505,0.115263383251945,-0.148734036084027,-0.0561402694782016,-0.112563124205455,0.152941416458792,-0.0990618289730011,-0.337877762782398,0.0101730689658486,-0.201608876017636,-0.258251519271928,-0.212786692535667,0.0757014483847562,0.0965813584535504,0.300984688600694,0.100851535550326,0.136488675291802,-0.309022669018154,0.0387769758420464,-0.100757340467309,-0.311408944454588,0.0070018345042723,0.0166725296940297,-0.107759174971582,0.160759608349213,-0.162957493619612,-0.303967532896236,-0.304312914867299,0.0474743218406268,-0.225220443493926,-0.14907941805509,-0.400109314295706,-0.225879809075046,0.10791616677661,0.15799655258071,-0.301612655820808,0.390375822383937,-0.0306134019805629,-0.158090747663728,0.113756261923671,0.0558262858681445,-0.294328236067484,0.269868912844039,0.278597657203626,0.0037678033206846,0.220322299177036,-0.448305798439464,-0.127226158795119,-0.25875389304802,0.307421352606863,-0.0962673748434933,-0.0040189902087303,0.118120634103464,-0.0526236530455626,0.0734407663923454,0.237057625593077,0.136834057262865,0.410345179983566,0.0629537138164397,0.0545075547059049
stable,0.0300652503990872,-0.0291359196736829,-0.425498715466548,-0.065736658845162,-0.0333885038963692,0.249625640414098,0.308544331317873,-0.0218716861264665,-0.304392945757991,-0.110347822740277,-0.0427369150855045,0.0532879839583672,0.222228497764963,-0.340700814187939,-0.0997444146626291,-0.0521710329141698,0.13114636449759,-0.121703857142474,-0.0876559650677856,-0.143165457495928,0.0702742009605681,0.0531586136470856,-0.0840177706542774,0.320784221398693,-0.0649409885297923,-0.185533519424212,-0.0208568394325879,0.0417379417570116,-0.0069378523676492,0.314373002486843,-0.101273453525924,0.0052189051328932,0.0730426970213372,-0.0548913368656148,-0.128079658905731,0.0303370519889649,0.0244170970520852,0.0989842091636167,-0.416112742079443,0.359069205672794,0.0542935354382812,-0.186764158085361,0.317687628118856,-0.0067589075818896,0.27038600029251,0.0437007572719876,0.237609455149359,-0.394738469069492,0.0052524632386936,0.0094341178286653,-0.216499547558115,0.0392098342296962,0.0585449756346333,0.239102790857477,0.0324066909628878,-0.0568905228844625,-0.0931503898761423,-0.003821715304604,-0.346156532771992,-0.117558191714263
stable,-0.0218578390509935,-0.0698823246495578,0.111152430296787,-0.0384159182850724,-0.021948982196506,-0.115205547626758,-0.0218566156530671,0.0280213178039057,-0.136763654185798,-0.13279800980756,0.126378229189079,-0.147814607654448,-0.0135350629580873,0.173203173120865,-0.009605508818676,-0.0218982111825628,0.0052459303081554,-0.0691378870113786,0.0516255573947527,0.0511992032174224,-0.0301793917459733,0.131901870826514,-0.0989355786043331,0.101366470283975,-0.149529811547179,-0.215682607618283,0.129952997929851,-0.0718654526881586,-0.0292324817509845,0.20935702864013,0.0739776492079884,0.0638699355405489,-0.02452301143353,-0.0117164819405796,0.148265429790305,-0.109505124988967,-0.110407992658607,0.0150802145390575,0.0361348928514073,-0.058908445250268,-0.107367237112684,0.0605955109906939,0.150373956116355,-0.0556193399252969,0.041538641492061,0.129774381832605,0.0382006002500362,0.19014050571211,-0.0006392254165138,0.0355886456772955,-0.109071430424079,0.0673578430285506,0.0359103993319235,0.0225380482980398,-0.107299338527772,-0.1969786884214,-0.0606199789492208,-0.0901393475139325,0.100380411555343,-0.0658475582884811
stable,0.0854175018015697,-0.0408883514436207,-0.155117408290064,0.0288842095686624,0.0194956305501173,0.0722831784454452,-0.0862732106373099,-0.0030999263483416,-0.085490156325359,-0.0609248545597247,-0.0262847921619801,-0.024524938141307,-0.0070071251832305,0.0549671836090056,0.0211021027983464,-0.0927798268788811,0.211125973406715,0.0416148966815133,-0.0653002714368111,-0.0611024545067651,-0.0444726412838907,0.0691671066473726,0.19439121476059,0.0906082638900689,-0.0675121980499507,-0.0191242852063055,-0.158322280061656,0.134854868877726,-0.165079150774057,0.154180972205669,0.0178084310532334,-0.0208760665021132,0.102636623939624,-0.012117160023075,-0.201987648859,0.0363918436935523,0.0955972078569312,0.0609490727343211,0.198080450024111,0.0155399953660355,0.0386118430315573,0.0928766995772668,-0.0388217338780596,-0.175484893125652,0.0863135742616373,0.0250335198078318,0.0778695040523525,-0.340192698555897,-0.0625959086068776,-0.121123163881557,-0.35816258410644,0.0279316280345366,0.377173851164629,-0.0318146086948291,0.0626766358555323,-0.0447874775536442,-0.167048895641233,-0.0357298802545835,0.280083189207586,0.166039805033049
stable,-0.145047263984393,0.0385788097925936,-0.103884662390506,0.0053335374126095,0.0405860029546862,-0.0540876173087508,0.0111855290638285,0.144531232429142,-0.231718761116397,0.110889851320127,-0.0771261247015333,-0.0117221534276227,0.0559639855695121,0.0545927467888912,0.0506619430405564,-0.0710330760561946,-0.0144113319549889,-0.098754630379967,-0.102546129835218,-0.0973058657318905,-0.0783629045557859,0.2034969226792,-0.0917131011999763,0.222768157450312,-0.0407204618810545,-0.091174054152824,0.147123503622188,0.0992682392518604,-0.232117292528786,-0.112820729956443,0.0381584742299827,0.0717235408132211,0.0707920190620749,-0.0064588738323947,-0.0449977093495815,-0.141413238947412,0.0493331012187002,0.068815109441957,0.0395079088603818,-0.083010822578085,-0.0705121991342273,-0.0658691264786442,0.0143010998622004,-0.0607899708186233,0.0249439478538397,-0.0322592402532831,0.0066611678927867,-0.0299201394711461,0.0742346521137752,-0.0420747418781696,-0.228689195577234,-0.0704056010664759,0.0307717126714787,-0.122477545821381,0.118935582752003,-0.0778795792258674,-0.107914796156518,-0.113564493747345,-0.0864413422129954,-0.0978109952120309
stable,-0.127418855034409,0.116733544831378,-0.156600292159446,0.123431423734548,-0.0639619779036346,-0.0065992022611801,0.275622452329357,0.0596110714928625,0.133211113947441,0.0675442306403361,-0.113660267967082,-0.0792006223365362,0.0167799652770001,-0.022972328218073,0.180052163946236,0.0957194797156106,0.17317183243948,-0.161788358468391,0.0250712020753041,-0.0516158646205284,-0.0339477173013437,-0.111652366684888,0.0804271374747256,-0.103260423430546,0.0373925885327409,0.0087551877045653,-0.0429269226653309,-0.103344568449242,-0.0832836855573159,0.155478819898214,-0.0899729377507841,0.10756330628624,-0.0517548607506433,0.0379215857527965,-0.168332340561052,0.0648630308121656,-0.0036180974074945,0.0688188615978783,0.0680919575081934,-0.0221888199957459,-0.0259356721988431,0.0046283450853525,0.164082740324105,-0.031247003579035,0.114715863536046,-0.0460801003916778,-0.0247057894146204,-0.0269866084219255,0.0475560981291574,0.124746328048078,-0.133936541808728,-0.127757188130414,0.139455375543137,0.0888032574059242,-0.0230519984194365,0.0271634790368809,0.156792432511895,-0.161869689426703,0.0478247255654863,-0.0865974953862383
