group,AR,ASCL1,ATF2,BACH2,BCL11A,BCL6,CEBPB,CEBPD,CLOCK,CTCF,E2F8,EBF1,EHF,ESRRA,ETS2,ETV1,FOSL1,FOSL2,FOXA1,FOXD2,FOXK1,FOXO3,FOXP1,GATA3,GMEB1,GTF2B,HES1,HIF1A,HNF1B,HOXA1,IRF2,JUN,JUND,KLF3,KMT2A,MAFF,MITF,MYBL2,MYC,MYOD1,NANOG,NR2F2,PAX5,PBX3,PGR,POU2F2,PRDM14,RUNX1,SP1,SPI1,STAT1,TCF12,TCF3,TCF7L2,TFAP2C,TFAP4,YY1,ZBTB7A,ZBTB7B
progressive,-0.395079516079593,-0.133841745545906,0.0948568950997834,-0.172162159335133,-0.319036909821092,-0.236747229015291,0.0175744637392411,-0.197045426300217,-0.0703024215319259,-0.12191385174653,0.112344593914756,0.0654116197481849,0.390099666084103,-0.229203247178932,0.232345050752428,0.170356078937869,-0.342821915507941,0.120495930220991,0.324466567450287,-0.3469044335235,0.360227415973607,-0.391990228118155,0.155078602404251,0.19102211392603,0.400863083268303,0.209532725532373,0.159693126402822,0.267452879056257,-0.0680419669259952,-0.0862900004720541,-0.126859452429809,0.279561152566611,0.435495987776138,0.259751350383727,-0.397072826050278,-0.323370589459533,0.165613690840376,-0.294941377036863,-0.0808352266805708,-0.158453301300782,-0.280798694381171,0.309942575785312,0.153674380603597,0.30554268080993,0.227098056121692,-0.233872570077042,0.186236343366403,-0.365134200769713,0.135275650083809,0.19767333035742,0.215903097603633,0.108463005197502,0.429552590463777,0.276709326503169,0.145066386801214,-0.248323496542633,0.258758120329606,0.256984005957073,-0.232977521384592
progressive,-0.567479304796574,0.529347878158516,-0.478336462964089,-0.586238244570322,-0.149142196863331,0.60027107160859,0.530349955069261,-0.565593660070816,0.571279846493239,-0.220633933949889,0.583311519940288,-0.0635913807236279,-0.591830673796755,0.482995820576025,-0.583452530763057,0.0944502491831063,-0.529116110370028,0.486325326120035,0.242275344957165,-0.551974114752475,-0.52733547370378,0.570291270618717,0.603532321913918,0.151321114098146,-0.539761677431556,-0.0973799740434127,-0.563426743757087,0.592513976241132,0.188004179572545,0.423745773055534,-0.553680495719499,0.594674892094318,0.592048190491452,-0.426758004248312,0.567442551975746,0.417214271754063,-0.605814747093107,-0.601475664062673,0.531344531404327,-0.270526263252976,-0.608414446623527,-0.550082469566173,0.604245626661012,0.492151773307659,0.561139818232491,-0.583909315821922,-0.337021116822033,0.262073114462486,0.420088492354343,-0.532940653908867,-0.567519807905242,0.10622765311463,-0.58513415983034,-0.325446228433848,0.0961776317620325,0.603173044338883,0.58460686936009,-0.0484919718237747,-0.561614604672986
progressive,-0.18249731967856,-0.154173118821962,0.0568126630268524,-0.0251454819192716,-0.112978031470667,0.231388687118554,-0.159678498010253,-0.10234154887269,-0.199375732195469,0.0853071256103908,0.0029244514244068,0.113668829050015,-0.0244546843399234,-0.0705161068647373,-0.101573495972307,-0.185955057833604,-0.011861316959623,0.004798080472411,0.0062044273359049,0.137875246290303,0.0848750958539255,0.037714847646435,0.197985136416846,-0.163992045109961,-0.170639002925579,0.018951555306614,0.12444332115353,-0.205670165730637,0.0386434116021713,-0.0405335417867071,0.0076857793654519,-0.178410288180332,-0.163375502645006,0.0833824930494706,0.0155965742290629,0.0438900229675793,0.122667198821395,0.0518765730489038,-0.113429562570306,0.0380718722368473,0.0247997081037672,-0.0795722306139777,-0.122867462614757,-0.0674026424218769,-0.0923373598245395,0.0353131822294176,0.160337793419859,-0.0511632739197397,0.180500682158229,-0.121081589611034,-0.243142746690721,0.207377283310004,0.217777499634914,0.20411680874168,0.0562711257279496,-0.103687141551681,-0.0406858022737947,0.101732506924339,0.126495462496741
progressive,0.193740809275839,-0.0759205072684827,0.0156615803652041,0.0782153987890333,-0.244319565426161,0.0993768288386395,-0.182611877723009,0.0256736737802916,-0.243538730966886,0.153768614587126,-0.0464324435512475,0.189302023839232,0.13211610223822,-0.168579983215315,0.15030791273278,0.153344188888008,-0.094980213904188,-0.15795029599446,-0.130036144244786,-0.0899782482129819,0.214261519760431,-0.180214960794016,-0.0145216164682145,-0.252623073334543,-0.139331339123223,0.129717824970448,-0.117219032266939,0.0879078125910032,-0.0201683827407727,-0.0771910636882778,0.0208662365345145,0.137667644796232,-0.0690317516904932,-0.152706190000552,-0.297963164846074,-0.298594362039634,0.287492637262388,-0.136027076228488,-0.187743075598241,-0.0890287317450837,0.0863611073990257,-0.0101277222113215,0.177405861214919,0.126440768851298,-0.0305586503364844,-0.0116091311418963,0.277496867912651,-0.190201207772299,0.0261144235447601,0.108142851931958,-0.304936261428375,-0.18884903102575,0.171915533901972,0.059872590689979,-0.0212593744417102,-0.171769977652595,-0.0081144208180702,-0.0687501615631938,0.228645742011944
progressive,-0.0297478966625076,0.034977619964086,0.170335164240232,0.0854598313634396,-0.336363497526223,0.148401089451848,0.0748465693690599,-0.201344347110767,0.265885285267894,-0.113977204896164,-0.236137388605386,0.232630397685504,-0.270438220848091,0.127697537793246,-0.233922446971776,0.227185332836214,0.119852952840879,-0.123298417604271,-0.230138588347693,0.114715518774034,0.193407472923666,0.072508575422472,-0.108839770829319,-0.0219648378666292,-0.167074277946307,-0.342423823940405,-0.0854905944416842,0.0677710613728068,0.0886591915008758,0.191715503620214,0.13215818413871,0.234876102397358,0.130466214835258,-0.229307985235089,-0.292987557201367,0.0481749805310102,-0.195468599166053,-0.0294710289583064,0.0642948335311694,-0.0084290834390145,0.379431807068633,0.492209251913259,-0.231184533008009,0.152092658841197,-0.164490179373762,-0.0239952010307714,0.185655177206032,0.0850599113462601,0.136741882797152,0.19054650664692,-0.0662944336170671,0.126866934680642,0.214418655364713,-0.0452524880977752,0.13947979676092,0.418285574891536,0.102564102867425,0.460246413617142,0.0276560073418762
stable,-0.608996059482529,0.624878291937812,0.604322096730744,-0.665490730760481,-0.640660430350405,0.464472944503519,0.602510078670126,-0.647173898127898,-0.631324763184612,0.724933579421113,0.642294843955624,0.661688335824599,0.631550552336963,-0.630074459878871,0.634614335274363,0.618613574122273,-0.637904237396286,-0.635670343926348,-0.619505321048054,-0.601399661857396,0.625591208574416,-0.636581939929835,0.606382298983881,-0.603773488967797,0.626389509248378,0.644228361002587,0.611896146463161,0.615429518032305,-0.638622623137436,0.666213548362212,0.611447114120921,0.607180033888407,0.686621370534732,0.601051572211999,-0.600417156084617,-0.653812212360899,-0.005764436191902,-0.567701868489679,0.672628760847683,-0.602166468032763,-0.611113687333403,0.660362549446628,0.62658073931769,0.608938398147527,0.64124911344839,-0.658596170120501,-0.645835947707056,-0.66879020381536,-0.242512825399533,0.624128694582784,-0.607847688970144,0.608849855230819,0.645798135449762,-0.719731235163712,0.713144877423902,0.517307464711249,0.622643031191737,0.632123629628009,0.6447969592856
stable,0.106743900009811,0.309510699608195,-0.275667428919896,-0.25634523618008,-0.53641710830958,-0.212354538894959,0.15389227213883,0.137930618248178,-0.0297346708197107,0.357246532085801,0.446152889918156,0.117422033334699,0.490831875792578,-0.424494138546241,0.471948014207001,-0.393512699360823,0.31292618079212,-0.296920452281276,-0.0519199025862494,0.0993115907692048,0.0361798293203992,-0.222579247017597,0.039310938639797,0.222538191207007,-0.481011688156635,0.535644293051417,0.365480637156751,0.0333626761996299,-0.331038434643376,0.0045245918317714,0.326100869658024,-0.189615053685457,0.179663849712777,0.0100616924041194,0.259070617488942,-0.422937640315348,-0.431223668911456,-0.464617136969028,-0.27269027889021,-0.416021547516717,-0.225626433430053,0.44152505479799,0.34854390776459,-0.482977536969585,0.0817022705976748,0.359050572704073,0.487269076700067,0.307905900423668,0.382939016848171,0.399100515934488,-0.0858289833238768,0.195504751219341,-0.461699155607546,0.447176266373301,0.288484086966979,0.31494697193983,-0.160589199360342,0.259435289688888,0.435512793594256
stable,-0.105411108982623,-0.112984272436764,-0.0197650806447737,0.025809277344767,0.122166036330167,0.0364642644127392,-0.0026438383457151,-0.0923671113612934,0.255719689631335,0.105960581409895,-0.140712721592728,0.133179374981142,-0.123989647719229,-0.0805653992277097,0.025729643659655,0.172518415426421,-0.0431853474361836,0.0189209635825876,-0.037165040841724,-0.0408043002513378,0.0575114473878145,-0.223332669896325,-0.164722277653966,-0.0909735218718351,-0.0382878758018018,0.07969739205999,-0.0127891698289712,0.0175034839875957,0.210877961544824,-0.206322914756423,0.219263388587107,0.234720286867327,-0.0169062313492565,-0.0824367908278394,-0.0568743779069193,0.0528688035457907,0.0040055743611286,0.03171809678007,-0.107449731321487,-0.0968186343590486,-0.0489986064493524,0.099558033126898,-0.0044674497347776,-0.0493888115064007,-0.163312761427486,0.0012422854877456,0.0936651404286174,-0.119896476304477,0.0397770257133943,-0.0238184352169694,-0.0980688832153055,0.0267171013550426,0.227202866992763,-0.0190483774787666,0.065825204113497,0.197491539077513,0.0399203663465957,0.0815687836601197,0.0096595660040735
stable,-0.286368846690463,-0.284459513031299,-0.261878732307952,0.196070925561279,0.278469893739727,-0.31473763259178,0.162580181107281,0.274938046499675,-0.297491225290802,0.327814948043646,-0.347306712526458,0.0403384238123849,-0.0691788427294478,-0.19988479254357,-0.100034202698514,-0.0013776964429422,-0.119699979362708,-0.0905655398633101,0.301780325540868,-0.371474004310405,0.0832882304295106,0.126337644019427,-0.290006301323354,-0.248705410135324,0.0701977140535402,-0.117341814283979,0.333041313905156,0.0039494764753684,0.0235564490230954,-0.0880381629392366,0.040720050527416,0.343857671083064,0.135869911307137,0.262721191282644,-0.0527700940671226,-0.385709400831468,0.137812847318568,-0.253599352726194,-0.222984009559034,-0.192756293526953,-0.360814858137745,0.0289772284941495,-0.096394347897605,0.0267690739166114,-0.0882853802452001,-0.309424860681584,0.150058504551829,-0.387541929114023,-0.0894758635826554,0.325928415980662,-0.291606013308059,-0.099376556661291,-0.185302571743752,-0.0700117010320628,0.143120818892727,0.360174013276655,-0.142289160674121,-0.0879073537821976,0.077030992403813
stable,-0.218049140201492,0.308866415652813,0.0869990705250081,-0.19578660670417,-0.18563298259993,-0.248236646586411,0.308292884108218,-0.215038975473548,-0.163396657287431,0.26205441153049,0.158440716837708,0.283165877910386,0.199259145692817,-0.156820677913053,0.20758188238548,0.311832627070794,-0.107028857776809,0.101784217791152,-0.218795299963475,-0.276656693007049,0.255199788191091,-0.155146675607843,0.074999270901378,-0.294631321765693,0.205684428004466,0.209628532318633,0.240226269596536,0.223267162499438,0.1143953142257,0.122057340758977,0.213597934811204,0.208739592549752,0.193144448571441,0.307844569446664,-0.183534962804512,-0.22086965959204,0.181664353612814,0.00843475848265,0.156452534816876,-0.204070122120241,-0.329908903546267,0.199134383812985,0.195953228879204,-0.270896397884947,-0.11937405033618,-0.156425234624353,-0.110607594514372,-0.255619892653704,0.0496001727847302,0.340394543491911,-0.176565223653306,0.133329408250577,0.197531589509941,-0.152008017973757,-0.262037121408559,-0.267645854961835,0.258539693744395,0.200781358927597,0.354429754469439
